PSA_1,PSA_2,Attribute,Category
PET,GEN,Size,"Dog Healthcare, Shampoo & Grooming Supplies"
PET,GEN,Brand,Dog Toys
PET,GEN,Type,Dog Toys
PET,GEN,Colour,Dog Toys
PET,GEN,Pack Qty,Dog Toys
PET,GEN,Size,Dog Toys
PET,100,Brand,Dog Training Equipment
PET,100,Type,Dog Training Equipment
PET,100,Colour,Dog Training Equipment
PET,100,Pack Qty,Dog Training Equipment
PET,100,Size,Dog Training Equipment
PET,TRT,Brand,"Dog Treats, Biscuits & Chews"
PET,TRT,Type,"Dog Treats, Biscuits & Chews"
PET,TRT,Pack Qty,"Dog Treats, Biscuits & Chews"
PET,TRT,Size,"Dog Treats, Biscuits & Chews"
TOY,FAN,Brand,Dolls & Soft Toys
TOY,FAN,Type,Dolls & Soft Toys
TOY,FAN,Colour,Dolls & Soft Toys
TOY,FAN,Power,Dolls & Soft Toys
TOY,FAN,Pack Qty,Dolls & Soft Toys
TOY,FAN,Washable,Dolls & Soft Toys
TOY,FAN,Age,Dolls & Soft Toys
PET,DOM,Brand,Domestic Bird Food & Toys
PET,DOM,Type,Domestic Bird Food & Toys
PET,DOM,Pack Qty,Domestic Bird Food & Toys
PET,DOM,Size,Domestic Bird Food & Toys
DIY,SEC,Brand,Door Bells & Chimes
DIY,SEC,Type,Door Bells & Chimes
DIY,SEC,Colour,Door Bells & Chimes
DIY,SEC,Power,Door Bells & Chimes
DIY,SEC,Pack Qty,Door Bells & Chimes
DIY,SEC,Size,Door Bells & Chimes
DIY,FIX,Brand,Door Furniture & Accessories
DIY,FIX,Type,Door Furniture & Accessories
DIY,FIX,Colour,Door Furniture & Accessories
DIY,FIX,Size,Door Furniture & Accessories
DIY,FIX,Assembly,Door Furniture & Accessories
DIY,FIX,Material,Door Furniture & Accessories
DIY,FIX,Brand,Door Hooks and Hangers
DIY,FIX,Type,Door Hooks and Hangers
DIY,FIX,Colour,Door Hooks and Hangers
DIY,FIX,Pack Qty,Door Hooks and Hangers
DIY,FIX,Size,Door Hooks and Hangers
DIY,FIX,Material,Door Hooks and Hangers
HOU,MAT,Brand,Doormats
HOU,MAT,Type,Doormats
HOU,MAT,Colour,Doormats
HOU,MAT,Washable,Doormats
HOU,MAT,Size,Doormats
HOU,MAT,Material,Doormats
HOM,FUR,Brand,Double Beds & Double Bed Frames
HOM,FUR,Type,Double Beds & Double Bed Frames
HOM,FUR,Brand,Dressing Tables
HOM,FUR,Type,Dressing Tables
HOM,FUR,Colour,Dressing Tables
HOM,FUR,Size,Dressing Tables
HOM,FUR,Assembly,Dressing Tables
HOM,FUR,Material,Dressing Tables
DIY,TOO,Brand,Drills & Drill Bits
DIY,TOO,Type,Drills & Drill Bits
DIY,TOO,Power,Drills & Drill Bits
DIY,TOO,Size,Drills & Drill Bits
DIY,TOO,Model Number,Drills & Drill Bits
FOO,CAN,Brand,Drinks
FOO,CAN,Type,Drinks
FOO,CAN,Pack Qty,Drinks
FOO,CAN,Size,Drinks
PET,CAT,Brand,Dry Cat Food
PET,CAT,Type,Dry Cat Food
PET,CAT,Pack Qty,Dry Cat Food
PET,CAT,Size,Dry Cat Food
PET,DOG,Brand,Dry Dog Food
PET,DOG,Type,Dry Dog Food
PET,DOG,Pack Qty,Dry Dog Food
PET,DOG,Size,Dry Dog Food
PAI,CRO,Brand,Dulux Paint
PAI,CRO,Type,Dulux Paint
PAI,CRO,Coverage,Dulux Paint
PAI,CRO,Colour,Dulux Paint
PAI,CRO,Pack Qty,Dulux Paint
PAI,CRO,Size,Dulux Paint
PAI,ICI,Brand,Dulux Paint Offer
PAI,ICI,Type,Dulux Paint Offer
PAI,ICI,Coverage,Dulux Paint Offer
PAI,ICI,Colour,Dulux Paint Offer
