"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Coverage","DQ Score"
"DEC","WAL","436897","Superfresco Wallpaper Java Stripe Plum","Superfresco","1000.0CM","52.0CM",".1CM","Striped Wallpaper","10m x 0.52m","Purple","1","Paper","5.2m²",1
"DEC","WAL","436906","Superfresco Wallpaper Java Stripe Red","Superfresco","1000.0CM","52.0CM",".1CM","Striped Wallpaper","10m x 0.52m","Red","1","Paper","5.2m²",1
"DEC","WAL","436912","Superfresco Wallpaper Java Stripe Spring Green","Superfresco","1000.0CM","52.0CM",".1CM","Striped Wallpaper","10m x 0.52m","Green","1","Paper","5.2m²",1
"DEC","WAL","436919","Superfresco Wallpaper Classica Damask Neutral","Superfresco","1000.0CM","52.0CM",".1CM","Damask Wallpaper","10m x 0.52m","Cream","1","Paper","5.2m²",1
"DEC","WAL","436938","Superfresco Wallpaper Apollo Mink","Superfresco","1000.0CM","52.0CM",".1CM","Plain and Textured Wallpaper","10m x 0.52m","Grey","1","Paper","5.2m²",1
"DEC","WAL","436940","Superfresco Wallpaper Vienna Cream/Silver","Superfresco","1000.0CM","52.0CM",".1CM","Plain and Textured Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436941","Superfresco Wallpaper Athena White Gold","Superfresco","1000.0CM","52.0CM",".1CM","Damask Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436943","Superfresco Wallpaper Lucy Plum","Superfresco","1000.0CM","52.0CM",".1CM","Damask Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436949","Superfresco Wallpaper Lucy Teal","Superfresco","1000.0CM","52.0CM",".1CM","Leaf Print Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436951","Superfresco Wallpaper Silken Stria White Shimmer","Superfresco","1000.0CM","52.0CM",".1CM","Plain and Textured Wallpaper","10m x 0.52m","Cream","1","Paper","5.2m²",1
"DEC","WAL","436952","Superfresco Wallpaper Classica Damask Black/Red","Superfresco","1000.0CM","52.0CM",".1CM","Damask Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","439141","Superfresco Easy Wallpaper Aura Taupe","Superfresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Brown","1","Paper","5.2m²",1
"DEC","WAL","439145","Superfresco Wallpaper Easy Eternal Chocolate/Bronze","Superfresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Brown","1","Paper","5.2m²",1
"DEC","WAL","439146","Superfresco Wallpaper Easy Eternal Cream/Gold","Superfresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Cream","1","Paper","5.2m²",1
"DEC","WAL","439147","Superfresco Easy Wallpaper Eternal Grey","Superfresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Grey","1","Paper","5.2m²",1
"DEC","WAL","439149","Superfresco Easy Wallpaper Innocence Duck Egg","Superfresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Blue","1","Paper","5.2m²",1
"DEC","WAL","439150","Superfresco Wallpaper Easy Innocence Mushroom","Superfresco","1000.0CM","52.0CM",".1CM","Leaf Print Wallpaper","10m x 0.52m","Brown","1","Paper","5.2m²",1
"DEC","WAL","439152","Superfresco Wallpaper Easy Radiance Blue/Cream","Superfresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Blue","1","Paper","5.2m²",1
"DEC","WAL","439163","Superfresco Wallpaper Optimum White/Duck Egg","Superfresco","1000.0CM","52.0CM",".1CM","Geometric Wallpaper","10m x 0.52m","Blue","1","Paper","5.2m²",1
"DEC","WAL","439164","Superfresco Wallpaper Vienna White/Silver","Superfresco","1000.0CM","52.0CM",".1CM","Plain and Textured Wallpaper","10m x 0.52m","Silver","1","Paper","5.2m²",1
"DEC","WAL","439479","Superfresco Easy Wallpaper Karma Taupe and Charcoal Grey","Superfresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Grey","1","Paper","5.2m²",1
"DEC","WAL","449746","Superfresco Wallpaper Sprig Silver","Superfresco","1000.0CM","53.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Silver","1","Paper","5.2m²",1
"DEC","WAL","449747","Superfresco Wallpaper Sprig Duck Egg","Superfresco","1000.0CM","53.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Blue","1","Paper","5.2m²",1
"DEC","WAL","449756","Superfresco Wallpaper Lotus Flower","Superfresco","1000.0CM","53.0CM",".1CM","Floral Wallpaper","10m x 0.52m","White","1","Paper","5.2m²",1
"DEC","WAL","450110","Superfresco Wallpaper Easy Aura Grey","Superfresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Grey","1","Paper","5.2m²",1
"DEC","WAL","436920","Wilko Wallpaper Branches Neutral","Wilko","1000.0CM","52.0CM",".1CM","Leaf Print Wallpaper","10m x 0.52m","Cream","1","Paper","5.2m²",1
"DEC","WAL","436925","Wilko Wallpaper Rosanna Floral Red","Wilko","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Red","1","Paper","5.2m²",1
"DEC","WAL","449726","Wilko Wallpaper Sanctuary Green","Wilko","1000.0CM","53.0CM",".1CM","Leaf Print Wallpaper","10.05m x 0.53m","Green","1","Paper","5.33m²",1
"DEC","WAL","449743","Wilko Wallpaper Cheese Plant White and Silver","Wilko","1000.0CM","53.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Silver","1","Paper","5.2m²",1
"DEC","WAL","449744","Wilko Wallpaper Cherry Blossom Neutral","Wilko","1000.0CM","53.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Cream","1","Paper","5.2m²",1
"DEC","WAL","449745","Wilko Wallpaper Cherry Blossom Red","Wilko","1000.0CM","53.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Red","1","Paper","5.2m²",1
"DEC","WAL","449749","Wilko Wallpaper Jackson Stripe Neutral","Wilko","1000.0CM","53.0CM",".1CM","Striped Wallpaper","10m x 0.52m","Brown","1","Paper","5.2m²",1
"DEC","WAL","449750","Wilko Wallpaper Jackson Stripe Green","Wilko","1000.0CM","53.0CM",".1CM","Striped Wallpaper","10m x 0.52m","Green","1","Paper","5.2m²",1
"DEC","WAL","449751","Wilko Wallpaper Jackson Stripe Duck Egg","Wilko","1000.0CM","53.0CM",".1CM","Striped Wallpaper","10m x 0.52m","Blue","1","Paper","5.2m²",1
"DEC","WAL","449752","Wilko Wallpaper Jackson Stripe Plum","Wilko","1000.0CM","53.0CM",".1CM","Striped Wallpaper","10m x 0.52m","Purple","1","Paper","5.2m²",1
"DEC","WAL","449753","Wilko Wallpaper Damask Silver","Wilko","1000.0CM","53.0CM",".1CM","Damask Wallpaper","10m x 0.52m","Silver","1","Paper","5.2m²",1
