"Article","Web Description","Brand","Type","Colour","Washable","Size","Material","Pack Qty","Capacity","Assembly","Power","Model Number","Coverage","DQ Score"
"325568","Original Source Shower Gel 250mlCoconut and Shea Butter","Original Source","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"436299","Original Source Shower Milk 250mlCherry and Almond Milk","Original Source","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"436300","Oriiginal Source Shower Milk 250mlSweet Apple and Vanilla Milk","Original Source","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"436301","Original Source Shower Milk 250mlGreen Banana and Bamboo Milk","Original Source","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"450554","Original Source Shower Gel Mango 250ml","Original Source","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"189974","Palmolive Naturals Delicate Care Hand Wash 300ml","Palmolive","Hand Wash",NA,NA,"300ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"207712","Palmolive Shower Milk Black Orchid","Palmolive","Shower Gel and Body Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"313525","Palmolive Toilet Soap Moisture Care with Olive 4 x90g","Palmolive","Soap",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,0.9125
"412902","Palmolive Aroma So Relaxed Shower Gel 250ml","Palmolive","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"412903","Palmolive Aroma Feel The Massage Shower Gel 250ml","Palmolive","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"412905","Palmolive Aroma Moments Feel Glamorous Shower Gel250ml","Palmolive","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"412909","Palmolive Pearly Shower Gel 250mlSo Vibrant","Palmolive","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"431637","Palmolive Gourmet  Body Butter Shower CremeChocolate Passion 250ml","Palmolive","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"431638","Palmolive Body Butter Shower Cream 250mlVanilla Pleasure","Palmolive","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"431639","Palmolive Body Butter Shower Cream 250mlStrawberry Touch","Palmolive","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"228464","Radox Feel Good Fragrance Stress Relief Bath Soak500ml","Radox","Bubble Bath, Creams and Oils",NA,NA,"500ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"232256","Radox Feel Active 2in1 Shower Gel 250ml","Radox","Male Shower Gel and Body Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"232265","Radox Feel Refreshed 2in1 Shower Gel 250ml","Radox","Shower Gel and Body Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"325579","Radox Feel Revived Shower Gel 250ml","Radox","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"325581","Radox Feel Uplifted Shower Gel 250ml","Radox","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"33144","Radox Muscle Soak Herbal Bath Salts with Thyme 400g","Radox","Bubble Bath, Creams and Oils",NA,NA,"400g",NA,NA,NA,NA,NA,NA,NA,0.9125
"414561","Radox Hand Wash Antibacterial 250ml","Radox","Hand Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"414563","Radox  Antibacterial and Nourish Handwash 250ml","Radox","Hand Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"455121","Radox 12H Scent Touch Body Wash Feel Free 200ml","Radox","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"455122","Radox 12H Scent Touch Body Wash Feel Lively200ml","Radox","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"455123","Radox 12H Scent Touch Body Wash Feel Fresh 200ml","Radox","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"160003","Sanex Dermo Moisturising Shower Gel 500ml","Sanex","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
