"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Capacity","Assembly","Material","DQ Score"
"452120","Schwarzkopf Color Expert Colour SealerConditioner 250ml","Schwarzkopf","Hair Treatments and Oils",NA,"1",NA,NA,NA,NA,0.86
"452123","Schwarzkopf Color Expert Colour SealerTreatment 150ml","Schwarzkopf","Hair Treatments and Oils",NA,"1",NA,NA,NA,NA,0.86
"452125","Schwarzkopf Color Expert Hair ColourantDark Brown 4.0","Schwarzkopf","Permanent",NA,"1",NA,NA,NA,NA,0.86
"452127","Schwarzkopf Color Expert Hair ColourantMedium Brown 5.0","Schwarzkopf","Permanent",NA,"1",NA,NA,NA,NA,0.86
"452129","Schwarzkopf Color Expert Hair ColourantLight Cool Blonde 10.2","Schwarzkopf","Permanent",NA,"1",NA,NA,NA,NA,0.86
"452131","Schwarzkopf Color Expert Hair ColourantNatural Black 1.0","Schwarzkopf","Permanent",NA,"1",NA,NA,NA,NA,0.86
"452133","Schwarzkopf Color Expert Hair ColourantDeep Amethyst 4.9","Schwarzkopf","Permanent",NA,"1",NA,NA,"No",NA,0.825
"452137","Schwarzkopf Color Expert Hair ColourantIntense Red 6.88","Schwarzkopf","Permanent",NA,"1",NA,NA,NA,NA,0.86
"452139","Schwarzkopf Color Expert Hair ColourantDark Blonde 7.0","Schwarzkopf","Permanent",NA,"1",NA,NA,NA,NA,0.86
"452899","Schwarzkopf Live Ultra Brights Hair ColourantSea Mermaid","Schwarzkopf","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.86
"452900","Schwarzkopf Ultra Brights Hair ColourantSteel Silver","Schwarzkopf","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.86
"457106","Live Ultra Bright Aqua Collection 111","Schwarzkopf","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.76
"457107","Live Ult Bright Sunburst Collection 110","Schwarzkopf","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.76
"457108","Schwarzkopf Live Pastel It 200ml","Schwarzkopf","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.81
"33943","Wella Hair Streaking Kit Natural Light BlondeHighlights","Wella","Highlights","Blonde","1",NA,NA,NA,NA,0.93
"347747","Wilko Hair Colour Mixing Bowl","Wilko","Accessories and Tools",NA,"1",NA,NA,NA,NA,0.86
"347748","Wilko Hair Foils","Wilko","Accessories and Tools",NA,"1",NA,NA,NA,NA,0.86
"347749","Wilko Hairdressing Cape","Wilko","Accessories and Tools",NA,"1",NA,NA,NA,NA,0.86
"347750","Wilko Hairdressing Scissors","Wilko","Accessories and Tools",NA,"1",NA,NA,NA,NA,0.86
"347753","Wilko Thinning Scissors","Wilko","Scissors",NA,"1",NA,NA,NA,NA,0.86
"347754","Wilko Tinting Brush","Wilko","Accessories and Tools",NA,"1",NA,NA,NA,NA,0.86
