"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Assembly","DQ Score"
"436430","Wilko Milan Table Lamp Teal","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
"436431","Wilko Milan Table Lamp Black","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
"436432","Wilko Milan Table Lamp White","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
"436433","Wilko Copper Effect Table Lamp","Wilko","Table Lamps",NA,NA,"1","37.5cm","No",0.9
"436434","Wilko Vintage Pendant Cream","Wilko","Vintage Pendant",NA,NA,"1",NA,NA,0.86
"436435","Wilko Vintage Pendant Grey","Wilko","Vintage Pendant",NA,NA,"1",NA,NA,0.86
"436436","Wilko Vintage Pendant Red","Wilko","Vintage Pendant",NA,NA,"1",NA,NA,0.86
"436437","Wilko Vintage Pendant Black","Wilko","Vintage Pendant",NA,NA,"1",NA,NA,0.86
"436438","Wilko Vintage Pendant Duck Egg","Wilko","Vintage Pendant",NA,NA,"1",NA,NA,0.86
"436439","Wilko Vintage Pendant Sage","Wilko","Vintage Pendant",NA,NA,"1",NA,NA,0.86
"436440","Wilko Olivia Pendant Crystal Effect","Wilko","Pendants",NA,NA,"1","24cm Height x 27cm Diameter",NA,0.93
"436441","Wilko Vintage Pendant Chrome Finish","Wilko","Vintage Pendant",NA,NA,"1",NA,NA,0.86
"436442","Wilko Vintage Pendant Copper Effect","Wilko","Vintage Pendant",NA,NA,"1",NA,NA,0.86
"436443","Wilko Swirl 3 Arm Fitting Chrome","Wilko","Ceiling Lighting",NA,NA,"1","23cm","No",0.9
"436444","Wilko Swirl 5 Arm Fitting Chrome","Wilko","Ceiling Lighting",NA,NA,"1","23cm Height X 44cm Diameter","No",0.9
"436445","Wilko Galaxy Light Fitting Chrome","Wilko","Ceiling Lighting",NA,NA,"1","28cm Height x 42cm Diameter","No",0.9
"436446","Wilko Ava Light Fitting Chrome","Wilko","Ceiling Lighting",NA,NA,"1","20cm Height X 26cm Diameter","No",0.9
"436447","Wilko Black & White Table Lamp","Wilko","Table Lamps",NA,NA,"1","Height 68cm X 37cm Diameter","No",0.9
"436448","Wilko Black & White Shade 30cm","Wilko","Light Shades",NA,NA,"1","Height 21 cm X 31cm Diameter",NA,0.93
"436635","Wilko 3 Arm Fitting Chrome","Wilko","Ceiling Lighting",NA,NA,"1",NA,"No",0.85
"436636","Wilko 3 Arm Fitting Antique Brass","Wilko","Ceiling Lighting",NA,NA,"1",NA,"No",0.85
"436637","Wilko 5 Arm Fitting Chrome","Wilko","Ceiling Lighting",NA,NA,"1",NA,"No",0.85
"436638","Wilko 5 Arm Fitting Antique Brass","Wilko","Ceiling Lighting",NA,NA,"120cm x 170cm",NA,"No",0.85
"436639","Wilko Large Glass Industrial Pendant Pewter","Wilko","Vintage Ceiling Lighting",NA,NA,"1",NA,"No",0.85
"436640","Wilko Triple Glass Industrial Pendant Pewter","Wilko","Vintage Ceiling Lighting",NA,NA,"1",NA,"No",0.85
"436824","Wilko Table Lamp Rose","Wilko","Table Lamps",NA,NA,"1",NA,"Yes",0.85
"436825","Wilko Laser Cut Table Lamp Grey","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"436826","Wilko Pleated Shade Cream","Wilko","Light Shades",NA,NA,"1",NA,NA,0.86
"436827","Wilko Pleated Shade Duck Egg","Wilko","Light Shades",NA,NA,"1",NA,NA,0.86
"436828","Wilko Pleated Shade Mauve","Wilko","Light Shades",NA,NA,"1",NA,NA,0.86
"436829","Wilko Evelyn Floral Shade Red","Wilko","Light Shades",NA,NA,"1",NA,NA,0.86
"436830","Wilko Techno Flower Shade Neutral","Wilko","Light Shades",NA,NA,"1",NA,NA,0.86
"436831","Wilko Ceramic Table Lamp Grey","Wilko","Table Lamps",NA,NA,"1",NA,"Yes",0.85
"436832","Wilko Isabelle Table Lamp Silver","Wilko","Table Lamps",NA,NA,"1",NA,"Yes",0.85
"436833","Wilko Textured Table Lamp","Wilko","Table Lamps",NA,NA,"1",NA,"Yes",0.85
"436834","Wilko With Love Table Lamp","Wilko","Table Lamps",NA,NA,"1",NA,"Yes",0.85
"436836","Wilko Sorrento 3 Arm Fitting","Wilko","Ceiling Lighting",NA,NA,"1",NA,"No",0.85
"436837","Wilko Sorrento 5 Arm Fitting","Wilko","Ceiling Lighting",NA,NA,"1",NA,"No",0.85
"436840","Wilko Sphere Pendant Polished Nickel","Wilko","Pendants",NA,NA,"1",NA,NA,0.86
"436841","Wilko Audrey Pendant Clear","Wilko","Pendants",NA,NA,"1",NA,NA,0.86
"436842","Wilko Audrey Table Lamp Clear","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
