"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","Power","Capacity","Coverage","DQ Score"
"310508","Wilko Towel Rail Macau Collection Chrome Effect","Wilko","Towel Rails and Hooks","Silver","1",NA,"Single",NA,NA,NA,NA,1
"310520","Wilko Soap Dish Sandstone Effect","Wilko","Soap Dish","Cream","1",NA,"Single",NA,NA,NA,NA,1
"310521","Wilko Tumbler Sandstone Effect","Wilko","Tumblers","Cream","1",NA,"Single",NA,NA,NA,NA,1
"310522","Wilko Soap Dispenser Sandstone Effect","Wilko","Soap Dispenser","Cream","1",NA,"Single",NA,NA,NA,NA,1
"310529","Wilko Robe Hook Paris Collection","Wilko","Towel Rails and Hooks","Clear","1",NA,"base 5x0.8 hook5.2cm",NA,NA,NA,NA,1
"310530","Wilko Glass and Holder Paris Collection","Wilko","Tumblers","Silver","1",NA,"metal 5x10cm glass 6.3x10cm",NA,NA,NA,NA,1
"310531","Wilko Towel Ring Paris Collection","Wilko","Towel Rails and Hooks","Silver","1",NA,"ring16cm base dia 5",NA,NA,NA,NA,1
"310533","Wilko Glass Shelf Paris Collection","Wilko","Bathroom Shelves","Silver","1",NA,"glass 50x12cm","iron+chrom+glass",NA,NA,NA,1
"310538","Wilko Quadruple Door Hook White Rubberised Ball","Wilko","Towel Rails and Hooks","White","1",NA,"15x15cm",NA,NA,NA,NA,1
"310543","Wilko Toilet Roll Holder Macau Collection","Wilko","Toilet Roll Holders","Silver","1",NA,"Single",NA,NA,NA,NA,1
"310544","Wilko Towel Ring Macau Collection","Wilko","Towel Rails and Hooks","Silver","1",NA,"Single",NA,NA,NA,NA,1
"310685","Wilko Shower Head 6 Function Chrome Effect","Wilko","Shower Heads",NA,"1",NA,"23.1 cm x 9 cm x 5 cm",NA,NA,NA,NA,1
"310689","Wilko Robe Hook Macau Collection","Wilko","Towel Rails and Hooks","Silver","1",NA,"Single",NA,NA,NA,NA,1
"310691","Wilko Toilet Roll Holder Paris Collection","Wilko","Toilet Roll Holders","Silver","1",NA,"base 5x0.8cm hook 16x9cm",NA,NA,NA,NA,1
"310697","Wilko Split Wood Laundry Hamper White","Wilko","Laundry Baskets","White","1",NA,"36.5 x 47 x 56.7cm",NA,NA,NA,NA,1
"310703","Wilko Shower Head 3 Function Chrome Effect","Wilko","Shower Heads",NA,"1",NA,"21.5 cm x 8.3 cm x 4 cm",NA,NA,NA,NA,1
"310721","Wilko Toilet Roll Holder Clear Jewel Chrome Effect","Wilko","Toilet Roll Holders","Metal","1",NA,"Single",NA,NA,NA,NA,1
"311390","Wilko Light Pull Crystal Effect","Wilko","Light Pulls","Clear","1",NA,"Single",NA,NA,NA,NA,1
"325512","Wilko Handwash Family White 500ml","Wilko","Hand Wash",NA,"1",NA,"500ml",NA,NA,NA,NA,1
"325515","Wilko Hand Sanitiser Original 50ml","Wilko","Hand Wash",NA,"1",NA,"50ml",NA,NA,NA,NA,1
"327181","Wilko Toilet Brush and Holder White Dome","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"327185","Wilko Dome Pedal Bin White 3L","Wilko","Bathroom Bin","White","1",NA,"Single",NA,NA,NA,NA,1
"327210","Wilko Butterfly Shower Curtain","Wilko","Shower Curtains","White",NA,NA,"180cm x 180cm",NA,NA,NA,"Painted Paper",1
"327295","Wilko Pedestal Set Black Stripe 50 x 70cm and50 x 50cm","Wilko","Bathmat Set","Black","1",NA,"61.3x51.1cm",NA,NA,NA,NA,1
"327299","Wilko Pedestal Set Blue Stripe 50 x 70cm and50 x 50cm","Wilko","Bathmat Set","Blue","1",NA,"59x51.5cm",NA,NA,NA,NA,1
"327638","Wilko Silver Mosaic Soak Word Plaque","Wilko","Bathroom Ornament","Silver","1",NA,"Single",NA,NA,NA,NA,1
"327640","Wilko Mosaic Soap Dispenser Silver","Wilko","Soap Dispenser","Silver","1",NA,"Single",NA,NA,NA,NA,1
"327641","Wilko Mosaic Tumbler Silver","Wilko","Tumblers","Silver","1",NA,"Single",NA,NA,NA,NA,1
"327642","Wilko Silver Mosaic Mirror","Wilko","Bathroom Mirrors",NA,"1",NA,"Single",NA,NA,NA,NA,1
"327643","Wilko Freestanding Mirror Small","Wilko","Bathroom Mirrors",NA,"1",NA,"Single",NA,NA,NA,NA,1
"327644","Wilko Freestanding Mirror Large","Wilko","Bathroom Mirrors",NA,"1",NA,"Single",NA,NA,NA,NA,1
"327650","Wilko Freestanding Mirror Wooden","Wilko","Bathroom Mirrors",NA,"1",NA,"Single",NA,NA,NA,NA,1
"327652","Wilko Pop Up Laundry Bin Striped","Wilko","Laundry Baskets","Blue","1",NA,"Single",NA,NA,NA,NA,1
"327710","Wilko Rush Laundry Hamper Rectangular","Wilko","Laundry Baskets","Cream","1",NA,"Single",NA,NA,NA,NA,1
"327820","Wilko Mosaic Toilet Roll Holder Silver","Wilko","Toilet Roll Holders","Silver","1",NA,"Single",NA,NA,NA,NA,1
"341653","Wilko Toilet Brush Holder Black","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"341696","Wilko Toilet Brush Holder Silver Mosaic","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"341738","Wilko Rope Mirror","Wilko","Bathroom Mirrors",NA,"1",NA,"29cm",NA,NA,NA,NA,1
"343562","Wilko Bath and Shower Mixer Set","Wilko","Shower Sets",NA,"1",NA,"64 cm x 13 cm x 12.5 cm",NA,NA,NA,NA,1
"346745","Wilko Talc 500g","Wilko","Talc",NA,"1",NA,"500g",NA,NA,NA,NA,1
"346803","Wilko Sensitive Antibacterial Handwash 500ml","Wilko","Hand Wash",NA,"1",NA,"500ml",NA,NA,NA,NA,1
"346806","Wilko Creme Bath  White 750ml","Wilko","Bubble Bath, Creams and Oils",NA,"1",NA,"750ml",NA,NA,NA,NA,1
"346807","Wilko Creme Bath  Lilac 750ml","Wilko","Bubble Bath, Creams and Oils",NA,"1",NA,"750ml",NA,NA,NA,NA,1
