"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"FOO","SXM","323787","Elizabeth Shaw Mint Crisp Dark Chocolate 175g","Elizabeth Shaw","15.5CM","15.5CM","3.0CM","Boxed Chocolate","175g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","424401","Elizabeth Shaw Milk Chocolate Mint Crisp 175g","Elizabeth Shaw","15.5CM","15.5CM","3.0CM","Boxed Chocolate","175g","Blue","1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","425591","Elizabeth Shaw Milk Orange Crisp 175g","Elizabeth Shaw","15.5CM","15.5CM","3.0CM","Boxed Chocolate","175g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","442128","Kinder Joy Christmas Surprise Egg 20g","Ferrero Rocher","8.0CM","5.0CM","5.3CM","Confectionery Gifts","Length 5.3cm, Width 5 cm, Height 8cm",NA,"1","Chocolate","No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","442129","Kinder Figures 90g","Ferrero Rocher","10.1CM","2.7CM","27.9CM","Confectionery Gifts","90g",NA,"1","Chocolate","No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","442130","Kinder Mini Mix House 79g","Ferrero Rocher","16.5CM","9.0CM","4.7CM","Confectionery Gifts","Length 4.7cm, Width 9cm, Height 16.5cm",NA,"1","Chocolate","No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","442131","Kinder Happy 102g","Ferrero Rocher","16.0CM","3.5CM","8.0CM","Confectionery Gifts","Length 8cm, Width 3.5cm, Height 16cm",NA,"1","Chocolate","No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","444855","Kinder Chocolate Minis Hanging Star","Ferrero Rocher","3.9CM","1.1CM","1.1CM","Confectionery Gifts",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","445377","Grand Rocher 125g","Ferrero Rocher","13.0CM","12.0CM","12.0CM","Confectionery Gifts","125g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","258309","Galaxy Collection Selection Box 259g","Galaxy","19.1CM","37.0CM","2.8CM","Selection Box","259g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
