"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Coverage","DQ Score"
"PAI","CRO","435441","Crown Matt Emulsion Paint Tester PotBrandy Snap 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435444","Crown Matt Emulsion Paint Tester PotChoc Chip 40ml","Crown","40ml","Brown","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435445","Crown Matt Emulsion Paint Tester PotCity Break 40ml","Crown","40ml","Grey","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435446","Crown Matt Emulsion Paint Tester PotClay White 40ml","Crown","40ml","White","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435447","Crown Matt Emulsion Paint Tester PotCloud Burst 40ml","Crown","40ml","Grey","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435449","Crown Matt Emulsion Paint Tester PotCream White 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435452","Crown Matt Emulsion Paint Tester PotDash of Nutmeg 40ml","Crown","40ml","Brown","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435453","Crown Matt Emulsion Paint Tester PotDelicate Cream 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435454","Crown Matt Emulsion Paint Tester PotDream White 40ml","Crown","40ml","White","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435455","Crown Matt Emulsion Paint Tester PotDuck Egg 40ml","Crown","40ml","Blue","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435456","Crown Matt Emulsion Paint Tester PotEnglish Fire 40ml","Crown","40ml","Red","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435458","Crown Matt Emulsion Paint Tester PotFairy Dust 40ml","Crown","40ml","Pink","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435459","Crown Matt Emulsion Paint Tester PotForgotten Paradise 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435460","Crown Matt Emulsion Paint Tester PotGentle Olive 40ml","Crown","40ml","Green","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435461","Crown Matt Emulsion Paint Tester PotGentle Dust 40ml","Crown","40ml","Grey","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435463","Crown Matt Emulsion Paint Tester PotHappy Daze 40ml","Crown","40ml","Yellow","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435464","Crown Matt Emulsion Paint Tester PotHare 40ml","Crown","40ml","Brown","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435466","Crown Matt Emulsion Paint Tester PotIvory Cream 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435470","Crown Matt Emulsion Paint Tester PotMagnolia 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435471","Crown Matt Emulsion Paint Tester PotMellow Sage 40ml","Crown","40ml","Green","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435472","Crown Matt Emulsion Paint Tester PotMilk White 40ml","Crown","40ml","White","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435474","Crown Matt Emulsion Paint Tester PotMustard Jar 40ml","Crown","40ml","Yellow","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435476","Crown Matt Emulsion Paint Tester PotOn the Rocks 40ml","Crown","40ml","Brown","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435477","Crown Matt Emulsion Paint Tester PotPale Gold 40ml","Crown","40ml","Yellow","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435479","Crown Matt Emulsion Paint Tester PotPicnic Basket 40ml","Crown","40ml","Brown","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435481","Crown Matt Emulsion Paint Tester PotPowder Blue 40ml","Crown","40ml","Blue","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435482","Crown Matt Emulsion Paint Tester PotRoof Garden 40ml","Crown","40ml","Green","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435483","Crown Matt Emulsion Paint Tester PotSail White 40ml","Crown","40ml","White","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435485","Crown Matt Emulsion Paint Tester PotSeldom Seen 40ml","Crown","40ml","Grey","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435486","Crown Matt Emulsion Paint Tester PotSerene White 40ml","Crown","40ml","White","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435487","Crown Matt Emulsion Paint Tester PotSmoked Glass 40ml","Crown","40ml","Grey","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435489","Crown Matt Emulsion Paint Tester PotSnowfall 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435490","Crown Matt Emulsion Paint Tester PotSoft Cream 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435491","Crown Matt Emulsion Paint Tester PotSoft Lime 40ml","Crown","40ml","Green","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435492","Crown Matt Emulsion Paint Tester PotSoft Linen 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435497","Crown Matt Emulsion Paint Tester PotStepping Stone 40ml","Crown","40ml","Blue","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435499","Crown Matt Emulsion Paint Tester PotSunrise 40ml","Crown","40ml","Yellow","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435500","Crown Matt Emulsion Paint Tester PotSweet Dreams 40ml","Crown","40ml","Purple","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435501","Crown Matt Emulsion Paint Tester PotToasted Almond 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435502","Crown Matt Emulsion Paint Tester PotWheatgrass 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435503","Crown Matt Emulsion Paint Tester PotWinterbloom 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","GLO","434207","Crown Non Drip Gloss PaintPure Brilliant White 750ml","Crown","750ml","White","1","No","750ml",NA,0.65
"PAI","GLO","434208","Crown Non Drip Gloss PaintPure Brilliant White 2.5L","Crown","2.5L","White","1","No","2.5ltr",NA,0.65
"PAI","GLO","434209","Crown Solo Gloss PaintPure Brilliant White 750ml","Crown","750ml","White","1","No","750ml",NA,0.65
"PAI","GLO","434210","Crown Solo Gloss PaintPure Brilliant White 2.5L","Crown","2.5L","White","1","No","2.5ltr",NA,0.65
"PAI","GLO","434211","Crown Solo Satin PaintPure Brilliant White 750ml","Crown","750ml","White","1","No","750ml",NA,0.65
"PAI","GLO","434212","Crown Solo Satin PaintPure Brilliant White 2.5L","Crown","2.5L","White","1","No","2.5ltr",NA,0.65
"PAI","GLO","434213","Crown Quick Dry Gloss PaintPure Brilliant White 750ml","Crown","750ml","White","1","No","750ml",NA,0.65
"PAI","GLO","434214","Crown Quick Dry Gloss PaintPure Brilliant White 2.5L","Crown","2.5L","White","1","No","2.5ltr",NA,0.65
"PAI","GLO","434215","Crown Quick Dry Satin PaintPure Brilliant White 750ml","Crown","750ml","White","1","No","750ml",NA,0.65
"PAI","GLO","434216","Crown Quick Dry Satin PaintPure Brilliant White 2.5L","Crown","2.5L","White","1","No","2.5ltr",NA,0.65
"PAI","GLO","434217","Crown UndercoatWhite 750ml","Crown","750ml","White","1","No","750ml",NA,0.65
"PAI","GLO","434219","Crown Quick Dry UndercoatWhite 750ml","Crown","750ml","White","1",NA,NA,NA,0.941666666666667
"PAI","WAP","251417","Crown Silk Emulsion PaintPure Brilliant White 2.5L","Crown","2.5L","White",NA,NA,NA,"42m²",0.941666666666667
"PAI","WAP","251418","Crown Matt Emulsion PaintPure Brilliant White 2.5L","Crown","2.5L","White",NA,NA,NA,"42m²",0.941666666666667
"PAI","WAP","443346","Crown Silk Emulsion PaintPure Brilliant White 5L","Crown","5L","White",NA,NA,NA,NA,0.883333333333333
"PAI","WAP","443347","Crown Matt Emulsion PaintPure Brilliant White 5L","Crown","5L","White",NA,"No",NA,NA,0.65
"PAI","WAP","446349","Crown Breatheasy Matt Emulsion PaintPure Brilliant White 7.5L","Crown","7.5L","White","1",NA,NA,"105 Sq Metres",1
