"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"TOI","RIM","417227","Rimmel 60 Seconds Supershine Nail Polish Clear 740","Rimmel",NA,NA,"1",0.86
"TOI","RIM","417228","Rimmel 60 Seconds Supershine Nail Polish Ethereal","Rimmel",NA,"Brown","1",0.93
"TOI","RIM","417229","Rimmel 60 Seconds Supershine Nail Polish HotTropicana 407","Rimmel",NA,"Pink","1",0.93
"TOI","RIM","417230","Rimmel 60 Seconds Super Shine Nail Polish RapidRuby 320","Rimmel",NA,"Red","1",0.93
"TOI","RIM","417231","Rimmel 60 Seconds Super Shine Nail Polish BlackCherries 345","Rimmel",NA,"Red","1",0.93
"TOI","RIM","417232","Rimmel 60 Seconds Super Shine Nail Polish ChinUp 452","Rimmel",NA,"Yellow","1",0.93
"TOI","RIM","417233","Rimmel 60 Seconds Super Shine Nail Polish DannyBoy Blue 828","Rimmel",NA,"Blue","1",0.93
"TOI","RIM","417234","Rimmel 60 Seconds Super Shine Nail Polish DoubleDecker Red 310","Rimmel",NA,"Red","1",0.93
"TOI","RIM","417235","Rimmel 60 Seconds Super Shine Nail Polish CaramelCupcake 500","Rimmel",NA,"Brown","1",0.93
"TOI","RIM","417236","Rimmel 60 Seconds Super Shine Nail Polish PillowTalk 853","Rimmel",NA,"Blue","1",0.93
"TOI","RIM","417237","Rimmel 60 Seconds Super Shine Nail Polish RosePink Libertine 405","Rimmel",NA,"Pink","1",0.93
"TOI","RIM","417238","Rimmel 60 Seconds Super Shine Nail Polish SilverBullet 730","Rimmel",NA,"Silver","1",0.93
"TOI","RIM","417239","Rimmel 60 Seconds Super Shine Nail Polish InstyleCoral 415","Rimmel",NA,"Orange","1",0.93
"TOI","RIM","417240","Rimmel 60 Seconds Super Shine Nail PolishCoralicious 430","Rimmel",NA,"Red","1",0.93
"TOI","RIM","417242","Rimmel 60 Seconds Super Shine Nail Polish LoseYour Lingerie 203","Rimmel",NA,"Pink","1",0.93
"TOI","RIM","417245","Rimmel 60 Seconds Super Shine Nail Polish DarlingYou Are Fabulous 809","Rimmel",NA,"Gold","1",0.93
"TOI","RIM","417246","Rimmel 60 Seconds Super Shine Nail Polish YourMajesty 808","Rimmel",NA,"Silver","1",0.93
"TOI","RIM","417248","Rimmel 60 Seconds Super Shine Nail Polish SecondSuper Shine 510","Rimmel",NA,"Brown","1",0.93
"TOI","RIM","417249","Rimmel 60 Seconds Super Shine Nail Polish Gimme335","Rimmel",NA,"Red","1",0.93
"TOI","RIM","417252","Rimmel 60 Seconds Super Shine Nail PolishBreakfast In Bed 873","Rimmel",NA,"Green","1",0.93
