"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Age","DQ Score"
"TOI","FAC","269391","Nivea Daily Essentials 2 in 1 Cleanser and Toner200ml","Nivea","18.3CM","5.9CM","3.1CM","Cleansing Lotion","200ml",NA,"1",NA,1
"TOI","FAC","278476","Nivea Daily Essentials Double Effect Eye Make-UpRemover 125ml","Nivea","13.7CM","5.4CM","3.7CM","Make Up Removers and Wipes","125ml",NA,"1",NA,1
"TOI","FAC","278478","Nivea  Daily Essentials Regenerating NightCream 50ml","Nivea","5.1CM","6.5CM","6.5CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","309460","Nivea Daily Essentials Oil Free Moisturising DayCream 50ml","Nivea","12.4CM","4.8CM","3.8CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","310868","Nivea Daily Essentials Refreshing Facial Wash Gel150ml","Nivea","14.6CM","7.8CM","4.6CM","Face Wash","150ml",NA,"1",NA,1
"TOI","FAC","310869","Nivea Daily Essentials Rich Regenerating NightCream 50ml","Nivea","6.6CM","7.1CM","7.1CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","324061","Nivea Pure and Natural Regenerating Night Cream50ml","Nivea","5.1CM","6.5CM","6.6CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","338360","Nivea Daily Essentials Express Hydration PrimerDry and Sensitive Skin 50ml","Nivea","7.5CM","6.5CM","6.5CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","338498","Nivea Daily Essentials Extra Gentle Eye MakeupRemover 125ml","Nivea","13.2CM","6.5CM","3.0CM","Make Up Removers and Wipes","125ml",NA,"1",NA,1
"TOI","FAC","338510","Nivea Q10 Plus Anti-Wrinkle Pore Refining Day Cream SPF 15 50ml","Nivea","7.5CM","6.5CM","6.5CM","Facial Moisturisers","50ml",NA,"1",NA,1
