"PSA_1","PSA_2","Article","Web Description","DQ Score"
"TOI","HAI","456252","L'Oreal Casting Creme Gloss 700 Dark Blonde SemiPermanent Hair Dye",0.81
"TOI","HAI","456253","L'Oreal Magic Retouch Golden Brown Root Touch Up",0.6
"TOI","HAI","456264","L'Oreal Excellence Creme 5.3 Golden BrownPermanent Hair Dye",0.81
"TOI","HAI","456265","L'Oreal Excellence Creme 3 Natural Darkest BrownPermanent Hair Dye",0.81
"TOI","HAI","457106","Live Ultra Bright Aqua Collection 111",0.76
"TOI","HAI","457107","Live Ult Bright Sunburst Collection 110",0.76
"TOI","HAI","457108","Schwarzkopf Live Pastel It 200ml",0.81
"TOI","MAY","302601","Maybelline Dream Lumi Touch Concealer 01 Ivory",0.95
"TOI","MAY","306946","Maybelline Superstay 7 Gel Nail Bubble Gum",0.95
"TOI","MAY","306949","Maybelline SuperStay 7 Days Gel Nail Polish 135Nude Rose",0.88
"TOI","MAY","450706","Maybelline Dream Brightening Concealer 40 Medium",0.88
"TOI","MAY","450711","Maybelline SuperStay 24hr Primer 20ml",0.95
"TOI","MAY","456682","Maybelline Volum' Express Colossal Big ShotMascara Black",0.81
"TOI","MAY","456683","Maybelline Volum' Express Colossal Big ShotWaterproof Black Mascara",0.81
"TOI","MAY","456686","Maybelline Master Ink Matte Liquid Eyeliner Black",0.81
"TOI","MED","452300","Canesfresh Feminine Wipes 10pk",0.76
"TOI","MED","453063","Benadryl Childrens Allergy Relief 6+Oral Soultion 70ml",0.95
"TOI","MED","82890","Blistex Relief Cream 5g",0.95
"TOI","MED","352115","Elastoplast Fabric Plasters 40s",0.8625
"TOI","MED","453075","Gaviscon Double Action 12s",0.6
"TOI","MED","453084","Gaviscon Tablets Peppermint 24s",0.6
"TOI","MED","453085","Gaviscon Tablets Peppermint 48s",0.6
"TOI","MED","453086","Gaviscon Strawberry Tablets 24s",0.6
"TOI","MED","453088","Gaviscon Double Action 24s",0.6
"TOI","MED","453089","Gaviscon Double Action 48s",0.6
"TOI","MED","453227","Gaviscon Tablets Strawberry 48s",0.6
"TOI","MED","444885","Scholl Light Legs Small",0.775
"TOI","MED","330043","Seven Seas Original Cod Liver Oil 170ml",0.8625
"TOI","MED","352256","XLS Fat Binder 30pk",0.9
"TOI","MED","435264","XLS Max Strength 20pk",0.8125
"TOI","MEN","426896","Adidas Extreme Power Body Spray 150ml",0.8625
"TOI","MEN","304362","Lynx Body Spray Dark Temptation 200ml",0.95
"TOI","MEN","304363","Lynx Body Spray Africa 200ml",0.8625
"TOI","MEN","453529","Sure For Men Antibacterial Antiperspirant150ml",0.8625
"TOI","MEN","433407","Wilkinson Sword Hydro 5 Blades 4pk",0.75
"TOI","MEN","433408","Wilkinson Sword Hydro 3 Blades 4pk",0.75
"TOI","MEN","433412","Wilkinson Sword Hydro 5 Sensitive Blades 4pk",0.75
"TOI","PER","287321","Giorgio Beverly Hills Eau de Toilette 30ml",0.9
"TOI","PER","452658","Emporio Armani Diamond Rose Eau de Toilette 30ml",0.95
"TOI","PER","445552","Anais Anais Eau De Toilette 30ml",0.9
