"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"HOU","MAT","304577","Wilko Washable Mat Assorted 50 x 80cm","Wilko",".5CM","80.0CM","50.0CM","Mats","50x80cm","Multi",NA,"Polypropylene, Latex",NA,"Washable",NA,NA,NA,NA,NA,1
"HOU","MAT","334029","Wilko Washable Door Mat Assorted Designs57 x 90cm","Wilko","1.0CM","90.0CM","57.0CM","Mats","57cmx90cm","Multi",NA,"Nylon, Latex",NA,"Washable",NA,NA,NA,NA,NA,1
"HOU","MAT","334031","Wilko Washable Mat Beige Large 57 x 90cm","Wilko",".3CM","90.0CM","57.0CM","Mats","57cmx90cm","Brown",NA,"Polypropylene, Latex",NA,"Washable",NA,NA,NA,NA,NA,1
"HOU","MAT","334032","Wilko Washable Mat Grey 40 x 60cm","Wilko",".8CM","60.0CM","40.0CM","Mats","40x60cm","Grey",NA,"Polypropylene, Latex Rubber",NA,"Washable",NA,NA,NA,NA,NA,1
"HOU","MAT","334033","Wilko Washable Runner Grey 57 x 150cm","Wilko","8.8CM","13.4CM","58.7CM","Runners","57x150cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","MAT","334036","Wilko Mat Chequered Design 40 x 60cm","Wilko","1.2CM","40.0CM","60.0CM","Mats","40cmx60cm","Multi",NA,"Nylon, Rubber",NA,"Washable",NA,NA,NA,NA,NA,1
"HOU","MAT","428350","Wilko Rubber Scraper Mat","Wilko","1.0CM","45.0CM","75.0CM","Mats","45x75cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","MAT","428351","Wilko Stripe Loop Runner","Wilko","12.0CM","12.0CM","57.0CM","Mats","57x150cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","MAT","428352","Wilko Ribbed Scraper Mat","Wilko","1.0CM","40.0CM","70.0CM","Mats","40x70cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","MAT","428353","Wilko Loop  Mat Heart Design","Wilko",".6CM","44.0CM","75.0CM","Mats","44x75cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","MAT","428354","Wilko Stripe Loop Mat","Wilko",".7CM","57.0CM","90.0CM","Mats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","MAT","428355","Mighty Mat Striped Mat","Wilko",".7CM","57.0CM","90.0CM","Mats","60x90cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"HOU","MAT","439180","Wilko All Seasons Rubber Coir Mat","Wilko",".7CM","60.0CM","90.0CM","Mats","60cm x 90cm",NA,NA,"Coir",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MAT","439181","Wilko Designer Coir Mat","Wilko","1.5CM","40.0CM","60.0CM","Mats","40cm x 60cm",NA,NA,"Coir",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MAT","439185","Wilko Wire Scraper Doormat","Wilko","3.0CM","40.0CM","60.0CM","Mats","40cm x 60cm",NA,NA,"Coir",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MAT","439186","Wilko Printed Designer Doormat","Wilko",".7CM","40.0CM","70.0CM","Mats","40cm x 70cm",NA,NA,"Nylon",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MAT","1484240","Wilko Functional Indoor Mat Ribbed Assorted40 x 60cm","Wilko Functional","1.3CM","60.0CM","40.0CM","Mats","60x40cm","Brown",NA,"Polypropylene, Latex Rubber",NA,"Do Not Wash",NA,NA,NA,NA,NA,1
"HOU","MOP","328396","Addis Step Stool","Addis","24.0CM","40.0CM","32.0CM","Step Stools",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","MOP","437058","Hertiage Cotton Mop","Charles Bentley","150.0CM","9.0CM","13.0CM","Mops",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","MOP","437059","Heritage Housekeepers Box","Charles Bentley","21.2CM","23.5CM","37.6CM","Cleaning Caddy",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","MOP","437060","Heritage Metal Mop Bucket","Charles Bentley","23.0CM","23.1CM","31.5CM","Buckets",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","MOP","437061","Heritage Hand Shovel","Charles Bentley","55.0CM","14.0CM","22.5CM","Shovel ",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","MOP","437062","Heritage Handled Feather Duster","Charles Bentley","134.0CM","21.0CM","28.0CM","Dusters",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","MOP","437063","Heritage Handled Dustpan Set","Charles Bentley","100.0CM","24.5CM","23.5CM","Dustpan and Brushes",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","MOP","437064","Heritage Dustpan and Brush Set","Charles Bentley","26.0CM","13.0CM","33.0CM","Dustpan and Brushes",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","MOP","437065","Heritage Wooden Clothes Pegs","Charles Bentley","20.5CM","3.0CM","11.0CM","Pegs",NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","MOP","437066","Heritage Peg Caddy","Charles Bentley","28.5CM","20.5CM","15.5CM","Peg Bags and Baskets",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
