"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","Capacity","Power","Model Number","Washable","Assembly","DQ Score"
"HOU","MOP","72832","Vileda Magic Mop Refill","Vileda","Mop Heads and Refills","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","137542","Wilko Bucket General Purpose Black Large 14.5L","Wilko","Buckets","Black","1","14.5L",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","189819","Wilko Window Wiper Blue 23cm","Wilko","Window Squeegee",NA,NA,"23cm",NA,NA,NA,NA,NA,NA,0.9125
"HOU","MOP","267250","Wilko Soft Grip Scrubbing Brush","Wilko","Scrubbing Brushes","Multi","1","Small",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","300346","Wilko Cleaning Caddy","Wilko","Cleaning Caddy",NA,"1","Large",NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","303367","Wilko Mop Bucket Silver 10L","Wilko","Buckets","Silver","1","10L",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","328331","Wilko Telescopic Chenille Duster Chenille 1.2m","Wilko","Dusters","Multi","1",NA,"Microfibre, PP, Steel. TPR",NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","351253","Wilko Long Handled Duster Micro Fibre 1.5m","Wilko","Dusters","Multi","1",NA,"Microfibre, PP, Steel. TPR",NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","437317","Wilko Handle 1.2m","Wilko","Broom and Brush Heads",NA,"1",NA,"Plastic Coated Steel, TPR",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437318","Wilko Mop Bucket with Wringer 11L","Wilko","Buckets",NA,"1",NA,"PPN",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437319","Wilko Rubber Broom 1.2m","Wilko","Broom and Brush Heads",NA,"1",NA,"TPR, PP, Steel",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437322","Wilko Premium Long Handled Dustpan And Brush Set75cm","Wilko","Dustpan and Brushes",NA,"1",NA,"PPN, TPR, PET",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437324","Wilko Dustpan and Brush Set","Wilko","Dustpan and Brushes",NA,"1",NA,"PPN, TPR, PET",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437325","Wilko Window and Shower Squeegee","Wilko","Window Squeegee",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","MOP","437326","Wilko Soft Indoor Broom with Handle 1.2m","Wilko","Broom and Brush Heads","White","1",NA,"PPN, TPR, PET",NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","437328","Wilko Electrostatic Mop Refill 28pk","Wilko","Mop Heads and Refills",NA,"28",NA,"Polyester",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437329","Wilko Electrostatic Mop 1.2m","Wilko","Mops",NA,"1",NA,"PP,EVA,Silicone,Plastic Coated Steel,Polyester",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437330","Wilko Floor Mop 2 in1 Double Sided 1.2m","Wilko","Mops",NA,"1",NA,"PP, Plastic, Coated Steel, Microfibre",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437331","Wilko Microfibre Fluffy Mop Refill","Wilko","Mop Heads and Refills",NA,"1",NA,"Microfibre",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437332","Wilko Microfibre Floor Mop Refill","Wilko","Mop Heads and Refills",NA,"1",NA,"Microfibre",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437335","Wilko Sponge Mop Refill","Wilko","Mops",NA,"1",NA,"Hydrophilic Sponge, PP",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437336","Wilko Strip Mop Complete with Handle 1.2m","Wilko","Mops",NA,"1",NA,"Viscose, Plastic Coated Steel, PP",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437338","Wilko Strip Mop Refill Viscose Spots","Wilko","Mops",NA,"1",NA,"Viscose, PP",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","437339","Wilko Strip Mop Refill Microfibre","Wilko","Mop Heads and Refills",NA,"1",NA,"Microfibre, PP",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454128","Wilko Metal Replacement Broom Handle","Wilko","Broom and Brush Heads",NA,"1",NA,"plastic coated steel",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454129","Wilko Replacement Wooden Handle","Wilko","Broom and Brush Heads",NA,"1",NA,"Pine",NA,NA,NA,NA,NA,0.883333333333333
