"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","Washable","Size","Material","Assembly","DQ Score"
"TOY","CRE","414821","Wilko Blox Safari Mammal Assortment","Wilko","Fantasy Building Sets","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","414822","Wilko Blox Dinosaur Assortment","Wilko","Fantasy Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","414823","Wilko Blox Space Ship Medium Set","Wilko","Space Building Sets","Multi",NA,"1","6 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","414824","Wilko Blox Emergency Medium Set Assortment","Wilko","Police and Fire Building Sets","Multi",NA,"1","6 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","414842","Wilko Blox Storage Box","Wilko","Accessories","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","414843","Wilko Blox Base Plate 5pk","Wilko","Accessories","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","417597","Wilko Blox Luxury Yacht Set","Wilko","City Life Building Sets","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","417599","Wilko Blox Advent Calendar","Wilko","Advent Calendar","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","419989","Wilko Christmas Blox Crackers 6pk","Wilko","Christmas Building Sets","Multi",NA,"6","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438388","Wilko Blox Space Ships Small Set Assortment","Wilko","Space Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438392","Wilko Blox Aircraft Small Set","Wilko","Police and Fire Building Sets","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438393","Wilko Blox Robot 3 in 1 Small Set Assortment","Wilko","Space Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438395","Wilko Blox Xmas Scene Medium Set","Wilko","Christmas Building Sets","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438396","Wilko Blox Pet Parlour Medium Set","Wilko","City Life Building Sets","Multi",NA,"1","6 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438397","Wilko Blox Sweet Shop Medium Set","Wilko","City Life Building Sets","Multi",NA,"1","6 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438398","Wilko Blox London Bus Medium Set","Wilko","City Vehicles Building Sets","Multi",NA,"1","6 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438411","Wilko Blox Drawstring Playmat Carry Bag","Wilko","Accessories","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438415","Wilko Puzzle 500pcsAssorted","Wilko","Jigsaws and Puzzles","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438417","Wilko Puzzle 1000pcs","Wilko","Jigsaws and Puzzles","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438430","Wilko Blox Figures 5pk Asst B","Wilko","Accessories","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","438431","Wilko Blox Figures 5pk Asst C","Wilko","Accessories","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","456575","Wilko Dino Op Game","Wilko","Classic Games","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","456576","Wilko Mouth Off Game","Wilko","Party Games","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","457341","Wilko Splat Face Game","Wilko","Party Games","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","FAN","280281","Barbie Fashion Doll Assorted","Barbie","Dolls","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.9
"TOY","FAN","401809","Barbie Beach Ken","Barbie","Dolls","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.9
"TOY","FAN","448537","Barbie Fashionista Doll Assorted","Barbie","Dolls","Multi",NA,"1","3 Years +","Wipe Clean Only",NA,NA,NA,0.95
"TOY","FAN","448539","Barbie Fashion Dresses Assortment","Barbie","Doll Accessories","Multi",NA,"1","3 Years +","Wipe Clean Only",NA,NA,NA,0.95
"TOY","FAN","448231","Beados Refill Pack","Beados","Beads and Jewels","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.9
"TOY","FAN","448233","Beados Four Colour Pen","Beados","Beads and Jewels","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","FAN","448342","Bunchems Bugs Bestioles Creation Pack","Bunchems","Craft Kits","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","FAN","448401","Bunchems Colour Booster Creation Pack","Bunchems","Craft Kits","Multi",NA,"1","6 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","FAN","443823","Chicco Ranger Dolls Pram Junior Collection Pink","Chicco Capri","Pram",NA,NA,"1","3 Years +",NA,NA,NA,NA,0.8
"TOY","FAN","452666","Cupcake Surprise Doll","Cupcake Surprise","Dolls","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.9
