"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Power","DQ Score"
"PET","CAT","454759","Perfect Fit Comp Dry Adult Chicken 750g","Perfect Fit","28.0CM","17.5CM","8.5CM","Bagged Food","750g",NA,"1",NA,1
"PET","CAT","454760","Perfect Fit Comp Dry Adult Salmon 750g","Perfect Fit","28.0CM","17.5CM","8.5CM","Bagged Food","750g",NA,"1",NA,1
"PET","CAT","454765","Perfect Fit Complete Dry Cat Food Senior 7+Chicken 750g","Perfect Fit","28.0CM","17.5CM","8.5CM","Senior Food 7+ Years","750g",NA,"1",NA,1
"PET","CAT","454766","Perfect Fit Complete Dry Cat Food Sensitive 1+Turkey 750g","Perfect Fit","28.0CM","17.5CM","8.5CM","Bagged Food","750g",NA,"1",NA,1
"PET","CAT","284784","Purina One Adult Dry Cat Food Chicken and WholeGrains 800g","Purina One","27.7CM","22.2CM","7.0CM","Bagged Food","800g",NA,"1",NA,1
"PET","CAT","284792","Purina One Adult Dry Cat Food Salmon and WholeGrains 800g","Purina One","27.7CM","22.2CM","7.0CM","Bagged Food","800g",NA,"1",NA,1
"PET","CAT","330121","Purina One Dry Cat Food Turkey and Rice forSensitive Digestion 800g","Purina One","27.7CM","22.2CM","7.0CM","Bagged Food","800g",NA,"1",NA,1
"PET","CAT","431387","Purina One Dry Senior Cat Food Chicken andWholegrain 800g","Purina One","27.5CM","19.5CM","6.9CM","Senior Food 7+ Years","800g",NA,"1",NA,1
"PET","CAT","252564","Sheba Alutray Cat Food Salmon Chunks in Jelly 85g","Sheba","9.5CM","8.5CM","2.7CM","Adult Foil Trays 1+ Years","85g",NA,"1",NA,1
"PET","CAT","252565","Sheba Alutray Cat Food Chicken Slices in Gravy 85g","Sheba","9.5CM","8.5CM","2.7CM","Adult Foil Trays 1+ Years","85g",NA,"1",NA,1
"PET","CAT","252566","Sheba Pouch Cat Food Turkey and Chicken inTerrine 100g","Sheba","9.5CM","8.5CM","2.7CM","Adult Foil Trays 1+ Years","85g",NA,"1",NA,1
"PET","CAT","314520","Sheba Fine Flakes Pouch Cat Food Sea Food inJelly 12 x 85g","Sheba","14.2CM","19.5CM","9.5CM","Adult Pouches 1+ Years","85g",NA,"12",NA,1
"PET","CAT","314521","Sheba Fine Flakes Pouch Cat Food PoultrySelection in Jelly 12 x 85g","Sheba","14.2CM","19.5CM","9.5CM","Adult Pouches 1+ Years","12x85g",NA,"1",NA,1
"PET","CAT","333169","Sheba Fresh Pouch Cat Food Poultry Selection inGravy 6 x 50g","Sheba","15.0CM","8.0CM","6.0CM","Adult Pouches 1+ Years","6x50g",NA,"6pk",NA,1
"PET","CAT","333170","Sheba Fresh Pouch Cat Food Fish Selection inGravy 6 x 50g","Sheba","15.0CM","8.0CM","6.0CM","Adult Pouches 1+ Years","6x50g",NA,"6pk",NA,1
"PET","CAT","333953","Sheba Alutray Cat Food Turkey in White Sauce 85g","Sheba","9.5CM","8.5CM","2.7CM","Adult Foil Trays 1+ Years","85g",NA,"1",NA,1
"PET","CAT","405680","Sheba Fresh Pouch Cat Food Fish Selection inJelly 6 x 50g","Sheba","15.0CM","8.0CM","6.0CM","Adult Pouches 1+ Years","6x50g",NA,"6",NA,1
"PET","CAT","430182","Sheba Pouch Cat Food Poultry Selection in Gravy12 x 50g","Sheba","4.5CM","7.0CM",".6CM","Adult Pouches 1+ Years","12x150g",NA,"12",NA,1
"PET","CAT","438767","Sheba Fresh Pouch Cat Food Succulent Selectionin Gravy 6 x 50g","Sheba","1.6CM","2.3CM","3.5CM","Adult Pouches 1+ Years","6x50g",NA,"6",NA,1
"PET","CAT","438768","Sheba Soup Pouch Cat Food Tuna Fillets 4 x 40g","Sheba","1.1CM","1.5CM","2.3CM","Soups","4x40g",NA,"4",NA,1
"PET","CAT","438769","Sheba Classics Soup with Chicken Fillets 4 x 40g","Sheba","1.1CM","1.5CM","2.3CM","Soups","4x40g",NA,"4",NA,1
"PET","CAT","259866","Webbox Cats Delight Cat Treats Tasty Stickssalmon and Trout 6pk","Webbox","18.5CM","8.7CM",".6CM","Chews","30g",NA,"1",NA,1
"PET","CAT","303791","Webbox Cats Delight Cat Treats Tasty SticksTurkey and Lamb 6pk","Webbox","18.5CM","8.7CM",".6CM","Chews","30g",NA,"6pk",NA,1
"PET","CAT","315453","Webbox Cats Delight Cat Treats Lick-e-Lix Chicken5 x 15g","Webbox","18.0CM","9.3CM","1.5CM","Cat Yoghurt","15g",NA,"5",NA,1
"PET","CAT","411303","Webbox Cats Delight Cat Treat Lick-e-LixSalmon 5 x 15g","Webbox","18.2CM","9.5CM","1.5CM","Cat Yoghurt","5x15g",NA,"5",NA,1
"PET","CAT","189431","Whiskas Pouch Cat Food Fish and Meat Selection inJelly 12 x 100g","Whiskas","14.5CM","19.3CM","9.5CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","218152","Whiskas Pouch Cat Food Fish Selection in Jelly 12x 100g","Whiskas","14.5CM","19.3CM","9.5CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","218391","Whiskas Pouch Cat Food Poultry Selection in Gravy12 x 100g","Whiskas","14.5CM","19.3CM","9.5CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","221221","Whiskas 1+ Cat Food Pouch Poultry Selectionin Jelly 12 x 100g","Whiskas","14.5CM","19.3CM","9.5CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","232303","Whiskas Cat Treats Temptations Chicken and Cheese60g","Whiskas","8.2CM","11.4CM","4.5CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","264971","Whiskas Complete Dry Cat Food Chicken andVegetables 825g","Whiskas","27.8CM","17.8CM","5.2CM","Boxed Food","825g",NA,"1",NA,1
"PET","CAT","264974","Whiskas Complete Dry Cat Food Tuna and Vegetables825g","Whiskas","27.8CM","17.8CM","5.2CM","Boxed Food","825g",NA,"1",NA,1
"PET","CAT","264975","Whiskas Complete Dry Cat Food Chicken 340g","Whiskas","23.5CM","14.5CM","4.0CM","Boxed Food","340g",NA,"1",NA,1
"PET","CAT","267131","Whiskas 7+ Cat Pouches Poultry Selection in Gravy12x100g","Whiskas","14.5CM","19.3CM","9.5CM","Senior Food 7+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","292455","Whiskas Cat Treats Temptations Salmon 60g","Whiskas","8.2CM","11.4CM","4.5CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","292465","Whiskas Complete Dry Adult Cat Food DentalProtection Plus with Tuna 340g","Whiskas","23.5CM","14.5CM","3.8CM","Boxed Food","340g",NA,"1",NA,1
"PET","CAT","405672","Whiskas 1+ Cat Food Pouch Poultry in Jelly40 x 100g","Whiskas","14.5CM","39.3CM","19.8CM","Adult Pouches 1+ Years","40x100g",NA,"40pk",NA,1
"PET","CAT","405673","Whiskas Cat Treat Dentabites Chicken 50g","Whiskas","17.5CM","11.0CM","4.0CM","Dental Treats","50g",NA,"1",NA,1
"PET","CAT","405674","Whiskas Cat Treat Dentabites Salmon 50g","Whiskas","17.0CM","11.0CM","2.5CM","Dental Treats","50g",NA,"1",NA,1
"PET","CAT","405679","Whiskas 1+  Cat Food Pouch Fish Selection inJelly 40 X 100g","Whiskas","14.5CM","39.3CM","19.8CM","Adult Pouches 1+ Years","40x100g",NA,"40",NA,1
"PET","CAT","412796","Whiskas Dry Senior With Chicken 825g","Whiskas","27.8CM","17.8CM","5.2CM","Senior Food 7+ Years","825g",NA,"1",NA,1
"PET","CAT","431033","Whiskas Complete Dry Cat Food Chicken 2kg","Whiskas","6.5CM","7.5CM","10.0CM","Bagged Food","2kg",NA,"1",NA,1
"PET","CAT","431584","Whiskas Cat Milk  3 x 200ml","Whiskas","12.4CM","18.6CM","30.7CM","Milk","3x200ml",NA,"3",NA,1
"PET","CAT","434383","Whiskas Cat Treats Anti-Hairball 55g","Whiskas","17.0CM","11.0CM","2.5CM","Anti Hairball","55g",NA,"1",NA,1
"PET","CAT","437597","Whiskas Pouch Cat Food Meat Selection in Jelly 12x 100g","Whiskas","14.5CM","19.3CM","9.5CM","Adult Pouches 1+ Years","12x100g",NA,"12",NA,1
"PET","CAT","437599","Whiskas Senior Food Pouch Fish Selection in Jelly12 x 100g","Whiskas","14.5CM","19.3CM","9.5CM","Senior Food 7+ Years","12x100g",NA,"12",NA,1
"PET","CAT","449955","Whiskas 1+ Cat Food Casserole Poultry Selection12 x 85g","Whiskas","14.4CM","19.5CM","9.5CM","Adult Pouches 1+ Years","85g x 12",NA,"12",NA,1
"PET","CAT","449956","Whiskas 1+ Cat Food Casserole Fish Selection 85g 12 Pack","Whiskas","14.4CM","19.5CM","9.6CM","Adult Pouches 1+ Years","85g x 12",NA,"12",NA,1
"PET","CAT","449957","Whiskas 1+ Cat Food Casserole Meaty Selection12 x 85g","Whiskas","14.4CM","19.5CM","9.6CM","Adult Pouches 1+ Years","85g x 12",NA,"12",NA,1
"PET","CAT","450775","Whiskas 1+ Cat Food Casserole Fishy/MeatySelection 12 x 85g","Whiskas","14.4CM","19.5CM","9.6CM","Adult Pouches 1+ Years","12x85g",NA,"12",NA,1
"PET","CAT","188241","Wilko Pouch Cat Food Fishy Feast with Tuna inJelly 100g","Wilko","13.7CM","8.8CM","2.0CM","Adult Pouches 1+ Years","100g",NA,"1",NA,1
"PET","CAT","192284","Wilko Pouch Cat Food Beef Chicken Duck and Turkeyin Gravy 12 x 100g","Wilko","14.5CM","19.7CM","9.7CM","Adult Pouches 1+ Years","12x100g",NA,"1",NA,1
"PET","CAT","236689","Wilko Pouch Cat Food Meaty Feast Selection inJelly 12 x 100g","Wilko","14.5CM","19.7CM","9.7CM","Adult Pouches 1+ Years","12x100g",NA,"12",NA,1
"PET","CAT","236691","Wilko Pouch Cat Food Fishy Feast Selection inJelly 12 x 100g","Wilko","14.5CM","19.7CM","9.7CM","Adult Pouches 1+ Years","12x100g",NA,"12",NA,1
"PET","CAT","292376","Wilko Cat Brush","Wilko","19.0CM","12.0CM","4.0CM","Comb and Brushes","One Size","Red","1",NA,1
"PET","CAT","303560","Wilko Pouch Cat Food Meaty Feast with Chicken inJelly 100g","Wilko","13.7CM","8.8CM","1.7CM","Adult Pouches 1+ Years","100g",NA,"1",NA,1
"PET","CAT","303562","Wilko Senior Cat Food Favourite Feast Selection12 x 100g","Wilko","14.0CM","19.5CM","9.5CM","Senior Food 7+ Years","12x100g",NA,"12",NA,1
"PET","CAT","334044","Wilko Cat Treats Cushions Salmon 60g","Wilko","17.4CM","10.8CM","3.4CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","334047","Wilko Cat Treats Cushions Cheese 60g","Wilko","17.4CM","10.8CM","3.4CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","336162","Wilko Pouch Cat Food Favourite Feast Selection inJelly 44 x 100g","Wilko","12.5CM","39.3CM","19.4CM","Adult Pouches 1+ Years","44x100g",NA,"44",NA,1
"PET","CAT","410510","Wilko Cat Treat Sticks Salmon and Trout 10 x 5g","Wilko","18.5CM","9.0CM","1.0CM","Chews","10x5g",NA,"1",NA,1
"PET","CAT","410511","Wilko Cat Treat Sticks Chicken and Liver 10 x 5g","Wilko","18.5CM","9.0CM","1.0CM","Chews","10x5g",NA,"1",NA,1
"PET","CAT","413522","Wilko Pouch Cat Food Premium Meat SelctionCuts in Gravy 12 x 100g","Wilko","14.3CM","19.6CM","9.7CM","Adult Pouches 1+ Years","12x100g",NA,"12",NA,1
"PET","CAT","413523","Wilko Pouch Cat Food Premium Fish SelectionFlakes in Jelly 12 x 100g","Wilko","14.3CM","19.6CM","9.7CM","Adult Pouches 1+ Years","12x100g",NA,"12",NA,1
"PET","CAT","416497","Wilko Cat Milk 200ml","Wilko","12.0CM","5.5CM","5.5CM","Milk","200ml",NA,"200ml",NA,1
"PET","CAT","430585","Wilko Cat Treat Fish Mix 60g","Wilko","17.0CM","10.0CM","3.5CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","430586","Wilko Cat Treat Dental 50g","Wilko","17.0CM","10.0CM","3.5CM","Biscuit Treats","50g",NA,"1",NA,1
"PET","CAT","430621","Wilko Alutray Cat Food Salmon in Terrine 100g","Wilko","2.2CM","9.0CM","9.0CM","Adult Foil Trays 1+ Years","100g",NA,"1",NA,1
"PET","CAT","430623","Wilko Alutray Cat Food Chicken and Turkey inTerrine 100g","Wilko","2.2CM","9.0CM","9.0CM","Adult Foil Trays 1+ Years","100g",NA,"1",NA,1
"PET","CAT","453027","Wilko Cat Treat Catnip Drops 75g","Wilko","17.0CM","9.0CM","5.0CM","Catnip","75g",NA,"1",NA,1
"PET","CAT","453030","Wilko Fish Selection Cat Food Chunks in Jelly6x400g","Wilko","10.5CM","15.0CM","22.5CM","Adult Tins 1+ Years","400g x 6",NA,"6",NA,1
"PET","CAT","453815","Wilko Fipronil Cat Spot On 3 Tube","Wilko","14.0CM","8.5CM","2.0CM","Flea and Worming Control","2cm x 8.5cm x 14cm",NA,"1",NA,1
"PET","CAT","453819","Wilko Cat Spot On Flea Repellent 2 Tubes","Wilko","18.5CM","10.0CM","1.8CM","Flea and Worming Control","2pk",NA,"1",NA,1
"PET","CAT","454783","Wilko Chalkboard Cat Treat Tin","Wilko","17.5CM","11.8CM","11.8CM","Treat Tin","17.5cm x 11.8cm",NA,"1",NA,1
"PET","CAT","456119","Wilko Favourites Cat Food Meat & Fish Selection12 x 100g","Wilko","14.5CM","9.7CM","19.5CM","Adult Pouches 1+ Years","12x100g",NA,"1",NA,1
"PET","CAT","456120","Wilko Premium Cuts Cat Food Meat & PoultrySelection in Jelly 12 x 100g","Wilko","14.5CM","9.7CM","19.5CM","Adult Pouches 1+ Years","12x100g",NA,"1",NA,1
"PET","CAT","80416","Wilko Cat Flea Collar Felt","Wilko","19.6CM","10.0CM","1.7CM","Flea Collar","From 3 Months",NA,"1",NA,1
"PET","CAT","94398","Wilko Cat Flea Collar Glitter Felt","Wilko","19.5CM","10.0CM","2.3CM","Flea Collar","From 3 Months",NA,"1",NA,1
"PET","CAT","310067","Wilko Best Tinned Cat Food Tuna Loin in Sauce 80g","Wilko Best","3.5CM","7.5CM","7.5CM","Adult Tins 1+ Years","80g",NA,"1",NA,1
"PET","CAT","310068","Wilko Best Tinned Cat Food Chicken in Sauce 80g","Wilko Best","3.5CM","7.5CM","7.5CM","Adult Tins 1+ Years","80g",NA,"1",NA,1
"PET","CAT","336114","Wilko Best Pouch Cat Food Tuna Loin Flakes inJelly 80g","Wilko Best","14.5CM","9.9CM","25.0CM","Adult Pouches 1+ Years","80g",NA,"1",NA,1
"PET","CAT","336115","Wilko Best Pouch Cat Food Chicken Breast Flakesin Jelly 80g","Wilko Best","14.5CM","9.9CM","25.0CM","Adult Pouches 1+ Years","80g",NA,"1",NA,1
"PET","CAT","336183","Wilko Best Cat Treats Mini Strips Chicken 50g","Wilko Best","17.0CM","12.0CM","2.0CM","Meaty Mini Strips","50g",NA,"1",NA,1
"PET","CAT","336184","Wilko Best Cat Treats Mini Strips Duck 50g","Wilko Best","17.0CM","12.0CM","2.0CM","Meaty Mini Strips","50g",NA,"1",NA,1
"PET","CAT","414126","Wilko Best Pouch Cat Food Tuna Loin with Mackerelin Jelly 80g","Wilko Best","13.8CM","9.0CM","1.6CM","Adult Pouches 1+ Years","80g",NA,"16",NA,1
"PET","CAT","414179","Wilko Best Pouch Cat Food Tuna with Shrimp inSauce 80g","Wilko Best","3.0CM","7.5CM","7.5CM","Adult Pouches 1+ Years","80g",NA,"12",NA,1
"PET","CAT","431072","Wilko Best Pouch Cat Food Chicken BreastSelection 6 x 50g","Wilko Best","16.5CM","9.5CM","6.1CM","Adult Pouches 1+ Years","6x50g",NA,"6",NA,1
"PET","CAT","431073","Wilko Best Pouch Cat Food Tuna Loin Selection 6 x50g","Wilko Best","16.5CM","9.5CM","6.1CM","Adult Pouches 1+ Years","6x50g",NA,"6",NA,1
"PET","CAT","440315","Wilko Best Pouch Cat Food Chicken Broth 50g","Wilko Best","13.0CM","8.5CM","1.0CM","Soups","50g",NA,"1",NA,1
"PET","CAT","440316","Wilko Best Pouch Cat Food Seafood Bisque 50g","Wilko Best","13.0CM","8.5CM","1.0CM","Soups","50g",NA,"1",NA,1
"PET","CAT","454781","Wilko Best Cat Food Tuna Loin Selection in Sauce","Wilko Best","16.5CM","9.5CM","6.1CM","Adult Pouches 1+ Years","6x50g",NA,"6",NA,1
"PET","CAT","303555","Wilko Functional Tinned Cat Food Chicken inJelly 400g","Wilko Functional","10.9CM","7.5CM","7.5CM","Adult Tins 1+ Years","400g",NA,"1",NA,1
"PET","DOG","193859","Bakers Complete Dry Dog Food Chicken andVegetables 2.7kg","Bakers","38.6CM","25.6CM","10.5CM","Small Bagged Food","2.7kg",NA,"1",NA,1
"PET","DOG","245724","Bakers Complete Dry Dog Food Chicken and CountryVegetables 5kg","Bakers","45.0CM","25.0CM","20.5CM","Small Bagged Food","5kg",NA,"1",NA,1
"PET","DOG","252412","Bakers Complete Dry Puppy Food with Tasty Beefand Country Vegetables 1kg","Bakers","26.7CM","19.5CM","7.7CM","Puppy Food","1kg",NA,"1",NA,1
"PET","DOG","252414","Bakers Complete Dry Senior Food with TastyChicken Rice and Country Vegetables 1kg","Bakers","26.5CM","19.2CM","7.8CM","Senior Food","1kg",NA,"1",NA,1
"PET","DOG","252570","Bakers Complete Dry Dog Food Chicken andVegetables 1.35kg","Bakers","26.5CM","19.6CM","7.5CM","Boxed Food","1.535kg",NA,"1",NA,1
"PET","DOG","282937","Bakers Complete Dry Dog Food Weight Control 1kg","Bakers","26.5CM","19.5CM","7.5CM","Boxed Food","1kg",NA,"1",NA,1
"PET","DOG","292458","Bakers Complete Dry Dog Food with Tasty Beef andCountry Vegetables for Small Dogs 1kg","Bakers","26.5CM","19.5CM","7.5CM","Boxed Food","1kg",NA,"1",NA,1
"PET","DOG","336144","Bakers Dog Food Chicken and Vegetables 1kg","Bakers","26.5CM","19.5CM","7.6CM","Small Bagged Food","1Kg",NA,"1",NA,1
"PET","DOG","336171","Bakers Complete Dry Small Dog Food Meaty MealsWith Tasty Beef 1kg","Bakers","26.5CM","19.1CM","7.5CM","Boxed Food","1kg",NA,"1",NA,1
"PET","DOG","453826","Bob Martin Pouch Jelly Multipack 12x100g","Bob Martin","13.5CM","12.3CM","20.0CM","Pouches","12 x 100g",NA,"12",NA,1
"PET","DOG","453827","Bob Martin Pouch Gravy Multipack 12x100g","Bob Martin","13.5CM","12.3CM","20.0CM","Pouches","12 x 100g",NA,"12",NA,1
"PET","DOG","453828","Bob Martin Pouch Gravy Multipack Meat Mix 12x100g","Bob Martin","13.5CM","12.3CM","20.0CM","Pouches","12 x 100g",NA,"12",NA,1
"PET","DOG","193622","Butchers Tinned Dog Food Tripe in Jelly 6 x 400g","Butchers","10.9CM","22.4CM","15.0CM","Tinned","6x400g",NA,"6pk",NA,1
"PET","DOG","243646","Butchers Tinned Puppy Food Natural NutritionChicken Beef and Lamb in Jelly 6 x 400g","Butchers","10.5CM","22.5CM","15.0CM","Puppy Food","400g",NA,"6pk",NA,1
"PET","DOG","243649","Butchers Tinned Dog Food Favourite Recipes 6 x390g","Butchers","10.9CM","22.4CM","15.0CM","Tinned","6x390g",NA,"6pk",NA,1
"PET","DOG","252360","Butchers Tinned Dog Food All Meat Variety pk inJelly 6 x 400g","Butchers","10.6CM","22.4CM","15.0CM","Tinned","6x400g",NA,"6pk",NA,1
"PET","DOG","252361","Butchers Choice Dog Food Traditional Recipes Tray12 x 150g","Butchers","15.6CM","20.0CM","10.5CM","Foil Tray","150g",NA,"12pk",NA,1
"PET","DOG","284782","Butchers Tinned Dog Food Meaty Stews in Gravy 6 x400g","Butchers","10.6CM","22.3CM","14.9CM","Tinned","6x400g",NA,"6pk",NA,1
"PET","DOG","401229","Butchers Choice Dog Food Lean and Tasty 12 x 150g","Butchers","15.7CM","10.5CM","20.8CM","Foil Tray","12x150g",NA,"12",NA,1
"PET","DOG","411317","Butchers Choice Puppy Food Tray 4 x 150g","Butchers","10.2CM","10.1CM","10.0CM","Puppy Food","4x150g",NA,"4",NA,1
"PET","DOG","430057","Butchers Tinned Dog Food Original Recipes inJelly 12 x 400g","Butchers","21.5CM","22.5CM","30.0CM","Tinned","12x400g",NA,"12",NA,1
"PET","DOG","430058","Butchers Tinned Dog Food Succulent Feast in Jelly12 x 400g","Butchers","21.5CM","22.5CM","30.0CM","Tinned","12x400g",NA,"12",NA,1
"PET","DOG","430059","Butchers Choice Dog Food Succulent Meat Tray 12 x150g","Butchers","15.7CM","10.5CM","20.8CM","Foil Tray","12x150g",NA,"12",NA,1
"PET","DOG","348547","Cesar Tray Dog Food Classic Selection 4X150g","Cesar","10.2CM","18.3CM","6.5CM","Foil Tray","4x150g",NA,"4pk",NA,1
"PET","DOG","348548","Cesar Dog Food Classic Selection Tray 8 x 150g","Cesar","10.2CM","18.3CM","13.0CM","Foil Tray","8x150g",NA,"8pk",NA,1
"PET","DOG","348549","Cesar Dog Food Country Kitchen Selection Tray 8 x150g","Cesar","10.2CM","18.3CM","13.0CM","Foil Tray","8x150g",NA,"8pk",NA,1
"PET","DOG","348550","Cesar Dog Food Country Kitchen Selection Tray 4 x150g","Cesar","10.2CM","18.3CM","6.5CM","Foil Tray","4x150g",NA,"4pk",NA,1
"PET","DOG","412788","Cesar Pouch Dog Food Fresh Selection in Sauce 4 x100g","Cesar","11.1CM","20.2CM","2.2CM","Pouches","4x100g",NA,"4pk",NA,1
"PET","DOG","412789","Cesar Pouch Dog Food Fresh Selection in Jelly 4 x100g","Cesar","11.1CM","20.2CM","2.2CM","Pouches","4x100g",NA,"4pk",NA,1
"PET","DOG","431031","Cesar Pouch Dog Food Deliciously Fresh Favouritesin Sauce 8 x 100g","Cesar","2.4CM","3.3CM","6.5CM","Pouches","8x100g",NA,"8",NA,1
"PET","DOG","431032","Cesar Pouch Dog Food Deliciously Fresh Selectionin Jelly for Senior Dogs 8 x 100g","Cesar","2.4CM","3.3CM","6.5CM","Senior Food","8x100g",NA,"8",NA,1
"PET","DOG","303635","Harringtons Complete Dry Dog Food Turkey and Veg2kg","Harringtons","28.0CM","19.5CM","9.6CM","Small Bagged Food","2kg",NA,"1",NA,1
"PET","DOG","411931","Harringtons Complete Dry Dog Food Turkey andVegetables 5kg","Harringtons","42.0CM","25.0CM","14.0CM","Small Bagged Food","5kg",NA,"1",NA,1
"PET","DOG","432833","Harringtons Complete Dry Dog Food Lamb and Rice5kg","Harringtons","15.0CM","25.0CM","29.0CM","Small Bagged Food","5kg",NA,"1",NA,1
"PET","DOG","206448","HiLife Feed me Dry Dog Food Turkey Chicken and VegVeg with Bacon 1.5kg","Hilife","25.0CM","18.0CM","5.5CM","Small Bagged Food","1.5kg",NA,"1",NA,1
"PET","DOG","431064","HiLife Essentials Dry Dog Food Meaty Chunks withChicken 675g","Hilife","23.0CM","19.5CM","7.0CM","Small Bagged Food","675g",NA,"1",NA,1
"PET","DOG","302158","Iams Dry Dog Food Chicken for Large Adult Dogs 3kg","Iams","38.5CM","22.0CM","11.0CM","Small Bagged Food","3kg",NA,"1",NA,1
"PET","DOG","302159","Iams Dry Dog Food Chicken for Small and MediumDogs 3kg","Iams","28.5CM","22.0CM","11.0CM","Small Bagged Food","3kg",NA,"1",NA,1
"PET","DOG","314259","Iams Dry Dog Food Proactive Nutrition SucculentRoast Chicken for Mature and Senior Dogs 3kg","Iams","32.0CM","20.0CM","13.0CM","Senior Food","3kg",NA,"1",NA,1
"PET","DOG","314283","Naturediet Puppy Food Vegetables and Rice Tray390g","Naturediet","16.0CM","10.0CM","4.0CM","Puppy Food","390g",NA,"1",NA,1
"PET","DOG","314284","Naturediet Dog Food Chicken with Vegetables andRice Tray 390g","Naturediet","16.0CM","10.0CM","4.0CM","Foil Tray","390g",NA,"1",NA,1
"PET","DOG","314285","Naturediet Dog Food Lamb with Vegetables and RiceTray 390g","Naturediet","16.0CM","10.0CM","4.0CM","Foil Tray","390g",NA,"1",NA,1
"PET","DOG","314286","Naturediet Dog Food Turkey and Chicken withVegetables and Rice Tray 390g","Naturediet","16.0CM","10.0CM","4.0CM","Foil Tray","390g",NA,"1",NA,1
"PET","DOG","215865","Pedigree Dry Dog Food Chicken and Veg 2.6kg","Pedigree","31.5CM","25.0CM","13.0CM","Small Bagged Food","2.6kg",NA,"1",NA,1
"PET","DOG","252408","Pedigree Tinned Adult Dog Food Chicken in Gravy 6x 400g","Pedigree","10.8CM","22.4CM","15.0CM","Tinned","6x400g",NA,"6",NA,1
"PET","DOG","252411","Pedigree Tinned Dog Food Original Loaf 400g","Pedigree","10.8CM","7.4CM","7.4CM","Tinned","400g",NA,"1",NA,1
"PET","DOG","405655","Pedigree Dry Dog Food Chicken 500g","Pedigree","20.0CM","14.0CM","8.0CM","Small Bagged Food","500g",NA,"1",NA,1
"PET","DOG","405658","Pedigree Pouch Dog Food Chicken and Lamb in Jelly4 x 100g","Pedigree","14.0CM","19.0CM","3.0CM","Pouches","4x100g",NA,"4",NA,1
"PET","DOG","405659","Pedigree Pouch Dog Food Chicken Vegetables andBeef Vegetables in Gravy 4 x 100g","Pedigree","14.0CM","19.0CM","3.0CM","Pouches","4x100g",NA,"4",NA,1
"PET","DOG","405660","Pedigree Pouch Puppy Food Chicken and Beef4 x 100g","Pedigree","14.0CM","19.0CM","3.0CM","Puppy Food","4 x 100g",NA,"4",NA,1
"PET","DOG","405662","Pedigree Pouch Dog Food Real Meals in Gravy 12 x100g","Pedigree","14.4CM","19.5CM","9.6CM","Pouches","12x100g",NA,"12",NA,1
"PET","DOG","405663","Pedigree Pouch Dog Food Favourites in Jelly 12 x100g","Pedigree","14.4CM","19.5CM","9.6CM","Pouches","12x100g",NA,"12",NA,1
"PET","DOG","430184","Pedigree Tinned Dog Food Mixed Selection in Gravy12 x 400g","Pedigree","5.5CM","22.5CM","15.0CM","Tinned","12x400g",NA,"12",NA,1
"PET","DOG","430185","Pedigree Tinned Dog Food Mixed Selection in Jelly12 x 385g","Pedigree","5.5CM","22.5CM","15.0CM","Tinned","12x385g",NA,"12",NA,1
"PET","DOG","454768","Perfect Fit Complete Dry Dog Food Adult 1+ >10kgChicken 2.6kg","Perfect Fit","29.0CM","26.0CM","10.0CM","Small Bagged Food","2.6kg",NA,"1",NA,1
"PET","DOG","454771","Perfect Fit Complete Dry Dog Food Senior 10+ <10kg Chicken 2.6kg","Perfect Fit","29.0CM","26.0CM","10.0CM","Small Bagged Food","2.6kg",NA,"1",NA,1
"PET","DOG","454772","Perfect Fit Complete Dry Dog Food Adult 1+ >10kgChicken 825g","Perfect Fit","28.0CM","22.5CM","8.0CM","Small Bagged Food","825g",NA,"1",NA,1
"PET","DOG","454773","Perfect Fit Complete Dry Dog Food Junior <1Chicken 825g","Perfect Fit","28.0CM","22.5CM","8.0CM","Puppy Food","825g",NA,"1",NA,1
"PET","DOG","454774","Perfect Fit Complete Dry Dog Food Adult 1+<10kg Chicken 825g","Perfect Fit","28.0CM","22.5CM","8.0CM","Small Bagged Food","825g",NA,"1",NA,1
"PET","DOG","267015","Wagg Complete Dry Dog Food Sensitive Chicken andRice 2kg","Wagg","36.0CM","20.0CM","14.0CM","Small Bagged Food","2kg",NA,"1",NA,1
"PET","DOG","423831","Wagg Kennel Dry Dog Food Chicken 6kg","Wagg","49.9CM","25.5CM","14.6CM","Large Bagged Food","6kg",NA,"1",NA,1
"PET","DOG","98903","Wagg Dry Dog Food Beef and Veg 2.5kg","Wagg","34.0CM","20.0CM","9.0CM","Small Bagged Food","2.5kg",NA,"1",NA,1
