"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"PET","100","313922","Classic Aquarium Ornament Crystal Ruin","Classic Pet Products","27.5CM","14.0CM","14.0CM","Ornaments","25cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313935","Classic for Small Pets Rustic Fun Hay Play Ball","Classic Pet Products","19.0CM","19.0CM","19.0CM","Activity Toys","Large",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","334289","Aqua Ornament Pagode a Plants","Classic Pet Products","12.0CM","14.0CM","9.0CM","Ornaments",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","334290","Classic Pet Products Aquarium OrnamentStump Garden","Classic Pet Products","21.0CM","19.0CM","15.0CM","Ornaments","20cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","334291","Classic Aquatics Aquarium Ornaments Rocky Ledge Multi-Coloured","Classic Pet Products","16.0CM","23.0CM","13.0CM","Ornaments",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","334292","Classic Aquatics Aquarium Ornaments Treasure Pot Multi-Coloured","Classic Pet Products","10.0CM","10.0CM","7.0CM","Ornaments",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","334293","Classic Aquatics Aquarium Ornaments Bonsai Mini Multi-Coloured","Classic Pet Products","12.5CM","10.0CM","10.0CM","Ornaments","Mini",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","452643","Microplush Memory Foam Pet Mat/Bed","Country Club","2.0CM","50.0CM","80.0CM","Mattresses","50 x 80cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","452646","Oxford Nylon Pet Bed 85x55cm","Country Club","15.0CM","55.0CM","85.0CM","Bed Cushions","85 x 55cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","452647","Country Club Pet Bed/Cage Mat 55x75cm","Country Club","4.0CM","75.0CM","55.0CM","Mattresses","55 x 75cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","452648","Country Club Pet Bed/Cage Mat 60x90cm","Country Club","4.0CM","90.0CM","60.0CM","Mattresses","60 x 90cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","452649","Country Club Pet Bed/Cage Mat 70x100cm","Country Club","4.0CM","100.0CM","70.0CM","Mattresses",NA,"Multi","70 x 100cm",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","334093","Curver Pet Life Dry Pet Food Container 10L","Curver","35.0CM","19.0CM","30.0CM","Food Containers","4kg","Multi","1",NA,NA,NA,NA,"4kg",NA,NA,NA,0.95
"PET","100","334098","Curver Pet Life Dry Pet Food Container 35L","Curver","42.0CM","27.0CM","53.0CM","Food Containers","12kg",NA,"1",NA,NA,NA,NA,"12kg",NA,NA,NA,0.9
"PET","100","334099","Curver Pet Life Dry Pet Food Container 54L","Curver","60.0CM","27.0CM","48.0CM","Food Containers","10kg",NA,"1",NA,NA,NA,NA,"20kg",NA,NA,NA,0.9
"PET","100","335058","Curver Petlife Covered Pet Litter Tray Cream","Curver","39.0CM","39.0CM","51.0CM","Litter Tray","39cmx39cmx51cm","Cream","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335060","Pet Carrier Cream","Curver","33.0CM","37.0CM","53.0CM","Pet Carriers","33cmx37cmx53cm","Cream","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","335061","Pet Carrier Brown","Curver","33.0CM","37.0CM","53.0CM","Pet Carriers","33cmx37cmx53cm","Brown","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","313599","Dog Life Dog Crate Double Door Black Medium","Dog Life","56.5CM","78.0CM","49.0CM","Crates","Medium","Black","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313600","Dog Life Dog Crate Double Door Black Large","Dog Life","56.0CM","93.0CM","57.5CM","Crates","Large","Black","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313603","Dog Life Dog Crate Double Door Black Extra Large","Dog Life","77.5CM","108.0CM","70.0CM","Crates","Extra Large","Black","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313790","Dog Life Durable Fun Rubber Puppy Tug","Dog Life","28.0CM","9.0CM","1.0CM","Puppy Toys","19.6x2.6cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313809","Dog Life Dog Toy Teething Dumbell Rubber","Dog Life","5.5CM","16.0CM","5.5CM","Puppy Toys",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314370","Dog Life Dog Toy Squeezy Squeaks Tools Assorted","Dog Life","3.0CM","8.0CM","21.0CM","Character Toys","Large","Multi","1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"PET","100","313741","Elite Stingray 10 Underwater Filter 50L","Elite","16.0CM","16.0CM","7.2CM","Aeration, Pumps and Filters","50L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313745","Elite Stingray 15 Underwater Filter 75L","Elite","18.9CM","18.9CM","8.0CM","Aeration, Pumps and Filters","75L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313750","Elite Jet-Flo 100 Replacement Filter Foam 2pk","Elite","8.5CM","4.5CM","4.5CM","Aeration, Pumps and Filters",NA,NA,"2pk",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313752","Elite Stingray 10 Filter Cartridge with Carbon andZeolite","Elite","14.4CM","9.7CM","2.5CM","Aeration, Pumps and Filters",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313754","Elite Stingray 15 Filter Cartridge with Carbon andZeolite","Elite","18.9CM","9.7CM","3.0CM","Aeration, Pumps and Filters",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313756","Elite Stingray 10 Replacement Filter Foam","Elite","21.5CM","14.9CM","4.0CM","Aeration, Pumps and Filters",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313765","Elite Submersible Aquarium Heater 100W","Elite","34.0CM","13.0CM","6.0CM","Heaters and Thermometers","100W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313770","Elite Submersible Aquarium Heater 200W","Elite","39.0CM","13.0CM","6.0CM","Heaters and Thermometers","200w",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","313784","Elite Aqua Fizzzz Air Stone for Aquarium Use 3cm","Elite","14.4CM","9.7CM","2.0CM","Aeration, Pumps and Filters","3cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313803","Elite Aqua Fizzzz Air Stone for Aquarium Use 2pk","Elite","14.4CM","9.7CM","2.0CM","Aeration, Pumps and Filters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"PET","100","313812","Elite Aqua Fizzzz Aquarium Longstone 10cm","Elite","17.7CM","9.7CM","2.3CM","Aeration, Pumps and Filters","10cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313814","Elite Aqua Fizzzz Air Stone for Aquarium Use 15cm","Elite","20.2CM","9.7CM","2.3CM","Aeration, Pumps and Filters","15cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313817","Elite Aqua Fizzzz Aquarium Longstone Airstone 30.5cm","Elite","38.0CM","9.7CM","2.3CM","Aeration, Pumps and Filters","30cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313824","Elite Bubble Disk 3in (7.5cm)","Elite","15.0CM","10.0CM","3.0CM","Aeration, Pumps and Filters","Small",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313829","Elite Bubble Disk 4in (10cm)","Elite","18.0CM","13.0CM","3.0CM","Aeration, Pumps and Filters","Medium",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","313868","Elite Aquarium Airline Tubing 2m - 6.5 ft, 1.8 x 5mm","Elite","16.2CM","12.1CM","2.3CM","Aeration, Pumps and Filters","2m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313871","Elite Aquarium Check Valve","Elite","12.6CM","7.0CM","1.7CM","Aeration, Pumps and Filters",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313875","Elite 2-Way Air Control Valve","Elite","16.9CM","9.8CM","5.1CM","Aeration, Pumps and Filters",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314086","Elite Stingray 5 Underwater Filter","Elite","11.4CM","15.0CM","6.4CM","Aeration, Pumps and Filters",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314326","Elite Stingray 5 Replacement Filter Foam","Elite","17.1CM","9.7CM","3.0CM","Aeration, Pumps and Filters",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","335663","Evolution Aqua Pure Pond Bomb","Evolution Aqua","6.3CM","10.0CM","10.0CM","Cleaning and Water Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"PET","100","335664","Evolution Aqua Pure Pond 500ml","Evolution Aqua","6.5CM","11.6CM","11.6CM","Cleaning and Water Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314548","Felix As Good As It Looks Kitten Fish SelectionPouches Assorted 12 x 100g","Felix","14.5CM","19.4CM","10.0CM","Kitten Food 1-12 Months","100g",NA,"12pk",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","440438","Forthglade Grain Free Adult Lamb 395g","Forthglade","15.5CM","13.0CM","3.3CM","Grain & Wheat Free Food","395g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","440439","Forthglade Grain Free Adult Turkey 395g","Forthglade","15.5CM","13.0CM","3.3CM","Grain & Wheat Free Food","395g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","440441","Forthglade Grain Free Multicase 12 x 395g","Forthglade","16.5CM","19.5CM","27.2CM","Grain & Wheat Free Food","395g",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313954","Glo Sun-Glo Daylight Aquarium Bulb T8 15W","Glo","46.0CM","2.5CM","2.5CM","Lighting","15w",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","313956","Glo Sun-Glo Daylight Aquarium Bulb T8 20W","Glo","61.0CM","2.5CM","2.5CM","Lighting","20w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313962","Glo Sun-Glo Daylight Aquarium Bulb T8 25W","Glo","76.0CM","2.5CM","2.5CM","Lighting","25w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314543","Go-Cat Complete Kitten -1 Year with Chicken, Carrot and Milk Nuggets 2kg","Go Cat","37.5CM","18.5CM","11.0CM","Kitten Food 1-12 Months","2kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313735","Good Boy Doggy Dolittles Duck","Good Boy","10.0CM","15.0CM","5.0CM","Character Toys",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313751","Good Boy Lob It! Space Lobber Giant","Good Boy","41.0CM","20.0CM","16.0CM","Throw and Fetch Toys","Giant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313766","Armitage Pet Care Floppy Moppy","Good Boy","23.0CM","9.0CM","4.5CM","Character Toys","19.4x9.2cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","313810","Good Boy Clean Green Dog Loo","Good Boy","22.0CM","30.0CM","28.0CM","Dog Toilet",NA,"Green","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","313763","Hagen Green-X Phosphate Remover 4g","Hagen","16.9CM","10.8CM","1.0CM","Cleaning and Water Control","4g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","453407","HandiPOD Purple Poop Bag Dispenser andAntibacterial Hand Sanitiser","HandiPOD","4.5CM","4.5CM","15.0CM","Waste Bags","14.5 x 4.5 x 4.5cm","Purple","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","453408","HandiPOD Purple Antibacterial Hand SanitiserPOD and 40 Poop Bags","HandiPOD","4.5CM","4.5CM","15.0CM","Waste Bags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
