"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Power","Age","Model Number","DQ Score"
"452684","Wilko Make Your Own Pom Pom Fairies","Wilko","Make Your Own Kit","Multi","3",NA,NA,NA,NA,0.883333333333333
"452685","Wilko Make Your Own Ragdoll","Wilko","Make Your Own Kit","Multi","1",NA,NA,NA,NA,0.883333333333333
"452686","Wilko Felt Picture Play Set Assorted","Wilko","Make Your Own Kit","Multi","1",NA,NA,NA,NA,0.93
"452688","Wilko Foam Face Shape with Accessories","Wilko","Make Your Own Kit","Multi","4",NA,NA,NA,NA,0.883333333333333
"452689","Wilko Glow In The Dark Stickers Asst","Wilko","Stickers and Stencils","Multi","1",NA,NA,NA,NA,0.93
"452690","Wilko 3D Sticker Asst","Wilko","Stickers and Stencils","Multi","1",NA,NA,NA,NA,0.93
"452691","Wilko Foam Wand and Tiara","Wilko","Make Your Own Kit","Multi","1",NA,NA,NA,NA,0.883333333333333
"452696","Wilko Smart Filled Paint Brushes 4pk","Wilko","Paints and Paint Brushes",NA,"4",NA,NA,NA,NA,0.9125
"453628","Wilko Craft Ideas Book","Wilko","Craft Guides","Multi","1",NA,NA,NA,NA,0.93
"453629","Wilko Ultimate Grab Bag Assorted","Wilko","Make Your Own Kit","Multi","1",NA,NA,NA,NA,0.93
"453630","Wilko Stickers Play Scene Dinosaurs","Wilko","Stickers and Stencils","Multi","1",NA,NA,NA,NA,0.93
"453631","Wilko Stickers Play Scene Princesses","Wilko","Stickers and Stencils","Multi","1",NA,NA,NA,NA,0.93
"453632","Wilko Tear Off Activity Placemats","Wilko","Colouring Book","Multi","1",NA,NA,NA,NA,0.93
"252954","Wilko Functional Paint brushes 2pk","Wilko Functional","Paints and Paint Brushes","Multi","2pk",NA,NA,NA,NA,0.93
"333686","Wilko Functional Colouring Pencils 12pk","Wilko Functional","Colouring Pens, Pencils and Crayons",NA,"12pk",NA,NA,"3 Years",NA,0.93
"414907","Wilko Functional Crayons 12pk","Wilko Functional","Colouring Pens, Pencils and Crayons",NA,"12",NA,NA,NA,NA,0.86
