"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","DQ Score"
"HOM","BED","424580","Wilko Fitted Sheet King Size Silver","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424581","Wilko Housewife Pillowcases Silver 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424582","Wilko Oxford Pillowcases Silver 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424583","Wilko Fitted Sheet Single Charcoal","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424584","Wilko Fitted Sheet Double Charcoal","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424585","Wilko Fitted Sheet King Size Charcoal","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424586","Wilko Housewife Pillowcases Charcoal 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424587","Wilko Oxford Pillowcases Charcoal 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424588","Wilko Fitted Sheet Single Duck Egg","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424589","Wilko Fitted Sheet Double Duck Egg","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424590","Wilko Fitted Sheet King Size Duck Egg","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424591","Wilko Housewife Pillowcases Duck Egg 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424592","Wilko Oxford Pillowcases Duck Egg 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424593","Wilko Brushed Cotton Fitted Sheet Single White","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424594","Wilko Brushed Cotton Fitted Sheet Double White","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424595","Wilko Brushed Cotton Fitted Sheet King Size White","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424596","Wilko Brushed Cotton Housewife Pillowcases White2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424597","Wilko Fitted Sheet Brushed Cotton Single Cream","Wilko",NA,NA,"1","100% Brushed Cotton",NA,"Wash at 40",NA,NA,NA,0.9
"HOM","BED","424598","Wilko Fitted Sheet Brushed Cotton Double Cream","Wilko",NA,NA,"1","100% Brushed Cotton",NA,NA,NA,NA,NA,0.85
