"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Age","Model Number","DQ Score"
"TOI","BAT","321208","Radox Bath Therapy Nourish Shea Butter and Ginger500ml","Radox","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","325579","Radox Feel Revived Shower Gel 250ml","Radox",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","325581","Radox Feel Uplifted Shower Gel 250ml","Radox",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","33144","Radox Muscle Soak Herbal Bath Salts with Thyme 400g","Radox","400g",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","332701","Radox Feel Good Fragrance Muscle Therapy Bath Soak500ml","Radox","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","332706","Radox Feel Energised Shower Gel 250ml","Radox","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","414561","Radox Hand Wash Antibacterial 250ml","Radox",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","414563","Radox  Antibacterial and Nourish Handwash 250ml","Radox",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","455121","Radox 12H Scent Touch Body Wash Feel Free 200ml","Radox",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","455122","Radox 12H Scent Touch Body Wash Feel Lively200ml","Radox",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","455123","Radox 12H Scent Touch Body Wash Feel Fresh 200ml","Radox",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","160003","Sanex Dermo Moisturising Shower Gel 500ml","Sanex",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","276689","Sanex Shower Gel Dermo Sensitive 500ml","Sanex","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","290506","Sanex Shower Gel Hypo Allergenic Very SensitiveSkin 500ml","Sanex",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","290507","Sanex Bath Creme for Sensitive Skin 500ml","Sanex","500ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","315902","Sanex Zero Shower Gel Sensitive 250ml","Sanex","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","315903","Sanex Zero Shower Gel Dry Skin 250ml","Sanex","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","443328","Sanex Dermo Moisturising Bath Foam 500mlNormal to Dry Skin","Sanex","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","310012","Shield Soap Aqua 4pk","Sheild",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8625
"TOI","BAT","47387","Simple Pure Soap for Sensitive Skin 2 x 125g","Simple","2 X 125g",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","296708","Wilko Hand Wash Original Antibacterial 500ml","Wilko","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","296709","Wilko Hand Wash Antibacterial 500ml","Wilko","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","296710","Wilko Hand Wash Nourishing Antibacterial  500ml","Wilko","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","325512","Wilko Handwash Family White 500ml","Wilko","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","325513","Wilko Hand Wash Lilac 500ml","Wilko","500ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","325514","Wilko Hand Sanitiser Original 200ml","Wilko","200ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","325515","Wilko Hand Sanitiser Original 50ml","Wilko","50ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","346745","Wilko Talc 500g","Wilko","500g",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","346803","Wilko Sensitive Antibacterial Handwash 500ml","Wilko","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","346806","Wilko Creme Bath  White 750ml","Wilko","750ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","346807","Wilko Creme Bath  Lilac 750ml","Wilko","750ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","416801","Wilko Muscle Soak Bath FoamNatural Essence 750ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","416802","Wilko Stress Relief Bath FoamNatural Essence 750ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","416803","Natural Essence Foam Bath Muscle Soak","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8625
"TOI","BAT","416804","Wilko Relaxing Bath SoakChamomile and Green Tea 750ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","169724","Wrights Traditional Coal Tar Soap 4pk","Wrights","500g",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","COL","280737","Collection Cover Up Stick 1 Light 4g","Collection 2000","4g","Brown","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280738","Collection Cover Up Stick 13 Natural Beige 4g","Collection 2000","4g","Brown","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280756","Collection Eye Definer 1 Black 0.25g","Collection 2000","2g","Black","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280759","Collection Eye Definer 2 Brown 0.25g","Collection 2000","2g","Brown","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280761","Collection Eye Definition 1 Ebony 6ml","Collection 2000","6ml","Wood","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280764","Collection Eyebrow Definer 1 Black 0.25g","Collection 2000","0.25g","Black","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280765","Collection Eyebrow Definer Blonde 3","Collection 2000","4.2g","Blonde","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280768","Collection Fast Stroke Eyeliner Black 1","Collection 2000","3.8g","Black","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280773","Collection Fast Stroke Eyeliner Brown 6","Collection 2000","3.8g","Brown","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280803","Collection Gel Liner 4 Hustle 6ml","Collection 2000","6ml","Pink","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280804","Collection Gel Liner 5 Le Freak 6ml","Collection 2000","6ml","Pink","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280822","Collection Gel Liner Shake it Up! 11 6ml","Collection 2000","6ml","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280847","Collection Illuminating Touch ConcealerNaked 1 2.5g","Collection 2000","2.5g","Brown","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280848","Collection Illuminating Touch ConcealerNatural 2 2.5g","Collection 2000","2.5g","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280849","Collection Illuminating Touch ConcealerGlow 3 2.5g","Collection 2000","2.5g","Brown","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280901","Collection Pressed Powder 18 Ivory 17g","Collection 2000","17g","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280902","Collection Powder 24 Misty Beige 17g","Collection 2000","17g","Brown","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","280903","Collection Powder 3 Translucent 17g","Collection 2000","17g","Clear","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","296174","Collection 24hr Felt Liner 1 Black  7.8g","Collection 2000","7.8g","Black","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","296176","Collection 24hr Felt Liner 3 Blue 7.8g","Collection 2000","7.8g","Blue","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","296178","Collection Extreme Mascara 1 Black 9ml","Collection 2000","9ml","Black","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","298406","Collection Cover Up Stick 14 Honey Beige 4g","Collection 2000","4g","Brown",NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","COL","302198","Collection Lipgloss 1 Body Pop 5ml","Collection 2000","5ml","Pink","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","304507","Collection Lipgloss 2 Beat Box 5ml","Collection 2000","5ml","Red",NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","COL","312510","Collection Luscious Lashes Glam Volume","Collection 2000","2g","Black","1",NA,NA,NA,NA,NA,NA,0.95
