"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Model Number","DQ Score"
"HOM","BAT","310531","Wilko Towel Ring Paris Collection","Wilko","ring16cm base dia 5","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310532","Wilko Towel Rail Paris Collection","Wilko","rail 46 base dia 5x7cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","310533","Wilko Glass Shelf Paris Collection","Wilko","glass 50x12cm","Silver","1","iron+chrom+glass",NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310536","Wilko Triple Door Hook White Rubberised Ball","Wilko","40x50cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","310538","Wilko Quadruple Door Hook White Rubberised Ball","Wilko","15x15cm","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310543","Wilko Toilet Roll Holder Macau Collection","Wilko","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310544","Wilko Towel Ring Macau Collection","Wilko","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310546","Wilko Toilet Seat Hinge and Fittings Repair Set","Wilko","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310685","Wilko Shower Head 6 Function Chrome Effect","Wilko","23.1 cm x 9 cm x 5 cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310689","Wilko Robe Hook Macau Collection","Wilko","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310691","Wilko Toilet Roll Holder Paris Collection","Wilko","base 5x0.8cm hook 16x9cm","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310697","Wilko Split Wood Laundry Hamper White","Wilko","36.5 x 47 x 56.7cm","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310698","Wilko Set of 3 Baskets White","Wilko",NA,"White","3",NA,NA,NA,NA,NA,NA,NA,0.85
"HOM","BAT","310703","Wilko Shower Head 3 Function Chrome Effect","Wilko","21.5 cm x 8.3 cm x 4 cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310707","Wilko Split Wood Storage Unit 2 Drawer White","Wilko","Single","White","1",NA,NA,NA,NA,NA,NA,NA,0.9
