"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"HOM","FUR","ck00015","Clovelly Compact Side board Rustic Oak","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00016","Clovelly Long Entertainment Unit","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00017","Clovelly Coffee Table Rustic Oak","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00018","Clovelly Large Bookcase Vanilla","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00019","Clovelly Large Side board Vanilla","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00020","Clovelly Compact Side board","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00021","Clovelly Long Entertainment Unit","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00022","Clovelly Coffee Table Vanilla","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00023","Penrose 3 Door Glass Display Unit Oak","Kingston Furniture",0.95
"HOM","FUR","ck00024","Penrose 2 Door Glass Display Unit Oak","Kingston Furniture",0.95
"HOM","FUR","ck00026","Penrose 2 Door 3 Drawer Sideboard Oak","Kingston Furniture",0.95
"HOM","FUR","ck00027","Penrose 2 Door Side board Oak","Kingston Furniture",0.95
"HOM","FUR","ck00028","Penrose Corner TV Unit Oak","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00029","Penrose Long Enter tainment Unit Oak","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00030","Penrose Storage Coffee Table Oak","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00039","Clovelly 4 Door Centre Mirror Wardrobe","Kingston Furniture",0.95
"HOM","FUR","ck00040","Clovelly 3 Door Centre Mirror Wardrobe Dark Wood","Kingston Furniture",0.95
"HOM","FUR","ck00041","Clovelly 2 Door Wardrobe Rustic Oak","Kingston Furniture",0.95
"HOM","FUR","ck00042","Clovelly 2 Door 1 Drawer Wardrobe Dark Wood","Kingston Furniture",0.95
"HOM","FUR","ck00043","Clovelly 5 Drawer Large Chest Rustic Oak","Kingston Furniture",0.95
"HOM","FUR","ck00044","Clovelly 6 Drawer Chest Rustic Oak","Kingston Furniture",0.95
"HOM","FUR","ck00045","Clovelly 3 Drawer Large Chest Rustic Oak","Kingston Furniture",0.95
"HOM","FUR","ck00046","Clovelly 3 Drawer Narrow Chest","Kingston Furniture",0.891666666666667
"HOM","FUR","ck00047","Clovelly 4 Door Centre Mirror Wardrobe","Kingston Furniture",0.95
"HOM","FUR","ck00048","Clovelly 3 Door Centre Mirror Wardrobe","Kingston Furniture",0.95
"HOM","FUR","ck00049","Clovelly 2 Door Wardrobe","Kingston Furniture",0.95
"HOM","FUR","ck00050","Clovelly 2 Door 1 Drawer Wardrobe","Kingston Furniture",0.95
"HOM","FUR","ck00051","Clovelly 5 Drawer Chest","Kingston Furniture",0.95
"HOM","FUR","ck00052","Clovelly 6 Drawer Chest","Kingston Furniture",0.95
"HOM","FUR","ck00053","Clovelly 3 Drawer Large Chest","Kingston Furniture",0.95
"HOM","FUR","ck00054","Clovelly 3 Drawer Narrow Chest","Kingston Furniture",0.95
"HOM","FUR","p100126","Boston-Lyon Bed Single","New Boston",0.95
"HOM","FUR","p100128","Boston-Lyon Bed Kingsize","New Boston",0.95
"HOM","FUR","p200020","Oakridge 3 + 2 Drawer Chest","Oakleigh",0.95
"HOM","FUR","p200036","Oakridge 2 Door Wardrobe","Oakleigh",0.891666666666667
"HOM","FUR","448021","Marbella 2 Door 2 Drawer Wardrobe White","Other",0.891666666666667
"HOM","FUR","448022","Marbella 2 Door Midi Wardrobe White","Other",0.891666666666667
"HOM","FUR","448023","Marbella 2 Door Wardrobe White","Other",0.891666666666667
"HOM","FUR","448024","Marbella 3 Drawer Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448025","Marbella 3 Drawer Bedside Cabinet White","Other",0.891666666666667
"HOM","FUR","448026","Marbella 4 Drawer Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448027","Marbella 4 Drawer Deep Chest of Drawers White","Other",0.891666666666667
