"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","DQ Score"
"HOM","CUT","325498","Wilko Faux Mongolian Red 43 x 43cm","Wilko","43.0CM","43.0CM","13.0CM","Mongolian Cushion","43x43cm","Red",NA,"100% Polyester","No",NA,NA,NA,NA,1
"HOM","CUT","325499","Wilko Faux Mongolian Cushion Natural 43 x 43cm","Wilko","43.0CM","43.0CM","13.0CM","Mongolian Cushion","43x43cm","Cream",NA,"100% Polyester","No",NA,NA,NA,NA,1
"HOM","CUT","325500","Wilko Faux Mongolian Green 43 x 43cm","Wilko","43.0CM","43.0CM","13.0CM","Mongolian Cushion","43x43cm","Green",NA,"100% Polyester","No",NA,NA,NA,NA,1
"HOM","CUT","455642","Wilko Herringbone Throw Duck Egg 127 x 152cm","Wilko","32.0CM","43.0CM","58.0CM","Throws","127 x 152cm","Blue","1","Cotton",NA,"Wash at 40",NA,NA,NA,1
"HOM","CUT","455645","Wilko Herringbone Cushion Duck Egg 43x43cm","Wilko","13.0CM","43.0CM","43.0CM","Cushions","43 x 43cm","Blue",NA,"100% cotton cover 100% polyester fill","No",NA,NA,NA,NA,1
"HOM","CUT","455659","Wilko LED Cushion Red 43x43cm","Wilko","13.0CM","43.0CM","43.0CM","Cushions","43 x 43cm","Red","1","100% Polyester",NA,"Wipe Clean Only",NA,NA,NA,1
"HOM","CUT","455660","Wilko LED Cushion Silver 43x43cm","Wilko","13.0CM","43.0CM","43.0CM","Cushions","43 x 43cm","Silver","1","100% Polyester",NA,"Wipe Clean Only",NA,NA,NA,1
"HOM","CUT","455661","Wilko Scandi Red Cushion 43 x 43cm","Wilko","12.0CM","43.0CM","43.0CM","Cushions","43 x 43cm","Red","1","Polyester, cotton viscose",NA,"Wash at 40",NA,NA,NA,1
"HOM","DIN","p200042","Brompton Dining Set 3 Piece Walnut","Brompton",".0CM",".0CM",".0CM","Dining Sets 2 Seat ","T 74x75x75cm, C 96x41.5x57cm","Wood",NA,"Chair - Faux Leather","Yes",NA,NA,NA,NA,1
"HOM","DUV","311016","Wilko Fleece Throw Red 122 x 152cm","Wilko",".3CM","122.0CM","152.0CM","Throw","122 x 152cm","Red","1","100% Polyester",NA,"Washable",NA,NA,NA,1
"HOM","DUV","311448","Wilko Fleece Throw Cream 122 x 152cm","Wilko",".3CM","122.0CM","152.0CM","Throw","122 x 152cm","Cream","1","100% Polyester",NA,"Washable",NA,NA,NA,1
"HOM","DUV","327241","Wilko Duvet Set Double Waffle White","Wilko","0.1CM","200CM","200CM","Double Duvet Cover","Double","White","1","50% Polyester, 50% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","DUV","327253","Wilko Duvet Set Double Striped Naturals","Wilko","0.1CM","200CM","200CM","Double Duvet Cover","Double","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","DUV","327267","Wilko Duvet Set Double Waffle Cream","Wilko","0.1CM","200CM","200CM","Double Duvet Cover","Double","Cream","1","50% Polyester, 50% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","DUV","327273","Wilko Duvet Set King Leaf Design Green","Wilko","0.1CM","230CM","220CM","King Size Duvet Cover","Kingsize","Green","1","50% Polyester, 50% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","DUV","327429","Wilko Duvet Set Double Striped Green","Wilko","0.1CM","200CM","200CM","Double Duvet Cover","Double","Green","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","DUV","327430","Wilko Duvet Set King Striped Green","Wilko","0.1CM","230CM","220CM","King Size Duvet Cover","Kingsize","Green","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","DUV","340635","Wilko Duvet Set Double Rose Design Grey","Wilko","0.1CM","200CM","200CM","Double Duvet Cover","Double","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","DUV","350508","Wilko Duvet Set Single Heritage Butterfly","Wilko","23.0CM","23.0CM","4.5CM","Single Duvet Cover","Single","Cream","1","Polyester Cotton",NA,"Wash at 40",NA,NA,NA,1
"HOM","DUV","350509","Wilko Duvet Set Double Heritage Butterfly","Wilko","23.0CM","23.0CM","5.0CM","Double Duvet Cover","Double","Cream","1","Polyester Cotton",NA,"Wash at 40",NA,NA,NA,1
"HOM","DUV","350510","Wilko Duvet Set King Heritage Butterfly","Wilko","23.0CM","23.0CM","7.5CM","King Size Duvet Cover","Kingsize","Cream","1","Polyester Cotton",NA,"Wash at 40",NA,NA,NA,1
"HOM","DUV","417739","Wilko Waffle Throw Chocolate 200 x 240cm","Wilko",".5CM","200.0CM","240.0CM","Throws","200 x 240cm","Brown","1","Polycotton",NA,"Hand Wash Only",NA,NA,NA,1
"HOM","DUV","456458","Wilko Chenille Throw Soft Pink 125 x 150cm","Wilko",".3CM","120.0CM","150.0CM","Throws","125x150cm","Pink","1","100% Polyester",NA,"Wash at 30",NA,NA,NA,1
"HOM","DUV","322786","Wilko Best Duvet Set Double Sateen Stripe White","Wilko Best",".1CM","200.0CM","200.0CM","Double Duvet Cover","Double","White","1","100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","DUV","326839","Wilko Best Duvet Set Double Sateen Stripe Cream","Wilko Best",".1CM","200.0CM","200.0CM","Double Duvet Cover","Double","Cream","1","100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","DUV","327036","Wilko Functional Duvet Set Single Cream","Wilko Functional","0.1CM","135CM","200CM","Single Duvet Cover","Single","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","DUV","327037","Wilko Functional Duvet Set Double Cream","Wilko Functional","0.1CM","200CM","200CM","Double Duvet Cover","Double","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","DUV","327038","Wilko Functional Duvet Set King Size Cream","Wilko Functional","0.1CM","230CM","220CM","King Size Duvet Cover","Kingsize","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","FUR","427800","Amber Single Bed Frame White","Amber","72.0CM","97.5CM","198.5CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","427801","Amber Single Bed Frame Antique Pine","Amber","72.0CM","97.5CM","198.5CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","427802","Amber Double Bed Frame White","Amber","72.0CM","145.0CM","198.5CM","Double Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","427803","Amber Double Bed Frame Antique Pine","Amber","72.0CM","145.0CM","198.5CM","Double Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","s100068","Carlow Single Bed Natural Pine","Carlow","85.0CM","97.0CM","202.0CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","s100069","Carlow Double Bed Natural Pine","Carlow","85.0CM","142.0CM","202.0CM","Double Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","s100012","Charisma Dining Set White Gloss 4 chairs","Charisma","75.0CM","120.0CM","80.0CM","Dining Sets 4 Seat","T 75.5 x 120 x 80, C 90 x 43 x 50cm","White",NA,"Poylurethant, PVC, MDF","Yes",NA,NA,NA,NA,1
"HOM","FUR","420761","Diamante Single Bed Frame Black","Diamante","99.5CM","100.0CM","204.0CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","420762","Diamante Double Bed Frame White","Diamante","99.5CM","144.0CM","204.0CM","Double Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","420763","Diamante Double Bed Frame Black","Diamante","99.5CM","144.0CM","204.0CM","Double Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440458","Dorset Bed Frame 3ft Black","Dorset","77.5CM","95.0CM","197.0CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440459","Dorset Bed Frame 3ft Silver","Dorset","77.5CM","95.0CM","197.0CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440460","Dorset Bed Frame 3ft White","Dorset","77.5CM","95.0CM","197.0CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440461","Dorset Double Bed Frame Black","Dorset","77.5CM","142.0CM","197.0CM","Double Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440462","Dorset Double Bed Frame Silver","Dorset","77.5CM","142.0CM","197.0CM","Double Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","p100139","Florence Double Bed White","Florence","124.0CM","146.0CM","202.0CM","Double Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","p100141","Florence Double Bed Black","Florence","124.0CM","146.0CM","202.0CM","Double Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440463","Jupiter 3ft Bunk Bed Oak","Jupiter","151.5CM","104.5CM","204.5CM","Bunk Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440465","Jupiter Triple Sleeper Antique pine","Jupiter","151.5CM","152.5CM","204.5CM","Bunk Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440466","Jupiter Triple Sleeper White","Jupiter","151.5CM","152.5CM","204.5CM","Bunk Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440454","Merlin Storage Stool Black","Merlin","50.5CM","36.0CM","36.0CM","Stools",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440455","Merlin Storage Stool Blue","Merlin","50.5CM","36.0CM","36.0CM","Stools",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440456","Merlin Storage Stool Pink","Merlin","50.5CM","36.0CM","36.0CM","Stools",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440457","Merlin Storage Stool White","Merlin","50.5CM","36.0CM","36.0CM","Stools",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440354","Monza Dining Chairs Set of 2 Brown","Monza","970.0CM","575.0CM","430.0CM","Dining Chair",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440448","Moran Girls Bed 3ft Pink","Moran","95.0CM","103.0CM","200.0CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440449","Rennie Boys Bed 3ft Blue","Rennie","95.0CM","103.0CM","200.0CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","p200017","Soho Dining Set Oak","Soho",".0CM",".0CM",".0CM","Dining Sets 4 Seat ","T 75cm, C 85x47x51cm","Wood",NA,"Oak Veneer","Yes",NA,NA,NA,NA,1
"HOM","FUR","p200018","Soho Dining Set White","Soho",".0CM",".0CM",".0CM","Dining Sets 4 Seat","T 75cm, C 85x47x51cm","White",NA,"Wood","Yes",NA,NA,NA,NA,1
"HOM","FUR","440450","Turin Day Bed 3ft Black","Turin","114.5CM","98.0CM","201.0CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440451","Turin Day Bed 3ft Cream","Turin","114.5CM","98.0CM","201.0CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440467","Ville High End Single Bed Frame Antique Pine","Ville","102.5CM","102.5CM","204.0CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440468","Ville High End Single Bed Frame White","Ville","102.5CM","102.5CM","204.0CM","Single Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440469","Ville High End Double Bed Frame White","Ville","102.5CM","148.0CM","204.0CM","Double Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","440470","Ville High End Double Bed Frame Antique Pine","Ville","102.5CM","148.0CM","204.0CM","Double Bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","FUR","325046","Wilko Oslo 2 Tier Shelving Unit Oak Effect","Wilko","70.0CM","38.5CM","30.0CM","Bookcases","Single","Wood","1pcs","MDF","Yes",NA,NA,"N/A",NA,1
"HOM","FUR","325047","Wilko Shelving Unit Oslo Style 3 Tier Oak Effect","Wilko","86.0CM","41.5CM","29.5CM","Bookcases","Single","Wood","1pcs","MDF","Yes",NA,NA,"N/A",NA,1
"HOM","FUR","325048","Wilko Bookcase Oslo Style 3 Tier Oak Effect","Wilko","86.0CM","74.5CM","29.5CM","Bookcases","Single","Wood","1pcs","MDF","Yes",NA,NA,"N/A",NA,1
"HOM","HAB","214469","Korbond Iron on Mender 3.8 x 50cm 3pk","Korbond","16.8CM","6.7CM",".7CM","Labelling & Repair ","3.8x50cm","Multi","3pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","228239","Korbond Embroidery Floss 7m 20pk","Korbond","22.0CM","10.0CM","1.7CM","Thread Selection Packs ","7m","Multi","20pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","228328","Korbond General Purpose Scissors 5in","Korbond","17.5CM","4.9CM","1.1CM","Scissors","12.5cm","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","249440","Korbond Polyester Thread Selection Dark  32m 12pk","Korbond","20.9CM","8.0CM","2.2CM","Thread Selection Packs ","12x32m","Multi","12pcs",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","249441","Korbond Thread Polyester Dark Assorted 32m 12pk","Korbond","20.9CM","8.0CM","2.2CM","Thread Selection Packs ","12x32m","Multi","12pcs",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","287099","Korbond Nylon Thread Smoke and Clear 2pk","Korbond","14.0CM","7.4CM","3.5CM","Thread Selection Packs ","110mx2","Clear","2pcs",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","287101","Korbond Buttons Asstorted 20pk","Korbond","12.0CM","6.7CM",".8CM","Pins, Buttons & Fasteners ","Assorted","Multi","20pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","287102","Korbond Needles Easy Thread 6pk","Korbond","12.0CM","4.5CM",".7CM","Needles","41855","Silver","6pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","288143","Korbond Knitting Needles 3.25mm x 35cm","Korbond","35.0CM",".3CM",".3CM","Knitting Needles ","3.25x35cm","White","2pcs","Aluminium",NA,NA,NA,NA,NA,1
"HOM","HAB","288145","Korbond Knitting Needles 6mm x 35cm","Korbond","35.0CM",".6CM",".6CM","Knitting Needles","0.6x35cm","White","2pcs","Aluminium",NA,NA,NA,NA,NA,1
"HOM","HAB","288146","Korbond Lint Roller Blue 5m","Korbond","20.0CM","4.5CM","4.5CM","Lint Remover","5m",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","288153","Korbond Sew on Snap Fastners 24pcs","Korbond","12.0CM","6.8CM","1.1CM","Pins, Buttons & Fasteners ","12Pack","Silver","24pcs",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","288157","Korbond Threaded Needle Kit Assorted","Korbond","12.0CM","6.8CM","1.0CM","Sewing Kits ","Assorted","Multi","1",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83781","Korbond Tape Measure 150 x 60cm","Korbond","17.0CM","4.9CM","1.5CM","Sewing Tools ","150x60cm","Multi","1",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83786","Korbond Berry Pins Assorted 38 x 0.6mm 40pk","Korbond","3.8CM",".1CM",".1CM","Pins, Buttons & Fasteners ","38x0.6mm","Multi","40pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83790","Korbond Safety Pins Nickel Plated Assorted 50pk","Korbond","12.0CM","6.9CM","1.5CM","Pins, Buttons & Fasteners ","Assorted","Silver","50pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83791","Korbond Safety Pins Gilt Assorted 36pk","Korbond","12.0CM","6.9CM","1.2CM","Pins, Buttons & Fasteners ","Assorted","Metal","36pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83795","Korbond Needles Multi Purpose Assorted 7pk","Korbond","12.0CM","7.5CM","1.0CM","Needles ","Assorted","Silver","7pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83796","Korbond Needles Crewel size 3-9 16pk","Korbond","12.0CM","4.5CM",".7CM","Needles ","41885","Silver","16pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83797","Korbond Needles Darning 1-5 10pk","Korbond","12.0CM","4.5CM",".7CM","Needles","41760","Silver","10pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83798","Korbond Needles Tapestry 18-24 6pk","Korbond","12.0CM","4.5CM",".7CM","Needles","18-24","Silver","6pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83800","Korbond Needles Dispenser Assorted 30pk","Korbond","12.0CM","6.8CM",".9CM","Needles","Assorted","Silver","30pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83801","Korbond Home Needle Kit 45pk","Korbond","12.0CM","6.9CM","1.2CM","Needles","Assorted","Silver","45pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83803","Korbond Dressmaking Scissors Comfort Grip 9in","Korbond","29.0CM","8.9CM","1.8CM","Scissors","22.5cm","Black","2pk",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83804","Korbond Dressmaking Scissors Comfort Grip 7in","Korbond","22.6CM","8.2CM","1.4CM","Scissors","17.5cm","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","83807","Korbond Elastic white 2m","Korbond","19.7CM","6.1CM","1.5CM","Repair & Alterations ","12mmx2m","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","HAB","300228","Yarnfair DK  Acrylic Yarn Cream 100g","Yarnfair","20.0CM","10.0CM","10.0CM","Yarn","100g","Cream","1","Acrylic",NA,NA,NA,NA,NA,1
"HOM","HAB","329119","Yarnfair DK 100g 100% Acrylic Shade 070 Jade","Yarnfair","20.0CM","10.0CM","10.0CM","Yarn","100g","Green","1","Acrylic",NA,NA,NA,NA,NA,1
"HOM","HAB","329122","Yarnfair DK 100g 100% Acrylic Shade 070Teal","Yarnfair","20.0CM","10.0CM","10.0CM","Yarn","100g","Green","1","Acrylic",NA,NA,NA,NA,NA,1
"HOM","LIG","325659","Wilko Ceramic Lamp Parchment","Wilko","29.9CM","16.6CM","16.6CM","Table Lamps","Single","Cream","1",NA,"No",NA,"Mains",NA,NA,1
"HOM","LIG","326053","Wilko 2 Tone Acrylic Pendant Smoke","Wilko","27.0CM","27.0CM","27.0CM","Pendants","Single","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","LIG","326137","Wilko Retro Swirl Shade Olive","Wilko","23.0CM","30.0CM","30.0CM","Light Shades","30cm","Green","1",NA,NA,NA,NA,NA,NA,1
"HOM","LIG","326178","Wilko Tapered Shade Parchment","Wilko","19.0CM","28.5CM","28.5CM","Light Shades","28cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","LIG","326199","Wilko Satin Tapered Shade White","Wilko","19.5CM","29.0CM","29.0CM","Light Shades","29cm","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","LIG","329149","Wilko Capiz Angular Drum Silver","Wilko","18.2CM","15.0CM","15.0CM","Light Shades","16cm","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","LIG","329152","Wilko Capiz Dome Shade Natural","Wilko","17.0CM","30.3CM","30.3CM","Pendants","31cm","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","LIG","329153","Wilko Brass Beaded Pendant Mocha","Wilko","16.0CM","27.5CM","27.5CM","Pendants","27cm","Brown","1",NA,NA,NA,NA,NA,NA,1
"HOM","LIG","329166","Wilko Beaded Ball Pendant Shade Teal","Wilko","21.5CM","22.0CM","22.0CM","Pendants","22cm","Blue","1",NA,NA,NA,NA,NA,NA,1
"HOM","LIG","341916","Wilko Halogen PIR Floodlight 400W","Wilko","27.2CM","18.7CM","14.5CM","Outdoor Lighting","Width 18.7cm Depth 13cm Height 26.5cm",NA,"1",NA,NA,NA,"400w",NA,NA,1
"HOM","LIG","341917","Wilko Halogen PIR Floodlight 120W","Wilko","21.0CM","14.0CM","12.0CM","Outdoor Lighting","Width 10cm Depth 10.3cm Height 16cm",NA,"1",NA,NA,NA,"2x35w",NA,NA,1
"HOM","LIG","341922","Wilko 6 Sided PIR Wall Lantern 60w","Wilko","37.1CM","23.2CM","17.3CM","Outdoor Lighting","Width 23.2cm Depth 17.3cm Height 37.1cm",NA,"1",NA,NA,NA,"60w",NA,NA,1
"HOM","LIG","341923","Wilko Dual Illumination Wall Light","Wilko","16.0CM","10.0CM","10.3CM","Outdoor Lighting","Width 11cm, Depth 5.5cm, Height 37cm",NA,"1",NA,NA,NA,"10w",NA,NA,1
"HOM","LIG","341925","Wilko Fishermans Wall Lantern 60w","Wilko","25.5CM","17.7CM","23.0CM","Outdoor Lighting","Width: 14cm, Depth: 10.5cm, Height: 19cm",NA,"1",NA,NA,NA,"120w",NA,NA,1
"HOM","LIG","342596","Wilko 3 Tier Shade Plum","Wilko","15.0CM","35.0CM","35.0CM","Light Shades","3 Tier","Purple","1",NA,NA,NA,NA,NA,NA,1
"HOM","LIG","6745","Wilko Functional Paper Shade White12 to 14in","Wilko Functional","29.3CM","29.3CM","30.0CM","Light Shades","30cm","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","LIG","6746","Wilko Functional Paper Shade White 16in","Wilko Functional","40.0CM","40.0CM","35.0CM","Light Shades","40cm","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","MIR","456097","Wilko Over Door Mirror Grey","Wilko","126.0CM","2.0CM","34.0CM","Full Length Mirror","126 x 2 x 34cm","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","185422","Wilko Easy Photo Frame Silver Effect 6 x 4in","Wilko","16.2CM","11.1CM","1.7CM","Plastic Frame","6x4in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","185423","Wilko Easy Photo Frame Silver Effect 7 x 5in","Wilko","19.1CM","14.1CM","1.7CM","Plastic Frame","7x5in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","185424","Wilko Easy Photo Frame Silver Effect 8 x 6in","Wilko","21.0CM","16.0CM","1.7CM","Plastic Frame","8x6in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","185425","Wilko Easy Photo Frame Silver Effect 10 x 8in","Wilko","26.1CM","21.1CM","1.7CM","Plastic Frame","10x8in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","185426","Wilko Easy Photo Frame Silver Effect A4","Wilko","30.8CM","22.0CM","1.7CM","Plastic Frame","A4","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","185427","Wilko Easy Photo Frame Silver Effect 16 x 12in","Wilko","41.0CM","31.0CM","1.7CM","Plastic Frame","16x12in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","186289","Wilko Rustic  Effect Photo Frame 7 x 5in","Wilko","25.0CM","19.5CM","1.5CM","Wood Effect Frame","7x5in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","186290","Wilko Rustic Effect Photo Frame 8 x 6in","Wilko","27.5CM","22.5CM","1.5CM","Wood Effect Frame","8x6in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","186292","Wilko Rustic Effect Photo Frame 10 x 8in","Wilko","32.4CM","27.5CM","1.5CM","Wood Effect Frame","10x8in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","186293","Wilko Rustic Effect Photo Frame 12 x 10in","Wilko","37.5CM","32.0CM","1.5CM","Wood Effect Frame","12x10in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","186294","Wilko Rustic Effect Photo Frame 14 x 11in","Wilko","42.5CM","35.0CM","1.5CM","Wood Effect Frame","14x11in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","187652","Wilko Rustic Effect Photo Frame 20 x 16in","Wilko","58.0CM","47.5CM","1.5CM","Wood Effect Frame","20x16in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","213564","Wilko Dorchester Gold Photo Frame 7 x 5in","Wilko","27.0CM","22.0CM","1.5CM","Metal Effect Frame","7x5in","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","213565","Wilko Dorchester Gold Photo Frame 8 x 6in","Wilko","29.6CM","24.5CM","1.5CM","Metal Effect Frame","8x6in","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","213566","Wilko Dorchester Gold Photo Frame 10 x 8in","Wilko","34.5CM","29.5CM","1.5CM","Metal Effect Frame","10x8in","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","213567","Wilko Dorchester Gold Photo Frame 12 x 10in","Wilko","40.0CM","34.5CM","1.5CM","Metal Effect Frame","12x10in","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","213568","Wilko Dorchester Gold Photo Frame 14 x 11in","Wilko","44.5CM","37.2CM","1.5CM","Metal Effect Frame","14x11in","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","242196","Wilko Dorchester Gold Photo Frame 20 x 16in","Wilko","60.0CM","50.0CM","1.3CM","Metal Effect Frame","20x16in","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","242202","Wilko Pewter Effect Photo Frame 6 x 4in","Wilko","20.6CM","15.6CM","1.6CM","Metal Effect Frame","6x4in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","242203","Wilko Pewter Effect Photo Frame 7 x 5in","Wilko","23.1CM","18.0CM","1.6CM","Metal Effect Frame","7x5in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","242204","Wilko Pewter Effect Photo Frame 8 x 6in","Wilko","25.6CM","20.6CM","1.6CM","Metal Effect Frame","8x6in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","242205","Wilko Pewter Effect Photo Frame 10 x 8in","Wilko","30.5CM","25.5CM","1.6CM","Metal Effect Frame","10x8in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","242322","Wilko Rustic Effect Photo Frame A4","Wilko","37.1CM","28.0CM","1.4CM","Wood Effect Frame","A4","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","242493","Wilko Easy Photo Frame Black 6 x 4in","Wilko","16.4CM","11.2CM","1.7CM","Plastic Frame","6x4in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","242494","Wilko Easy Photo Frame Black 10 x 8in","Wilko","26.2CM","21.0CM","1.7CM","Plastic Frame","10x8in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","242495","Wilko Easy Photo Frame Black A4","Wilko","31.0CM","22.0CM","1.7CM","Plastic Frame","A4","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","242496","Wilko Easy Photo Frame Black 7 x 5in","Wilko","19.1CM","14.1CM","1.7CM","Plastic Frame","7x5in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","242498","Wilko Easy Photo Frame Black 16 x 12in","Wilko","41.0CM","31.0CM","1.7CM","Plastic Frame","16x12in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","250486","Wilko Pewter Effect Photo Frame A4","Wilko","34.8CM","26.1CM","1.6CM","Metal Effect Frame","A4","Grey","1",NA,NA,NA,NA,NA,NA,1
