"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"HOM","BAT","310544","Wilko Towel Ring Macau Collection","Wilko","21.0CM","19.0CM","7.2CM","Towel Rails and Hooks","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310546","Wilko Toilet Seat Hinge and Fittings Repair Set","Wilko","16.0CM","10.0CM","4.0CM","Toilet Seats","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310685","Wilko Shower Head 6 Function Chrome Effect","Wilko","31.1CM","15.9CM","6.0CM","Shower Heads","23.1 cm x 9 cm x 5 cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310689","Wilko Robe Hook Macau Collection","Wilko","10.0CM","9.5CM","8.0CM","Towel Rails and Hooks","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310691","Wilko Toilet Roll Holder Paris Collection","Wilko","8.0CM","19.5CM","10.0CM","Toilet Roll Holders","base 5x0.8cm hook 16x9cm","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310697","Wilko Split Wood Laundry Hamper White","Wilko","56.7CM","47.0CM","36.5CM","Laundry Baskets","36.5 x 47 x 56.7cm","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310698","Wilko Set of 3 Baskets White","Wilko","19.0CM","38.0CM","28.0CM","Baskets",NA,"White","3",NA,NA,NA,NA,NA,NA,NA,NA,0.85
"HOM","BAT","310703","Wilko Shower Head 3 Function Chrome Effect","Wilko","32.5CM","17.6CM","6.7CM","Shower Heads","21.5 cm x 8.3 cm x 4 cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310707","Wilko Split Wood Storage Unit 2 Drawer White","Wilko","33.3CM","18.0CM","20.0CM","Storage Tower","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","310708","Wilko 4 Tier Storage Unit White","Wilko","64.5CM","18.0CM","24.8CM","Storage Tower","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","310718","Wilko Glass Corner Shelves 2pk","Wilko","24.2CM","23.5CM","5.3CM","Bathroom Shelves","Single","Clear","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310720","Wilko Bath Rack Chrome Plated","Wilko","7.0CM","53.5CM","21.0CM","Bath Racks","Single","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","310721","Wilko Toilet Roll Holder Clear Jewel Chrome Effect","Wilko","41.0CM","15.0CM","15.0CM","Toilet Roll Holders","Single","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","311390","Wilko Light Pull Crystal Effect","Wilko","9.2CM","3.3CM","3.3CM","Light Pulls","Single","Clear","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327181","Wilko Toilet Brush and Holder White Dome","Wilko","38.5CM","9.3CM","9.3CM","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327185","Wilko Dome Pedal Bin White 3L","Wilko","27.0CM","16.7CM","16.7CM","Bathroom Bin","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327204","Wilko Freestanding Toilet Roll Holder","Wilko","65.8CM","20.6CM","13.7CM","Toilet Roll Holders","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","327210","Wilko Butterfly Shower Curtain","Wilko","30.5CM","14.0CM","4.1CM","Shower Curtains","180cm x 180cm","White",NA,NA,NA,NA,NA,NA,"Painted Paper",NA,NA,1
"HOM","BAT","327295","Wilko Pedestal Set Black Stripe 50 x 70cm and50 x 50cm","Wilko","56.0CM","52.0CM","3.0CM","Bathmat Set","61.3x51.1cm","Black","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327297","Wilko Pedestal Set Green Stripe 50 x 70cm and50 x 50cm","Wilko","56.0CM","52.0CM","3.0CM","Bathmat Set","58.5x47.5cm","Green",NA,NA,NA,"Washable",NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327298","Wilko Pedestal Set Neutral Stripe 50 x 70cm and50 x 50cm","Wilko","56.0CM","52.0CM","3.0CM","Bathmat Set","58.5x47.5cm","Cream",NA,NA,NA,"Washable",NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327299","Wilko Pedestal Set Blue Stripe 50 x 70cm and50 x 50cm","Wilko","56.0CM","52.0CM","3.0CM","Bathmat Set","59x51.5cm","Blue","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327638","Wilko Silver Mosaic Soak Word Plaque","Wilko","12.0CM","34.0CM","2.5CM","Bathroom Ornament","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327640","Wilko Mosaic Soap Dispenser Silver","Wilko","19.5CM","8.5CM","8.5CM","Soap Dispenser","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327641","Wilko Mosaic Tumbler Silver","Wilko","10.0CM","8.3CM","8.3CM","Tumblers","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327642","Wilko Silver Mosaic Mirror","Wilko","39.7CM","39.7CM","1.3CM","Bathroom Mirrors","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327643","Wilko Freestanding Mirror Small","Wilko","14.0CM","13.4CM","3.8CM","Bathroom Mirrors","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327644","Wilko Freestanding Mirror Large","Wilko","18.7CM","18.3CM","3.8CM","Bathroom Mirrors","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327650","Wilko Freestanding Mirror Wooden","Wilko","35.0CM","24.0CM","10.0CM","Bathroom Mirrors","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327652","Wilko Pop Up Laundry Bin Striped","Wilko","61.0CM","44.5CM","34.0CM","Laundry Baskets","Single","Blue","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327701","Wilko Small Caddy Black","Wilko","13.5CM","26.0CM","18.0CM","Bathroom Caddy","Small","Black","1",NA,NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","327702","Wilko Large Caddy Black","Wilko","18.0CM","34.0CM","24.5CM","Bathroom Caddy","Large","Black","1",NA,NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","327710","Wilko Rush Laundry Hamper Rectangular","Wilko","55.0CM","42.5CM","32.5CM","Laundry Baskets","Single","Cream","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327818","Wilko Mosaic Glass Shelf Silver","Wilko","14.7CM","62.1CM","7.5CM","Bathroom Shelves","Single","Silver",NA,NA,"No",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327819","Wilko Mosaic Towel Rail Silver","Wilko","12.0CM","65.0CM","8.0CM","Towel Rails and Hooks","Single","Silver",NA,NA,"No",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327820","Wilko Mosaic Toilet Roll Holder Silver","Wilko","15.3CM","18.4CM","9.5CM","Toilet Roll Holders","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327821","Wilko Mosaic Robe Hook Silver","Wilko","12.7CM","8.4CM","8.0CM","Towel Rails and Hooks","Single","Silver",NA,NA,"No",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327822","Wilko Mosaic Towel Ring Silver","Wilko","19.0CM","17.7CM","8.0CM","Towel Rails and Hooks","Single","Silver",NA,NA,"No",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327823","Wilko Mosaic Glass and Holder Silver","Wilko","12.7CM","13.2CM","8.0CM","Tumblers","Single","Silver",NA,NA,"No",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","337343","Croydex Slow Close Antibacterial Toilet Seat White","Wilko","5.5CM","37.0CM","45.0CM","Toilet Seats",NA,"White","1",NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"HOM","BAT","341652","Wilko Dome Pedal Bin Black Small","Wilko","28.4CM","16.6CM","19.0CM","Bathroom Bin",NA,"Black","1",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","341653","Wilko Toilet Brush Holder Black","Wilko","38.6CM","9.6CM","9.6CM","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","341655","Wilko Bath Mat Purple Chevron 50 x 70cm","Wilko","2.0CM","30.0CM","50.0CM","Bath Mats","50x70cm","Purple",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","341656","Wilko Bath Mat Black Chevron 50 x 70cm","Wilko","2.0CM","50.0CM","37.5CM","Bath Mats","50x70cm","Black",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","341696","Wilko Toilet Brush Holder Silver Mosaic","Wilko","36.0CM","11.0CM","11.0CM","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","341697","Wilko Light Pull Silver Mosaic","Wilko","8.0CM","2.5CM","2.5CM","Light Pulls",NA,"Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","341702","Wilko Woven Design Caddy Aqua Small","Wilko","14.0CM","15.3CM","26.0CM","Storage Caddy","Small","Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85
"HOM","BAT","341738","Wilko Rope Mirror","Wilko","38.5CM","28.9CM","2.5CM","Bathroom Mirrors","29cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","342246","Wilko Stripe Laundry Bag Beige","Wilko","49.0CM","41.0CM","3.5CM","Laundry Bags",NA,"Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
