"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","DQ Score"
"PET","100","334160","Komodo Daylight Neodymium Spot Bulb ES 150W","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","334162","Komodo Daylight Neodymium Spot Bulb BC 75W","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","334163","Komodo Daylight Neodymium Spot Bulb BC 100W","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","334168","Komodo Infrared 24 hours Heat Source Spot Bulb Bulb ES 50W","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334169","Komodo Infrared 24 hours Heat Source Spot Bulb ES75W","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334170","Komodo Infrared 24 hours Heat Source Spot Bulb ES100W","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334175","Komodo Basking Spot Bulb ES 150W","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334180","Komodo Sun Strip Tube 5.0 UVB 35cm/14in 10W","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334185","Komodo On/Off Thermostat 300W","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334186","Komodo Dimmer Thermostat 600W","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334187","Komodo Advanced Heat Mat Black 7W 142mmx274mm","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334188","Komodo Advanced Heat Mat Black 15W 276mmx274mm","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334196","Komodo Terrarium Decoration Hanging Abutilon Silk82527","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334197","Komodo Terrarium Decoration Hanging Plant Croton Medium 82530","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334198","Komodo Terrarium Decoration Jungle Plant Split Philodendron 82533","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334200","Komodo Terrarium Dish Critter Bowl Small","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334201","Komodo Terrarium Dish Critter Bowl Medium","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334202","Komodo Terrarium Dish Critter Bowl Large","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334204","Komodo Mealworm Holding Dish Brown Small","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","334205","Komodo Smart Dish Mealworm Holder Brown","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","334206","Komodo Decoration For Terrarium Terraced Dish Sandstone Small","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334211","Komodo Decoration For Terrarium Terraced Dish Brown Large","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334215","Komodo Decoration For Terrarium Basking Corner Platform Sandstone Small","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334216","Komodo Decoration For Terrarium Basking Corner Platform Grey Small","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334217","Komodo Resin Decoration For Terrarium Basking Platform Orange","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334223","Komodo Leopard Gecko Dusting Powder Premium 75g","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","334228","Komodo Tortoise Diet Complete Holistic Dandelion 340g","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","334230","Komodo Tortoise Diet Complete Holistic Fruit and Flower 340g","Komodo",NA,NA,NA,NA,NA,NA,1
