"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Age","Model Number","DQ Score"
"XMD","LIG","440023","Wilko Christmas Colour Changing Ball Curtain LightMulticoloured 2m","Wilko","2m x 0.5m","White","1","PVC, Copper","No",NA,"Mains Operated",NA,"JS045LXDY35-MF/M",0.65
"XMD","LIG","440024","Wilko Christmas Suction Cups Giant 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"XMD","LIG","440025","Wilko Christmas Gutter Hooks Mini 20pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"XMD","LIG","440026","Wilko Christmas Rope Light Hooks 20pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"XMD","LIG","440027","Wilko Christmas Suction Cups 10pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"XMD","LIG","440028","Wilko Christmas Gutter Hooks Large 10pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"XMD","LIG","440029","Wilko 100 Outdoor Mini Ball Christmas LightsColour Changing","Wilko","8.4m","White","1","PVC, Copper","No",NA,"Mains Operated",NA,NA,0.65
"XMD","LIG","440039","Wilko Christmas Acrylic LED Light Up ReindeerSmall","Wilko","62 x 41 x 15.5cm","Clear","1","Acrylic","No",NA,"Mains Operated",NA,"JS040LXDZ65-N/W1",0.65
"XMD","LIG","440040","Wilko Christmas Acrylic LED Light Up Snowman Large","Wilko","74 x 45 x 26cm","Clear","1","Acrylic","No",NA,"Mains Operated",NA,"JS050LXDZ63-N/W1",0.65
"XMD","LIG","440127","Wilko 20 Battery Operated Christmas Lights WarmWhite Clear Cable","Wilko","2.2m","Clear","1","PVC, Copper","No",NA,"2 x AA Included",NA,NA,0.65
"XMD","LIG","440128","Wilko Christmas 120 LED Timer Lights Icicle ColourChanging with Clear Cable","Wilko","13.8m","White","1","PVC, Copper","No",NA,"Mains Operated",NA,"LVLI1201RGB",0.65
"XMD","LIG","440129","Wilko Christmas 240 Multifunction LED Timer LightsIcicle Warm White with Clear Cable","Wilko","19.8m","White","1","PVC, Copper","No",NA,"Mains Operated",NA,"LVLI2404WW",0.65
"XMD","TRE","420895","Wilko 5ft Indoor Twig Christmas Tree White","Wilko","4ft",NA,"1","PVC","Yes",NA,"Mains Operated",NA,"JS144LDW30-N/W1",0.65
"XMD","TRE","420898","Wilko 6ft Prelit White Christmas Tree","Wilko","6ft",NA,"1","PVC","Yes",NA,"Mains Operated",NA,"JST180U-388W/120D",0.65
"XMD","TRE","421145","Wilko 6ft Prelit Green Christmas Tree","Wilko","6ft",NA,"1","PVC","Yes",NA,"Mains Operated",NA,"JST180U-388G/120D",0.65
"XMD","TRE","439900","Wilko 4ft Alpine Mix Tips Christmas Tree","Wilko","4ft","Green","1","PVC","Yes",NA,NA,NA,"JSJ04G165HH",0.65
"XMD","TRE","439902","Wilko 6ft Blossom Twig Christmas Tree","Wilko","6ft","Black","1","PVC","Yes",NA,"Mains Operated",NA,"JS160LXDW69-N/W1",0.65
"XMD","TRE","439903","Wilko 6ft Indoor Colour Changing TwigChristmas Tree","Wilko","6ft","Black","1","PVC","Yes",NA,"Mains Operated",NA,"JS160LXDW42-MF/M",0.65
