"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"TOI","MEN","438754","Lynx Urban Anti-Perspirant 150ml","Lynx",NA,NA,"1",0.9125
"TOI","MEN","438755","Lynx Daily Fragrance Adrenaline Iced Musk andGinger 100ml","Lynx",NA,NA,"1",0.9125
"TOI","MEN","450368","Lynx Be You Body Spray 200ml","Lynx",NA,NA,"1",0.9125
"TOI","MEN","450370","Lynx Be You Shower Gel 250ml","Lynx",NA,NA,"1",0.9125
"TOI","MEN","450371","Lynx Be You Body Spray 150ml","Lynx",NA,NA,"1",0.9125
"TOI","MEN","51702","Lynx Dark Temptation Body Spray 150ml","Lynx","150ml",NA,"1",1
"TOI","MEN","85443","Lynx Africa Body Spray 150ml","Lynx","150ml",NA,"1",1
"TOI","MEN","290452","Radox Men Feel Sporty 2in1 Shower Gel 250ml","Radox","250ml",NA,NA,0.9125
"TOI","MEN","290454","Radox Men Feel Heroic 2in1 Shower Gel 250ml","Radox","250ml",NA,"1",1
"TOI","MEN","189004","Sure For Men Active Anti-Perspirant 250ml","Sure","250ml",NA,"1",1
"TOI","MEN","200157","Sure Men Sensitive Roll On Anti-Perspirant50ml","Sure","50ml",NA,"1",1
"TOI","MEN","200256","Sure Men Sensitive Stick Anti-Perspirant50ml","Sure","50ml",NA,"1",1
"TOI","MEN","221404","Sure For Men Quantum Anti-Perspirant 250ml","Sure","250ml",NA,"1",1
"TOI","MEN","221406","Sure For Men Invisible Ice Anti-Perspirant 250ml","Sure","250ml",NA,"1",1
"TOI","MEN","278392","Sure For Men Maximum ProtectionAnti-Perspirant 45ml","Sure","45ml",NA,NA,0.9125
"TOI","MEN","412056","Sure For Men Invisible Black and White Roll OnAnti-Perspirant 50ml","Sure",NA,NA,"1",0.9125
"TOI","MEN","431440","Sure For Men Antibacterial ProtectionAnti-Perspirant 250ml","Sure",NA,NA,NA,0.825
"TOI","MEN","431453","Sure For Men Williams Racing Anti-Perspirant 250ml","Sure",NA,NA,NA,0.825
"TOI","MEN","453529","Sure For Men Antibacterial Antiperspirant150ml","Sure",NA,NA,"1",0.8625
"TOI","MEN","453763","Sure FM APA Invisible Ice 150ml","Sure",NA,NA,"1",0.9125
"TOI","SHC","429120","Alberto Balsam Shampoo Juicy Green Apple350ml","Alberto Balsam","350ml",NA,"1",1
"TOI","SHC","429121","Alberto Balsam Shampoo SunkissedRaspberry 350ml","Alberto Balsam","350ml",NA,"1",1
"TOI","SHC","429122","Alberto Balsam Shampoo Tea Tree Tingle 350ml","Alberto Balsam","350ml",NA,"1",1
"TOI","SHC","429124","Alberto Balsam Tea Tree Tingle Conditioner 350ml","Alberto Balsam","350ml",NA,"1",1
"TOI","SHC","429125","Alberto Balsam Shampoo Coconut and Lychee  350ml","Alberto Balsam","350ml",NA,"1",1
"TOI","SHC","429127","Alberto Balsam Conditioner Coconut 350ml","Alberto Balsam","350ml",NA,"1",1
"TOI","SHC","437079","Alberto Balsam Blends Smooth and Sleek Shampoo300ml","Alberto Balsam","300ml",NA,NA,0.9125
"TOI","SHC","437081","Alberto Balsam Blends Stunning Shine Shampoo 300ml","Alberto Balsam","300ml",NA,NA,0.9125
"TOI","SHC","437083","Alberto Balsam Blends Damage Repair Shampoo 300ml","Alberto Balsam","300ml",NA,NA,0.9125
"TOI","SHC","437085","Alberto Balsam Blends Smooth and SleekConditioner 300ml","Alberto Balsam","300ml",NA,NA,0.9125
"TOI","SHC","437086","Alberto Balsam Blends Stunning Shine Conditioner300ml","Alberto Balsam","300ml",NA,NA,0.9125
"TOI","SHC","442250","Dove Shampoo Daily Care 2in1 400ml","Dove","400ml",NA,"1",1
"TOI","SHC","442251","Dove Conditioner Intensive Repair 350ml","Dove","350ml",NA,"1",1
"TOI","SHC","442253","Dove Conditioner Daily Care 350ml","Dove","350ml",NA,"1",1
"TOI","SHC","442254","Dove Shampoo Intensive Repair 400ml","Dove","400ml",NA,"1",1
"TOI","SHC","442256","Dove Shampoo Daily Care 400ml","Dove","400ml",NA,"1",1
"TOI","SHC","454550","Dove Coconut Restore Ritual Conditioner 250ml","Dove",NA,NA,"1",0.8625
"TOI","SHC","454553","Dove Lavender Thicken Ritual Conditioner 250ml","Dove",NA,NA,"1",0.8625
"TOI","SHC","454554","Dove Avocado Strengthening Ritual Shampoo 250ml","Dove","250ml",NA,"1",0.95
