"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Coverage","Model Number","DQ Score"
"DEC","WAL","345481","Wilko Functional Wallpaper Erin Black","Wilko Functional","10m x 0.53m","Black","1pk",NA,"No","5.33m²",NA,0.65
"DEC","WAL","345482","Wilko Functional Wallpaper Erin Neutral","Wilko Functional","10m x 0.53m","Cream","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","345483","Wilko Functional Wallpaper Erin Red","Wilko Functional","10m x 0.53m","Red","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","345484","Wilko Functional Wallpaper Erin Plum","Wilko Functional","10m x 0.53m","Purple","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","345485","Wilko Functional Wallpaper Erin Teal","Wilko Functional","10m x 0.53m","Green","1",NA,"No","5.33m²",NA,0.65
"HOM","COO","454496","Glitterati Buddha 3D Wall Art Gold 60 x 60cm","Arthouse","60x60cm",NA,"1",NA,NA,NA,NA,0.88
"HOM","COO","454498","Glitterati Blossom and Birds 3D Wall Art 60 x 60cm","Arthouse","60x60cm",NA,"1",NA,NA,NA,NA,0.88
"HOM","COO","454499","Glitterati Butterflies 3D Wall Art 60 x 60cm","Arthouse","60x60cm",NA,"1",NA,NA,NA,NA,0.88
"HOM","COO","454501","Glitterati Dahlia 3D Wall Art CopperColoured 60x60cm","Arthouse","60x60cm",NA,"1",NA,NA,NA,NA,0.88
"HOM","COO","454785","Arthouse Leonardo Gold Rush Room Divider","Arthouse","120 x 180 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454786","Arthouse Black Damask Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454787","Arthouse New York Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454788","Arthouse Trees Room Divider","Arthouse","160 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454789","Arthouse Vasari Room Divider","Arthouse","120 x 165 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454790","Arthouse Lunar Metal Room Divider","Arthouse","120 x 170 x 2cm (each [panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454791","Arthouse Words Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454792","Arthouse Cream Damask Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454793","Arthouse Night Owl Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454794","Arthouse Bright Stripe Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454796","Arthouse Mystical Forest Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454797","Arthouse Boudoir Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454798","Arthouse Plum Rose Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454799","Arthouse Plum Damask Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454800","Arthouse Rustic Brick Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454801","Arthouse Salcombe Wood Room Divider","Arthouse","120 x 150 x 2.5cm (each panel is 40cm wide)",NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","454802","Arthouse White Brick Room Divider","Arthouse",NA,NA,"1","MDF, Polyester Canvas, metal hinges","No",NA,NA,0.65
"HOM","COO","438254","Wilko Green Forest 60 x 90cm","Wilko","60cm x 90cm",NA,NA,NA,"No",NA,NA,0.883333333333333
"HOM","COO","447228","Wilko Red Floral Canvas 48 x 48cm","Wilko","48 x 48 x 1.8cm","Multi",NA,"Canvas","No",NA,NA,1
"HOM","COO","447254","Wilko Peonies Canvas 60 x 90cm","Wilko","60 x 90 x 2.5cm","Multi",NA,"Canvas","No",NA,NA,1
"HOM","COO","447262","Wilko Blossom Canvas 60 x 90cm","Wilko","60 x 90 x 2.5cm","Multi",NA,"Canvas","No",NA,NA,1
"HOM","COO","455336","Wilko Family Framed Picture 30x30cm","Wilko","30x30x2.5cm",NA,"1","MDF, Paper, Perspex, Plastic, metal hanger","No",NA,NA,0.65
"HOM","COO","455342","Wilko Home Key Hook Plaque 25x25cm","Wilko","25x25x0.9cm",NA,NA,"MDF, Paper, metal key hooks, metal hanger","No",NA,NA,0.941666666666667
"HOM","COO","455347","Wilko Canvas Golden Trees 90x60cm","Wilko","90x60x2.5cm",NA,"1",NA,NA,NA,NA,0.93
"HOM","COO","455350","Wilko Grey Dahlia Canvas 48x48cm","Wilko","48x48x1.8cm",NA,NA,"Polyester Canvas, MDF frame, metal hanger","No",NA,NA,0.941666666666667
"HOM","COO","455356","Wilko Floral Canvasses Grey 20 x 20cm 3pk","Wilko","20x20x1.8cm each",NA,NA,"Polyester Canvas, MDF frame, metal hanger","No",NA,NA,0.941666666666667
"HOM","COO","455377","Wilko Canvas Words 48x48cm","Wilko","48x48x1.8cm",NA,"1","Polyester Canvas, MDF frame, metal hanger","No",NA,NA,0.65
"HOM","COO","455383","Wilko Lake Canvas 48x48cm","Wilko","48x48x1.8cm",NA,NA,"Polyester Canvas, MDF frame, metal hanger","No",NA,NA,0.941666666666667
"HOM","COO","455394","Wilko Home Canvas 48x48cm","Wilko","48x48x1.8cm",NA,NA,"Polyester Canvas, MDF frame, metal hanger","No",NA,NA,0.941666666666667
"HOM","COO","455404","Wilko Canvas Stag 48x48cm","Wilko","48x48x1.8cm",NA,"1","Polyester Canvas, MDF frame, metal hanger","No",NA,NA,0.65
"HOM","CUT","454614","Glitterati Sequin Cushion Bronze 30 x 30cm","Arthouse","30 x 30cm",NA,"1",NA,"No",NA,NA,0.6
"HOM","CUT","454616","Glitterati Sequin Cushion Silver 30 x 30cm","Arthouse","30 x 30cm",NA,"1",NA,NA,NA,NA,0.8
"HOM","CUT","454617","Glitterati Sequin Cushion Gold 45 x 45cm","Arthouse","45 x 45cm",NA,"1",NA,NA,NA,NA,0.8
"HOM","CUT","454618","Glitterati Sequin Cushion Midnight Blue 45 x 45cm","Arthouse","45 x 45cm",NA,"1",NA,NA,NA,NA,0.8
"HOM","CUT","454620","Glitterati Sequin Cushion Black 43 x 43cm","Arthouse","43 x 43cm",NA,"1",NA,NA,NA,NA,0.8
"HOM","CUT","454621","Glitterati Sequin Cushion Fuschia 43 x 43cm","Arthouse","43 x 43cm",NA,"1",NA,NA,NA,NA,0.8
"HOM","CUT","454623","Glitterati Sequin Cushion Red 43 x 43cm","Arthouse","43 x 43cm",NA,"1",NA,NA,NA,NA,0.8
"HOM","PIC","ap00039","Stags Head Chrome Coloured 35x50cm","Arthouse",NA,"Silver","1",NA,NA,NA,NA,0.88
"HOM","PIC","ap00045","Spa Montage Set of 3 20 x 20cm each","Arthouse",NA,"Grey",NA,NA,NA,NA,NA,0.81
"HOM","SP1","452337","Pebbles Canvas 3pk","Arthouse","20 x 60cm",NA,"3","Canvas","No",NA,NA,0.6
"HOM","SP1","452338","Pug Canvas Wall Art Black and White 40 x 40cm","Arthouse","40 x 40cm",NA,"1",NA,NA,NA,NA,0.88
"HOM","SP1","452339","Dream Big Hearts Canvas 3pk","Arthouse","20 x 60cm",NA,"3","Canvas","No",NA,NA,0.6
"HOM","SP1","452341","Life's Better Canvas Wall Art Black and White40 x 40cm","Arthouse","40 x 40cm",NA,"1",NA,NA,NA,NA,0.88
"HOM","SP1","452342","Purple Hearts Canvas Wall Art 3pk 20 x 60cm","Arthouse","20 x 60cm",NA,"3",NA,NA,NA,NA,0.88
"HOM","SP1","452343","Enjoy Canvas","Arthouse","40 x 50cm",NA,"1","Canvas","No",NA,NA,0.6
"HOM","SP1","452346","Glass Bottles Canvas","Arthouse","30 x 30cm",NA,"1","Canvas","No",NA,NA,0.6
"HOM","SP1","452347","Watering Can Canvas Wall Art 30 x 30cm","Arthouse","30 x 30cm",NA,"1",NA,NA,NA,NA,0.88
"HOM","SP1","452351","Red Tulip Basket Canvas Wall Art 48 x 48cm","Arthouse","48 x 48cm",NA,"1",NA,NA,NA,NA,0.88
"HOM","SP1","452354","Butterfly Canvas","Arthouse","30 x 30cm",NA,"1","Canvas","No",NA,NA,0.6
"HOM","SP1","452355","Pink Floral Canvas Wall Art 30 x 30cm","Arthouse","30 x 30cm",NA,"1",NA,NA,NA,NA,0.88
"HOM","SP1","452415","Buddha Canvas","Arthouse","48 x 48cm",NA,"1","Canvas","No",NA,NA,0.6
