"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Coverage","Model Number","DQ Score"
"DEC","WAL","436964","Superfresco Wallpaper Rhea Black","Superfresco","10m x 0.52m","Black","1","Paper","No",NA,NA,"5.2m²","20-721",0.65
"DEC","WAL","439141","Superfresco Easy Wallpaper Aura Taupe","Superfresco","10m x 0.52m","Brown","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439144","Superfresco Wallpaper Easy Eternal Charcoal/Silver","Superfresco","10m x 0.52m","Black","1","Paper","No",NA,NA,"5.2m²","33-290",0.65
"DEC","WAL","439145","Superfresco Wallpaper Easy Eternal Chocolate/Bronze","Superfresco","10m x 0.52m","Brown","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439146","Superfresco Wallpaper Easy Eternal Cream/Gold","Superfresco","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439147","Superfresco Easy Wallpaper Eternal Grey","Superfresco","10m x 0.52m","Grey","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439149","Superfresco Easy Wallpaper Innocence Duck Egg","Superfresco","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439150","Superfresco Wallpaper Easy Innocence Mushroom","Superfresco","10m x 0.52m","Brown","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439152","Superfresco Wallpaper Easy Radiance Blue/Cream","Superfresco","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439162","Superfresco Wallpaper Optimum Black/Silver","Superfresco","10m x 0.52m","Black","1","Paper","No",NA,NA,"5.2m²","100485",0.65
"DEC","WAL","439163","Superfresco Wallpaper Optimum White/Duck Egg","Superfresco","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439164","Superfresco Wallpaper Vienna White/Silver","Superfresco","10m x 0.52m","Silver","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","439165","Superfresco Wallpaper Vienna Black/Silver","Superfresco","10m x 0.52m","Black","1","Paper","No",NA,NA,"5.2m²","101471",0.65
"DEC","WAL","439169","Fresco Wallpaper Victoriana Blue","Superfresco","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439479","Superfresco Easy Wallpaper Karma Taupe and Charcoal Grey","Superfresco","10m x 0.52m","Grey","1","Paper",NA,NA,NA,"5.2m²",NA,1
