"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Washable","Coverage","DQ Score"
"HOM","CUR","422109","Leaves Eyelet Lined Curtains Taupe 173 x 183cm","Global",NA,"Brown","100% Cotton ½ Panama with 50/50 Polycotton Lining","Wash at 40",NA,0.85
"HOM","CUR","422110","Leaves Eyelet Lined Curtains Taupe 173 x 228cm","Global",NA,"Brown","100% Cotton ½ Panama with 50/50 Polycotton Lining","Wash at 40",NA,0.85
"HOM","CUR","422112","Leaves Eyelet Lined Curtains Taupe 228 x 228cm","Global",NA,"Brown","100% Cotton ½ Panama with 50/50 Polycotton Lining","Wash at 40",NA,0.85
"HOM","CUR","422113","Leaves Eyelet Lined Curtains Teal 122 x 137cm","Global",NA,"Green","100% Cotton ½ Panama with 50/50 Polycotton Lining","Wash at 40",NA,0.85
"HOM","CUR","422114","Leaves Eyelet Lined Curtains Teal 122 x 183cm","Global",NA,"Green","100% Cotton ½ Panama with 50/50 Polycotton Lining","Wash at 40",NA,0.85
"HOM","CUR","422116","Leaves Eyelet Lined Curtains Teal 173 x 137cm","Global",NA,"Green","100% Cotton ½ Panama with 50/50 Polycotton Lining","Wash at 40",NA,0.85
"HOM","CUR","422117","Leaves Eyelet Lined Curtains Teal 173 x 183cm","Global",NA,"Green","100% Cotton ½ Panama with 50/50 Polycotton Lining","Wash at 40",NA,0.85
"HOM","CUR","422118","Leaves Eyelet Lined Curtains Teal 173 x 228cm","Global",NA,"Green","100% Cotton ½ Panama with 50/50 Polycotton Lining","Wash at 40",NA,0.85
"HOM","CUR","422120","Leaves Eyelet Lined Curtains Teal 228 x 228cm","Global",NA,"Green","100% Cotton ½ Panama with 50/50 Polycotton Lining","Wash at 40",NA,0.85
"HOM","CUR","422130","Seattle Eyelet Lined Curtains Black 122 x 183cm","Global",NA,"Black","100% Polyester","Wash at 30",NA,0.85
"HOM","CUR","422132","Seattle Eyelet Curtains 66 x 54in Black","Global",NA,"Black","100% Polyester","Wash at 30",NA,0.85
"HOM","CUR","422133","Seattle Eyelet Curtains 66 x 72in Black","Global",NA,"Black","100% Polyester","Wash at 30",NA,0.85
"HOM","CUR","422134","Seattle Eyelet Curtains 66 x 90in Black","Global",NA,"Black","100% Polyester","Wash at 30",NA,0.85
"HOM","CUR","407314","Wilko Basketweave Eyelet Lined Curtains 167x137cmCharacoal","Wilko","167x137cm","Grey","100% Polyester","Dry Clean Only",NA,0.95
"HOM","CUR","407320","Wilko Weave Eyelet Curtains Natural 167 x 137cm","Wilko","167x137cm","Cream","100% Polyester","Dry Clean Only",NA,0.95
"HOM","CUR","407321","Wilko Basketweave Eyelet Lined Curtains 167x183cmNatural","Wilko","167 x183cm","Cream","100% Polyester","Dry Clean Only",NA,0.95
"HOM","CUR","407323","Wilko Basketweave Eyelet Lined Curtains Natural228 x 228cm","Wilko","228x228cm","Cream","100% Polyester","Dry Clean Only",NA,0.95
"HOM","CUR","425683","Wilko Basketweave Eyelet Lined Curtains 167x137cmMocha","Wilko","167 x 137cm",NA,"100% Polyester","Dry Clean Only",NA,0.9
"HOM","CUR","425684","Wilko Basketweave Eyelet Lined Curtains 167x183cmMocha","Wilko","167 x 137cm",NA,"100% Polyester","Dry Clean Only",NA,0.9
"HOM","CUR","425685","Wilko Basketweave Eyelet Lined Curtains 228x228cmMocha","Wilko","228 x 228cm",NA,"100% Polyester","Dry Clean Only",NA,0.9
