"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Coverage","DQ Score"
"PAI","ICI","190566","Dulux Matt Emulsion PaintWillow Tree 2.5L","Dulux","2.5L","Green",NA,NA,"32m²",0.941666666666667
"PAI","ICI","190574","Dulux Matt Emulsion PaintRoasted Red 2.5L","Dulux","2.5L","Red",NA,NA,"32m²",0.941666666666667
"PAI","ICI","190579","Dulux Matt Emulsion PaintEgyptian Cotton 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","190584","Dulux Matt Emulsion PaintTimeless 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","190586","Dulux Matt Emulsion PaintWellbeing 2.5L","Dulux","2.5L","Green","1",NA,"32m²",1
"PAI","ICI","190591","Dulux Matt Emulsion PaintFirst Dawn 2.5L","Dulux","2.5L","Blue",NA,NA,"32m²",0.941666666666667
"PAI","ICI","190594","Dulux Silk Emulsion PaintIvory Lace 2.5L","Dulux","2.5L","Yellow","1",NA,"32m²",1
"PAI","ICI","190596","Dulux Silk Emulsion PaintApricot Crush 2.5L","Dulux","2.5L","Orange","1",NA,"32m²",1
"PAI","ICI","190597","Dulux Silk Emulsion PaintWillow Tree 2.5L","Dulux","2.5L","Green",NA,NA,"32m²",0.941666666666667
"PAI","ICI","190600","Dulux Silk Emulsion PaintRoasted Red 2.5L","Dulux","2.5L","Red",NA,NA,"32m²",0.941666666666667
"PAI","ICI","190604","Dulux Silk Emulsion PaintEgyptian Cotton 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","190608","Dulux Silk Emulsion PaintTimeless 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","ICI","190609","Dulux Silk Emulsion PaintWellbeing 2.5L","Dulux","2.5L","Green","1",NA,"32m²",1
"PAI","ICI","190612","Dulux Silk Emulsion PaintFirst Dawn 2.5L","Dulux","2.5L","Blue",NA,NA,"32m²",0.941666666666667
"PAI","ICI","190687","Dulux Matt Emulsion Paint Tester PotIvory Lace 50ml","Dulux","50ml","Yellow",NA,NA,NA,0.883333333333333
"PAI","ICI","190698","Dulux Matt Emulsion Paint Tester PotApricot Crush 50ml","Dulux","50ml","Orange",NA,NA,NA,0.883333333333333
"PAI","ICI","190711","Dulux Matt Emulsion Paint Tester PotEgyptian Cotton 50ml","Dulux","50ml","White","1",NA,NA,0.941666666666667
"PAI","ICI","190714","Dulux Matt Emulsion Paint Tester PotFirst Dawn 50ml","Dulux","50ml","Blue",NA,NA,NA,0.883333333333333
"PAI","ICI","190733","Dulux Matt Emulsion Paint Tester PotRoasted Red 50ml","Dulux","50ml","Red",NA,NA,NA,0.883333333333333
"PAI","ICI","190736","Dulux Matt Emulsion Paint Tester PotTimeless 50ml","Dulux","50ml","White",NA,NA,NA,0.883333333333333
"PAI","ICI","190747","Dulux Matt Emulsion Paint Tester PotWellbeing 50ml","Dulux","50ml","Green","1",NA,NA,0.941666666666667
"PAI","ICI","205863","Dulux Matt Emulsion Paint Tester PotGentle Fawn 50ml","Dulux","50ml","Brown",NA,NA,NA,0.883333333333333
"PAI","ICI","205907","Dulux Silk Emulsion PaintGentle Fawn 2.5L","Dulux","2.5L","Brown","1",NA,"32m²",1
"PAI","ICI","212357","Dulux Matt Emulsion PaintGentle Lavender 2.5L","Dulux","2.5L","Purple",NA,NA,"32m²",0.941666666666667
"PAI","ICI","212363","Dulux Silk Emulsion PaintMineral Mist 2.5L","Dulux","2.5L","Blue",NA,NA,"32m²",0.941666666666667
"PAI","ICI","212366","Dulux Matt Emulsion PaintPretty Pink 2.5L","Dulux","2.5L","Pink",NA,NA,"32m²",0.941666666666667
"PAI","ICI","212367","Dulux Silk Emulsion PaintPretty Pink 2.5L","Dulux","2.5L","Pink",NA,NA,"32m²",0.941666666666667
"PAI","ICI","212368","Dulux Matt Emulsion PaintPutting Green 2.5L","Dulux","2.5L","Green",NA,NA,"32m²",0.941666666666667
"PAI","ICI","212369","Dulux Silk Emulsion PaintPutting Green 2.5L","Dulux","2.5L","Green","1",NA,"32m²",1
"PAI","ICI","212374","Dulux Matt Emulsion PaintSoft Apple 2.5L","Dulux","2.5L","Green",NA,NA,"32m²",0.941666666666667
"PAI","ICI","212376","Dulux Matt Emulsion PaintSoft Stone 2.5L","Dulux","2.5L","Cream","1",NA,"32m²",1
"PAI","ICI","212378","Dulux Silk Emulsion PaintSoft Stone 2.5L","Dulux","2.5L","Cream","1",NA,"32m²",1
"PAI","ICI","212433","Dulux Matt Emulsion Paint Tester PotLavender 50ml","Dulux","50ml","Purple",NA,NA,NA,0.883333333333333
"PAI","ICI","212436","Dulux Matt Emulsion Paint Tester PotMineral Mist 50ml","Dulux","50ml","Blue",NA,NA,NA,0.883333333333333
"PAI","ICI","212438","Dulux Matt Emulsion Paint Tester PotPretty Pink 50ml","Dulux","50ml","Pink","1",NA,NA,0.941666666666667
"PAI","ICI","212439","Dulux Matt Emulsion Paint Tester PotPutting Green 50ml","Dulux","50ml","Green",NA,NA,NA,0.883333333333333
"PAI","ICI","212442","Dulux Matt Emulsion Paint Tester PotSoft Apple 50ml","Dulux","50ml","Green",NA,NA,NA,0.883333333333333
"PAI","ICI","212443","Dulux Matt Emulsion Paint Tester PotSoft Stone 50ml","Dulux","50ml","Cream",NA,NA,NA,0.883333333333333
"PAI","ICI","2232560","Dulux Matt Emulsion PaintButtermilk 2.5L","Dulux","2.5L","Cream",NA,NA,"32m²",0.941666666666667
"PAI","ICI","2232743","Dulux Matt Emulsion PaintMagnolia 2.5L","Dulux","2.5L","Brown",NA,NA,"32m²",0.941666666666667
"PAI","ICI","2236860","Dulux Silk Emulsion PaintButtermilk 2.5L","Dulux","2.5L","Cream","1",NA,"32m²",1
"PAI","ICI","2237043","Dulux Silk Emulsion PaintMagnolia 2.5L","Dulux","2.5L","Cream",NA,NA,"32m²",0.941666666666667
"PAI","ICI","2237149","Dulux Silk Emulsion PaintSoft Peach 2.5L","Dulux","2.5L","Orange",NA,NA,"32m²",0.941666666666667
"PAI","ICI","2251642","Dulux Natural Hints Emulsion Apple White 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","230916","Dulux Matt Emulsion PaintCookie Dough 2.5L","Dulux","2.5L","Brown",NA,NA,"32m²",0.941666666666667
"PAI","ICI","241678","Dulux Matt Emulsion Paint Tester PotMellow Mocha 50ml","Dulux","50ml","Brown",NA,NA,NA,0.883333333333333
"PAI","ICI","241684","Dulux Matt Emulsion Paint Tester PotSoft Truffle 50ml","Dulux","50ml","Cream",NA,NA,NA,0.883333333333333
"PAI","ICI","241696","Dulux Matt Emulsion PaintMellow Mocha 2.5L","Dulux","2.5L","Brown",NA,NA,"32m²",0.941666666666667
"PAI","ICI","241702","Dulux Matt Emulsion PaintSoft Truffle 2.5L","Dulux","2.5L","Brown",NA,NA,"32m²",0.941666666666667
"PAI","ICI","241737","Dulux Silk Emulsion PaintAlmost Oyster 2.5L","Dulux","2.5L","Cream","1",NA,"32m²",1
"PAI","ICI","241740","Dulux Silk Emulsion PaintMellow Mocha 2.5L","Dulux","2.5L","Brown",NA,NA,"32m²",0.941666666666667
"PAI","ICI","241746","Dulux Silk Emulsion PaintSoft Truffle 2.5L","Dulux","2.5L","Cream",NA,NA,"32m²",0.941666666666667
"PAI","ICI","252860","Dulux Matt Emulsion PaintWhite Mist 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","ICI","252861","Dulux Matt Emulsion PaintWhite Cotton 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","ICI","252866","Dulux Silk Emulsion PaintWhite Mist 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","252867","Dulux Silk Emulsion PaintWhite Cotton 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","252872","Dulux Matt Emulsion Paint Tester PotWhite Mist 50ml","Dulux","50ml","White",NA,NA,NA,0.883333333333333
"PAI","ICI","252873","Dulux Matt Emulsion Paint Tester PotWhite Cotton 50ml","Dulux","50ml","White",NA,NA,NA,0.883333333333333
"PAI","ICI","264041","Dulux Silk Emulsion PaintMuddy Puddle 2.5L","Dulux","2.5L","Brown",NA,NA,"32m²",0.941666666666667
"PAI","ICI","264051","Dulux Matt Emulsion Paint Tester PotMuddy Puddle 50ml","Dulux","50ml","Brown",NA,NA,NA,0.883333333333333
"PAI","ICI","275749","Dulux Matt Emulsion PaintDusted Fondant 2.5L","Dulux","2.5L","Purple",NA,NA,"32m²",0.941666666666667
"PAI","ICI","275756","Dulux Silk Emulsion PaintDusted Fondant 2.5L","Dulux","2.5L","Purple",NA,NA,"32m²",0.941666666666667
"PAI","ICI","275763","Dulux Matt Emulsion Paint Tester PotDusted Fondant 50ml","Dulux","50ml","Purple",NA,NA,NA,0.883333333333333
"PAI","ICI","288841","Dulux Matt Emulsion Paint Tester PotWillow Tree 50ml","Dulux","50ml","Green",NA,NA,NA,0.883333333333333
"PAI","ICI","298485","Dulux Matt Emulsion PaintChic Shadow 2.5L","Dulux","2.5L","Cream",NA,NA,"32m²",0.941666666666667
"PAI","ICI","298486","Dulux Matt Emulsion PaintPolished Pebble 2.5L","Dulux","2.5L","Grey",NA,NA,"32m²",0.941666666666667
"PAI","ICI","298487","Dulux Matt Emulsion PaintNutmeg White 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","298488","Dulux Silk Emulsion PaintChic Shadow 2.5L","Dulux","2.5L","Cream",NA,NA,"32m²",0.941666666666667
"PAI","ICI","298489","Dulux Silk Emulsion PaintPolished Pebble 2.5L","Dulux","2.5L","Grey",NA,NA,"32m²",0.941666666666667
"PAI","ICI","298490","Dulux Silk Emulsion PaintNutmeg White 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","ICI","298613","Dulux Matt Emulsion Paint Tester PotChic Shadow 50ml","Dulux","50ml","Cream",NA,NA,NA,0.883333333333333
"PAI","ICI","298614","Dulux Matt Emulsion Paint Tester PotPolished Pebble 50ml","Dulux","50ml","Grey",NA,NA,NA,0.883333333333333
"PAI","ICI","298615","Dulux Matt Emulsion Paint Tester PotNutmeg White 50ml","Dulux","50ml","White",NA,NA,NA,0.883333333333333
"PAI","ICI","315569","Dulux Silk Emulsion PaintRich Black 2.5L","Dulux","2.5L","Black",NA,NA,"32m²",0.941666666666667
"PAI","ICI","315571","Dulux Matt Emulsion PaintRich Black 2.5L","Dulux","2.5L","Black",NA,NA,"32m²",0.941666666666667
"PAI","ICI","332073","Dulux Matt Emulsion PaintCrispy Crumble 2.5L","Dulux","2.5L","Cream",NA,NA,"32m²",0.941666666666667
"PAI","ICI","332078","Dulux Matt Emulsion PaintWarm Pewter 2.5L","Dulux","2.5L","Cream",NA,NA,"32m²",0.941666666666667
"PAI","ICI","332081","Dulux Silk Emulsion PaintCrispy Crumble 2.5L","Dulux","2.5L","Cream","1",NA,"32m²",1
"PAI","ICI","332424","Dulux Silk Emulsion PaintWarm Pewter 2.5L","Dulux","2.5L","Cream","1",NA,"32m²",1
"PAI","ICI","332432","Dulux Matt Emulsion Paint Tester PotCrispy Crumble 50ml","Dulux","50ml","Cream",NA,NA,NA,0.883333333333333
"PAI","ICI","332437","Dulux Matt Emulsion Paint Tester PotWarm Pewter 50ml","Dulux","50ml","Cream",NA,NA,NA,0.883333333333333
"PAI","ICI","340572","Dulux Bathroom+ Soft Sheen Emulsion PaintChic Shadow 2.5L","Dulux","2.5L","Cream","1",NA,NA,0.941666666666667
"PAI","ICI","340574","Dulux Bathroom+ Soft Sheen Emulsion PaintFrosted Steel 2.5L","Dulux","2.5L","Metal",NA,NA,NA,0.883333333333333
"PAI","ICI","340821","Dulux Bathroom+ Soft Sheen Emulsion PaintMarine Splash 2.5L","Dulux","2.5L","Green","1",NA,NA,0.941666666666667
"PAI","ICI","341264","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Marine Splash 50ml","Dulux","50ml","Green",NA,NA,NA,0.883333333333333
