"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"KIT","BAP","435794","Salter Add and Weigh Mechanical Kitchen Scale","Salter","22.1CM","9.5CM","22.5CM","Kitchen Scales","4kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435796","Salter Arc Electrical Kitchen Scale","Salter","4.5CM","20.0CM","22.0CM","Kitchen Scales","3kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","10951","Wilko Balloon Whisk 30cm","Wilko","6.9CM","6.9CM","30.2CM","Whisk","30cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","184129","Wilko Plastic Funnels Set of 3","Wilko","14.8CM","13.9CM","13.9CM","Funnels","3 Pack","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","222227","Wilko  Plastic Funnel 18cm","Wilko","19.5CM","17.7CM","22.0CM","Funnels","18cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","237888","Wilko Ceramic Baking Beans 700g","Wilko","11.8CM","11.8CM","8.1CM","Baking Beans","700g","Clear","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","242802","Wilko Stackable Mixing Bowl 26cm","Wilko","11.2CM","26.1CM","26.1CM","Bowls","26cm","Clear","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","284939","Wilko Silicone Whisk with Stainless Steel Handle","Wilko","27.0CM","6.5CM","6.5CM","Whisk","30.5x7.5x1.7cm","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","284943","Wilko 12 Muffin Cases Silicone","Wilko","3.3CM","6.9CM","6.9CM","Cake Cases","12 Pack","Multi","1","Silicone",NA,NA,NA,NA,NA,NA,NA,0.95
"KIT","BAP","285150","Wilko Cake Board 25cm/10in","Wilko","25.3CM","25.3CM","2.4CM","Cake Board","10in","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.9
