"PSA_1","PSA_2","Article","Web Description","Brand","Capacity","Type","Colour","Size","Assembly","Coverage","Pack Qty","Material","Power","Model Number","DQ Score"
"GAR","SUN","137399","Wilko Get Gardening Plant Labels 12cm x 50","Wilko Functional",NA,"Planting Accessories",NA,"12x1.5cm",NA,NA,"50pk",NA,NA,NA,0.833333333333333
"GAR","SUN","339846","Wilko Garden Rigger Gloves Mens Size 10","Wilko Functional",NA,"Gloves and Wellingtons",NA,NA,NA,NA,"1",NA,NA,NA,0.81
"GAR","SUN","339849","Wilko Garden Gloves Jersey Size 8 x 3 Pairs","Wilko Functional",NA,"Gloves and Wellingtons",NA,NA,NA,NA,"3pk",NA,NA,NA,0.81
"GAR","TOO","444097","Wilko Digging Fork Carbon Steel","Wilko",NA,"Digging and Planting",NA,"110 x 18.50 x 10",NA,NA,"1",NA,NA,NA,0.93
"GAR","TOO","444110","Wilko Hand Weeder Carbon Steel","Wilko",NA,"Hand Tools",NA,"32.5 x 2.5 x 5",NA,NA,"1",NA,NA,NA,0.93
"GAR","TRA","406178","Whitefurze Barrel Planter 50cm","Whitefurze",NA,"Planters",NA,"50cm","No",NA,NA,NA,NA,NA,0.93
"GAR","TRA","123613","Wilko Seed Tray Insert Olive 24cm 3pk","Wilko",NA,"Seed Trays","Green","24Cell",NA,NA,"3pk",NA,NA,NA,0.941666666666667
"GAR","TRA","446060","Wilko Pop Up Planter","Wilko",NA,"Pop up Planter",NA,"50cm x 95cm",NA,NA,"1","Iron Oxford Fabric",NA,NA,0.941666666666667
"GAR","TRA","446062","Wilko Angled Raised Bed","Wilko",NA,"Wall Farm",NA,"45cm x 50cm x 75cm",NA,NA,"1","Iron Oxford Fabric PP",NA,NA,0.941666666666667
"GAR","TRA","446063","Wilko Modular Raised Bed","Wilko",NA,"Raised Bed",NA,"50cm x 45cm",NA,NA,"1","Iron Oxford Fabric PP",NA,NA,0.941666666666667
"GAR","TRA","446064","Wilko Modular Raised Bed Large","Wilko",NA,"Raised Bed",NA,"50cm x 28cm",NA,NA,"1","Iron Oxford Fabric PP",NA,NA,0.941666666666667
"GAR","TUB","445498","Wilko Reservior Balls 16 Balls","Wilko",NA,"Reservoir Balls",NA,NA,"No",NA,NA,NA,NA,NA,0.86
"GAR","WAT","313385","Water Butt Slim Injection 100L","Wilko","100L","Water Butts",NA,"100L",NA,NA,NA,NA,NA,NA,0.88
"GAR","WAT","313387","Water Butt Green 230L","Wilko","230L","Water Butts",NA,"230L",NA,NA,NA,NA,NA,NA,0.88
"GAR","WAT","313392","Water Butt Stand Slim Black","Wilko","100L","Water Butt Stands",NA,"Slimline",NA,NA,NA,NA,NA,NA,0.88
"GAR","WAT","313393","Water Butt Stand Black","Wilko","230L","Water Butt Stands",NA,"Standard",NA,NA,NA,NA,NA,NA,0.88
"GAR","WEE","428733","Defenders Mega Sonic Cat Repellent","Defenders",NA,"Animal Repellents",NA,NA,NA,NA,"1",NA,NA,NA,0.86
"GAR","WEE","274009","Westland Resolva Weedkiller Ready to Use 1L","Resolva",NA,"Fast Acting Weedkillers",NA,"1L",NA,NA,NA,NA,NA,NA,0.9125
"GAR","WEE","428876","Resolva Moss Killer 1L","Resolve",NA,"Path and Patio Weedkillers",NA,NA,NA,NA,"1",NA,NA,NA,0.8625
"GAR","WEE","263130","Patio Magic 2.5L","Scotts",NA,"Path and Patio Weedkillers",NA,"2.5L",NA,NA,NA,NA,NA,NA,0.8625
"GAR","WEE","283371","Big Cheese Block Bait 15g","The Big Cheese",NA,"Rodenticides",NA,"15g",NA,NA,"12",NA,NA,NA,0.88
"GAR","WEE","313556","The Big Cheese Ultra Power Mouse Trap 2pk","The Big Cheese",NA,"Rodenticides",NA,NA,NA,NA,"2",NA,NA,NA,0.9125
"GAR","WEE","342236","Big Cheese All Weather Bait 50 Blocks","The Big Cheese",NA,"Rodenticides",NA,NA,NA,NA,"50",NA,NA,NA,0.81
"GAR","WEE","409378","Big Cheese Ultra Power Rat Trap Twinpack","The Big Cheese",NA,"Rodenticides",NA,NA,NA,NA,"2",NA,NA,NA,0.8625
"GAR","WEE","428735","Big Cheese Rat Trap Baited Ready To Use","The Big Cheese",NA,"Rodenticides",NA,"17.6cm x 8.3cm x 2.3cm",NA,NA,"1",NA,NA,NA,0.88
"GAR","WEE","441548","Big Cheese Ultra Power Bait Mouse Killer","The Big Cheese",NA,"Rodenticides",NA,"6.5cm x 12.5cm x 22.5cm",NA,NA,"2pk",NA,NA,NA,0.88
"GAR","WEE","448694","Big Cheese Fresh Baited Mouse Trap RTU","The Big Cheese",NA,"Rodenticides",NA,"10cm x 4.5cm x 2.0cm",NA,NA,"2pk",NA,NA,NA,0.88
"GAR","WEE","285419","Weedol Gun Rootkiller Plus 1L","Weedol",NA,"Rootkill Weedkillers",NA,"1L",NA,NA,NA,NA,NA,NA,0.9125
"GAR","WEE","330962","Weedol Rootkill Plus Weedkiller 8 Tubes","Weedol",NA,"Rootkill Weedkillers",NA,NA,NA,NA,"6",NA,NA,NA,0.9125
"GAR","WEE","448642","Weedol Ultra Tough 6 Tubes","Weedol",NA,"Fast Acting Weedkillers",NA,NA,NA,NA,"8",NA,NA,NA,0.86
"GAR","WEE","330943","Westland Resolva Path and Patio WeedkillerReady to Use 1L","Westland",NA,"Path and Patio Weedkillers",NA,"1L",NA,NA,NA,NA,NA,NA,0.9125
"GAR","WEE","448677","Growing Success Slug Killer 575g","Westland",NA,"Bug Killers",NA,"575g",NA,NA,"1",NA,NA,NA,0.88
"GAR","WEE","300410","Wilko Slug Killer 840g","Wilko",NA,"Slug Control",NA,"840g",NA,NA,"1",NA,NA,NA,0.93
"GAR","WEE","330910","Wilko Cat Repeller Granules 500g","Wilko",NA,"Animal Repellents",NA,"500g",NA,NA,NA,NA,NA,NA,0.86
"GAR","WEE","330913","Wilko Mouse and Rat Killer 15sachet","Wilko",NA,"Rodenticides",NA,"225g",NA,NA,NA,NA,NA,NA,0.86
"GAR","WEE","416334","Doff Cat & Dog Repellent Spray 1L","Wilko",NA,"Animal Repellents",NA,"1L",NA,NA,NA,NA,NA,NA,0.81
"GAR","WEE","416336","Doff Cat & Dog  Repellent Spikes 4pk","Wilko",NA,"Animal Repellents",NA,NA,NA,NA,"4PK",NA,NA,NA,0.81
"GAR","WEE","457198","Wilko Lawn Feed, Weed & Mosskiller","Wilko",NA,"Autumn Lawn Treatments",NA,"7.5cm x 20cm x 31.5cm",NA,NA,"1",NA,NA,NA,0.93
"GAR","WOO","3186740","Cuprinol Wood Preserver Clear 1L","Cuprinol",NA,"Wood Preservers","Clear","1L",NA,NA,"1",NA,NA,NA,0.941666666666667
"GAR","WOO","337114","Cuprinol Less Mess Shed Fence Woodland Green 5L","Cuprinol",NA,"Shed and Fence Paint","Pink","5L",NA,NA,"1",NA,NA,NA,0.941666666666667
"GAR","WOO","337115","Cuprinol Less Mess Shed Fence Autumn Gold 5L","Cuprinol",NA,"Shed and Fence Paint","Gold","5L",NA,NA,"1",NA,NA,NA,0.941666666666667
"GAR","WOO","338573","Cuprinol Less Mess Shed Fence Rich Oak 5L","Cuprinol",NA,"Shed and Fence Paint","Brown","5L",NA,NA,"1",NA,NA,NA,0.941666666666667
"GAR","WOO","338574","Cuprinol Less Mess Shed Fence Rustic Brown 5L","Cuprinol",NA,"Shed and Fence Paint","Brown","5L",NA,NA,"1",NA,NA,NA,0.941666666666667
"GAR","WOO","210403","Wilko Decking Protector Clear 2.5L","Wilko",NA,"Decking Paint and Cleaner","Clear","2.5L",NA,NA,"1",NA,NA,NA,0.941666666666667
"GAR","WOO","210404","Wilko Teak Oil Bottle 1L","Wilko",NA,"Danish","Clear","1L",NA,NA,"1",NA,NA,NA,0.941666666666667
"GAR","WOO","278711","Wilko Dark Creocote 4L","Wilko",NA,"Creocote","Clear","4L",NA,NA,"1",NA,NA,NA,0.941666666666667
"GAR","WOO","60973","Wilko Linseed Oil 500ml","Wilko",NA,"Danish","Clear","500ml",NA,NA,"1",NA,NA,NA,0.941666666666667
