"Article","Web Description","Brand","Type","Pack Qty","Size","Power","Model Number","Colour","DQ Score"
"344379","Wilko Glass and Tile Drill Bit 5mm","Wilko","Drill Bits Glass and Tile","1","5mm",NA,NA,NA,0.93
"344380","Wilko Glass and Tile Drill Bit 6mm","Wilko","Drill Bits Glass and Tile","1","6mm",NA,NA,NA,0.93
"344381","Wilko Glass and Tile Drill Bit 8mm","Wilko","Drill Bits Glass and Tile","1","8mm",NA,NA,NA,0.93
"344382","Wilko Glass and Tile Drill Bit 10mm","Wilko","Drill Bits Glass and Tile",NA,"10mm",NA,NA,NA,0.86
"344465","Wilko Glue Sticks 6pk","Wilko","Glue Sticks","6pk",NA,NA,NA,NA,0.86
"344580","Wilko Thumb Wrench Set 3 Piece","Wilko","Screwdrivers","3pcs",NA,NA,NA,NA,0.9125
"344581","Wilko 7 In Pencil Carpenters 10pices","Wilko","Carpenters Pencil","10pcs",NA,NA,NA,NA,0.9125
"345071","Wilko Cored Solder Wire","Wilko","Soldering","1",NA,NA,NA,NA,0.86
"345088","Wilko 4 Way Chuck Key","Wilko","Allen, Chuck and Hex Keys","1",NA,NA,NA,NA,0.9125
"345094","Wilko Folding Hex Key Set 8 Piece","Wilko","Allen, Chuck and Hex Keys","8pcs",NA,NA,NA,NA,0.9125
"345209","Wilko Heavy Duty Anti Shock Spirit level 24in","Wilko","Tape Measures, Levels and Rulers",NA,"24in",NA,NA,NA,0.9125
"426637","Wilko Dust Mask 3pk","Wilko","Dust Mask","3pk","13x13x5cm",NA,NA,NA,0.93
"426638","Wilko Filter Dust Mask 3pk","Wilko","Dust Mask","3pk","13x13x5.5cm",NA,NA,NA,0.93
"427226","Wilko Double Drive Screwdriver Set 49 Piece","Wilko","Screwdriver Set",NA,NA,NA,"427226",NA,0.86
"427227","Wilko Dual Drive Ratchet and Socket Set","Wilko","Socket Set",NA,NA,NA,NA,NA,0.79
"427228","Wilko Mini Folding Multitool 12 in 1","Wilko","Multi-Tool",NA,NA,NA,"427228",NA,0.86
"427229","Wilko Adjustable Socket 5mm-15mm","Wilko","Socket",NA,NA,NA,NA,NA,0.79
"427230","Wilko Adjustable Socket 15mm-27mm","Wilko","Socket Set",NA,NA,NA,NA,NA,0.79
"444097","Wilko Digging Fork Carbon Steel","Wilko","Digging and Planting","1","110 x 18.50 x 10",NA,NA,NA,0.93
"444110","Wilko Hand Weeder Carbon Steel","Wilko","Hand Tools","1","32.5 x 2.5 x 5",NA,NA,NA,0.93
"449405","Wilko Cordless Drill Lithium Ion 14.4V","Wilko","Cordless Drill",NA,NA,"14.4v",NA,NA,0.86
"449407","Wilko Orbital Sander 230V 200W 1/3 Sheet","Wilko","Sander","1",NA,NA,NA,NA,0.86
"449409","Wilko Angle Grinder 115mm 900W","Wilko","Angle Grinder",NA,NA,NA,NA,NA,0.825
"449410","Wilko Screwdriver Set Lithium Ion 3.6V 44 Piece","Wilko","Screwdriver",NA,NA,"3.6v",NA,NA,0.86
"449411","Wilko Multi Cutter 89mm","Wilko","Multi Cutter",NA,NA,NA,NA,NA,0.79
"449412","Wilko Electric Stapler and Nailer 230V","Wilko","Electric Stapler",NA,NA,"230v",NA,NA,0.86
"343425","Wilko Tape Measure 8m","Wilko Best","Tape Measures, Levels and Rulers",NA,"8m",NA,NA,NA,0.8625
"343452","Wilko Best Magnetic Tip Screwdriver  5 x 100mm","Wilko Best","Pliers, Spanners and Wrenches",NA,"5X100mm",NA,NA,NA,0.9125
"343528","Wilko Best  Magentic Tip Screwdriver  8 x 150mm","Wilko Best","Pliers, Spanners and Wrenches",NA,"8X150mm",NA,NA,NA,0.9125
"343530","Wilko Best Screwdriver Pozi  2 x 100mm","Wilko Best","Screwdrivers",NA,"2X100mm",NA,NA,NA,0.9125
"343531","Wilko Best Screwdriver Pozi 3 x 150mm","Wilko Best","Screwdrivers",NA,"3X150mm",NA,NA,NA,0.9125
"344220","Wilko Professional Hacksaw 12in","Wilko Best","Saws and Blades",NA,"12in",NA,NA,NA,0.8625
"344243","Wilko Best Tool Box Saw 350mm","Wilko Best","Saws and Blades",NA,"350mm",NA,NA,NA,0.9125
"193592","Utility Box 16in","Wilko Functional","Tool Boxes",NA,"40.5x21.5cmx17.5cm",NA,NA,NA,0.775
"193596","Utility Tool Box 12.5in","Wilko Functional","Tool Boxes",NA,"32x18cmx12.7cm",NA,NA,NA,0.775
"206883","Wilko Radio Screwdriver Small","Wilko Functional","Screwdrivers",NA,"Small",NA,NA,NA,0.8625
"209196","Wilko Precision Screwdriver Set 6 Piece","Wilko Functional","Screwdrivers","6pcs",NA,NA,NA,NA,0.8625
"209348","Functional Neon Tape Measure 3m","Wilko Functional","Tape Measures, Levels and Rulers",NA,"3m",NA,NA,NA,0.8625
"211939","Wilko Functional Side Cutter 152mm","Wilko Functional","Pliers, Spanners and Wrenches",NA,"6in",NA,NA,NA,0.9125
"211940","Wilko Functional Combination Plier 6in","Wilko Functional","Pliers, Spanners and Wrenches","1",NA,NA,NA,NA,0.9125
"286640","Wilko Functional Utility Box 12in","Wilko Functional","Tool Boxes","1",NA,NA,NA,NA,0.825
"342284","Wilko Functional Hammer Drill 500W","Wilko Functional","Drills Hammer and Rotary",NA,"500w",NA,NA,NA,0.86
"342285","Wilko Functional Jigsaw 230V 400W","Wilko Functional","Saws and Blades",NA,"230v",NA,NA,NA,0.86
"342286","Wilko Functional Orbital Sander 230V 1/3 Sheet","Wilko Functional","Sanders and Sanding Sheets",NA,"230v",NA,NA,NA,0.86
"343371","Wilko G Clamp 2in","Wilko Functional","Clamps and Vices",NA,"2in",NA,NA,NA,0.8625
"343372","Wilko G Clamp 3in","Wilko Functional","Clamps and Vices",NA,"3in",NA,NA,NA,0.8625
"343413","Wilko Plastic Torpedo Level 9in","Wilko Functional","Tape Measures, Levels and Rulers",NA,"9in",NA,NA,NA,0.8625
"343441","Wilko Long Nose Plier 6In","Wilko Functional","Pliers, Spanners and Wrenches",NA,"6in",NA,NA,NA,0.8625
"343448","Wilko Functional Screwdriver  5 x 100mm","Wilko Functional","Screwdrivers",NA,"5X100mm",NA,NA,NA,0.9125
"343453","Wilko Best Magnetic Tip Screwdriver  6 x 100mm","Wilko Functional","Screwdrivers",NA,"6X100mm",NA,NA,NA,0.8625
"343911","Wilko Wood Chisel Set","Wilko Functional","Chisels","3",NA,NA,NA,NA,0.8625
"344213","Wilko Functional Junior Hacksaw 6in","Wilko Functional","Saws and Blades","1",NA,NA,NA,NA,0.9125
"344234","Wilko Tenon Saw 250mm","Wilko Functional","Saws and Blades",NA,"250mm",NA,NA,NA,0.8625
"344235","Wilko Functional Hand Saw 550mm","Wilko Functional","Saws and Blades",NA,"550mm",NA,NA,NA,0.9125
