"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Age","DQ Score"
"SBK","COO","427388","Wilko I Like Cats A5 Notebooks","Wilko","21.5CM","15.0CM","1.5CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","COO","427390","Wilko I Like Cats A4 Project Book","Wilko","30.5CM","22.5CM","2.0CM","Project Books","A4",NA,"1",NA,NA,1
"SBK","COO","427391","Wilko I Like Cats A4 Notebook","Wilko","30.5CM","22.5CM","2.0CM","Notebooks","A4",NA,"1",NA,NA,1
"SBK","COO","427412","Wilko I Like Cats Plastic Drinks Jar","Wilko","16.0CM","10.0CM","10.0CM","Drinks Jar","15.3 x 10cm",NA,"1",NA,NA,1
"SBK","COO","445250","Wilko Enterprising Britain Notebook A5 100 Sheets80GSM","Wilko","22.0CM","16.5CM","2.0CM","Notebooks",NA,NA,NA,NA,NA,1
"SBK","COO","445252","Wilko Enterprising Britain Project Book A5","Wilko","22.0CM","16.5CM","2.0CM","Project Books",NA,NA,NA,NA,NA,1
"SBK","COO","445258","Wilko Enterprising Britain Mini Colouring Pencils10pk","Wilko","10.3CM","8.9CM",".8CM","Colouring Pens, Pencils and Crayons",NA,NA,NA,NA,NA,1
"SBK","COO","445259","Wilko Enterprising Britain Notebook A6 80 Sheets80GSM","Wilko","15.0CM","12.0CM","3.0CM","Notebooks",NA,NA,NA,NA,NA,1
"SBK","COO","445262","Wilko Enterprising Britain Storage Box with Lid","Wilko","33.3CM","26.3CM","8.0CM","Storage Box",NA,NA,NA,NA,NA,1
"SBK","COO","445263","Wilko Enterprising Britain 2 Drawer Storage","Wilko","24.0CM","12.0CM","16.0CM","Desk Organising",NA,NA,NA,NA,NA,1
"SBK","COO","445265","Wilko Enterprising Britain Sticky Notes Set","Wilko","20.8CM","14.9CM",".9CM","Sticky Notes",NA,NA,NA,NA,NA,1
"SBK","COO","445266","Wilko Enterprising Britain A6 Organiser","Wilko","15.3CM","10.5CM","2.5CM","Journals, Planners and Organisers",NA,NA,NA,NA,NA,1
