"PSA_1","PSA_2","Article","Web Description","Brand","Type","Pack Qty","Colour","Size","Power","Age","Model Number","Material","Assembly","DQ Score"
"SBK","BOM","257782","Gold Stars Starting to Add Educational Workbook Pre-School Ages 3-5 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","257783","Gold Stars Start to Count Educational Workbook Pre-School Ages 3-5 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","257787","Gold Stars Key Stage 1 English Workbook Pack Ages5-6 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","257788","Gold Stars Key Stage 1 English Workbook Pack Ages6-7 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","257796","Gold Stars Key Stage 1 Maths Workbook Pack Ages 5-6 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","296262","Gold Stars Key Stage 2 Maths and English Big Workbook Ages 9-11 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","296263","Gold Stars Key Stage 1 Times Tables Ages 6-7 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","296264","Gold Stars Key Stage 1 Spelling Ages 6-7 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","310476","Gold Stars Starting to Write/Count Assorted","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","317502","Gold Stars Starting Phonics Educational Book3-5yrs","Gold Stars","Study and Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","317919","Gold Stars Key Stage 2 Bumper Workbook Ages 7-9 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","336901","Gold Stars Key Stage 1 Ready for School Big Workbook Ages 5-6yrs","Gold Stars","Activity Book",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","346773","Gold Stars Key Stage 2 EnglishWorkbook Ages 7-9 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","346775","Gold Stars Key Stage 2 EnglishWorkbook Ages 9-11 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
